Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
'адыгэ	382.63679265337356	18		aː d ə ɡ a		
джэгу	85.03039836741635	4		d͡ʒ a ɡʷ		d͡ʒ a ɡʷ
нахь	1360.4863738786617	64		n aː ħ		n aː ħ
ин	488.924790612644	23		j ə n		
ащыщэу	467.6671910207899	22		aː ɕ ə ɕ a w		
адыгэ	9268.313422048383	436		aː d ə ɡ a		
ди	488.924790612644	23		d ə j		
хабзэм	191.31839632668678	9		x aː b z a m		
и	19046.80923430126	896		j ə		j ə
нэхъ	552.6975893882063	26		n a χ		
дахэхэм	42.51519918370818	2		d aː x a x a m		
ящыщщ	63.772798775562265	3		j aː ɕ ə ɕ		
джэгур	255.09119510224906	12		d͡ʒ a ɡʷ ə r		
зэманым	403.89439224522766	19		z a m aː n ə m		
ар	2806.0031461247395	132		aː r		aː r
хабзэ	127.54559755112453	6		x aː b z a		x aː b z a
щыта	106.28799795927044	5		ɕ ə t aː		
япэм	85.03039836741635	4		j aː p a m		
хуэдэу	170.0607967348327	8		xʷ a d a w		
жыпiэу	42.51519918370818	2		ʒ ə p j a w		
къудейкъым	42.51519918370818	2		qʷ ə d a j q ə m		
атiэ	42.51519918370818	2		aː t j a		
щiэблэм	63.772798775562265	3		ɕ a b l a m		
лъэпкъым	850.3039836741635	40		ɬ a p q ə m		
зэрыхъур	42.51519918370818	2		z a r ə χʷ ə r		
щыiэхэм	63.772798775562265	3		ɕ ə j a x a m		
я	3720.079928574465	175		j aː		
илъэс	1339.2287742868075	63		j ə ɬ a s		j ə ɬ a s
зыбжанэ	106.28799795927044	5		z ə b ʒ aː n a		
а	3635.049530207049	171		aː		ʔ aː
гулъытэ	42.51519918370818	2		ɡʷ ə ɬ ə t a		ɡʷ ə ɬ ə t a
иджы	106.28799795927044	5		j ə d͡ʒ ə		j ə d͡ʒ ə
iуэхур	42.51519918370818	2		j ə w a xʷ ə r		
нэгъуэщiу	42.51519918370818	2		n a ʁʷ a ɕ j ʊ		
щапхъэу	42.51519918370818	2		ɕ aː p χ a w		
псалъэм	382.63679265337356	18		p s aː ɬ a m		
папщiэ	170.0607967348327	8		p aː p ɕ j a		
хъунущ	170.0607967348327	8		χʷ ə nʷ ə ɕ		
абы	488.924790612644	23		aː b ə		
кiуэ	42.51519918370818	2		k i w a		
пэтми	63.772798775562265	3		p a t m ə j		
щiыналъэм	42.51519918370818	2		ɕ ə n aː ɬ a m		
адыгейми	85.03039836741635	4		aː d ə ɡ a j m ə		
нэгъуэщi	85.03039836741635	4		n a ʁʷ a ɕ i		
къэралхэми	63.772798775562265	3		q a r aː ɬ x a m ə		
хъуауэ	148.8031971429786	7		χʷ aː w a		
зи	233.83359551039496	11		z ə j		z ə j
дахэу	148.8031971429786	7		d aː x a w		
щыiэ	446.40959142893587	21		ɕ ə j a		
адыгэ-хьэблэ	63.772798775562265	3		aː d ə ɡ a ħ a b l a		
районым	1147.9103779601207	54		r aː ɥ a n ə m		
хасэм	425.15199183708177	20		x aː s a m		
мы	2147.017558777263	101		m ə		m ə
лъэпкъ	1594.3199693890565	75		ɬ a p q		ɬ a p q
аслъэн	85.03039836741635	4		aː s ɬ a n		
алий	85.03039836741635	4		aː l ə j ə j		
аргуэру	42.51519918370818	2		aː r ɡʷ a r w		
джэгум	106.28799795927044	5		d͡ʒ a ɡʷ ə m		
утыкур	42.51519918370818	2		w ə t ə kʷ ə r		
хуабжьу	42.51519918370818	2		xʷ aː b ʑʷ		
псом	42.51519918370818	2		p s w a m		
хуэмыдэу	42.51519918370818	2		xʷ a m ə d a w		
къуажэ	85.03039836741635	4		qʷ aː ʒ a		
щiалэгъуалэр	42.51519918370818	2		ʃ j aː l a ʁʷ aː l a r		
iэмал	42.51519918370818	2		j a m aː l		
псори	63.772798775562265	3		p sʷ a r ə j		
утыкум	63.772798775562265	3		w ə t ə kʷ ə m		
нэхъыфiу	42.51519918370818	2		n a χ ə f i w		
юрэ	106.28799795927044	5		j u r a		
гъуэщокъуэ	42.51519918370818	2		ʁʷ a ɕʷ a qʷ a		
сымэ	106.28799795927044	5		s ə m a		
ахэр	1169.167977551975	55		aː x a r		aː x a r
щiыкiэ	42.51519918370818	2		ɕ j ə kʲ j a		
псалъэкiэ	85.03039836741635	4		p s aː ɬ a kʲ a		
дянэ	42.51519918370818	2		d aː n a		
гуапэу	63.772798775562265	3		ɡʷ aː p a w		
къафэкiэ	63.772798775562265	3		q aː f a kʲ j a		
хьэзыр	42.51519918370818	2		ħ a z ə r		
нэхъри	42.51519918370818	2		n a χ r ə j		
дэ	63.772798775562265	3		d a		d a
пасэм	85.03039836741635	4		p aː s a m		
щыгъуэ	106.28799795927044	5		ɕ ə ʁʷ a		
цiэр	212.57599591854088	10		t͡s j a r		
зезыхьэ	42.51519918370818	2		z a j z ə ħ a		
заур	106.28799795927044	5		z aː w ə r		
адэкiэ	63.772798775562265	3		aː d a kʲ j a		
фатимэ	42.51519918370818	2		f aː t ə j m a		
хэти	63.772798775562265	3		x a t ə j		
хъут	191.31839632668678	9		χʷ ə t		
къафэ	42.51519918370818	2		q aː f a		
пшыналъэ	42.51519918370818	2		p ʃ ə n aː ɬ a		
къызэхуэсахэм	42.51519918370818	2		q ə z a xʷ a s aː x a m		
мухьэмэд	63.772798775562265	3		m ə ħ a m a d		
шэрджэс	63.772798775562265	3		ʃ a r d͡ʒ a s		
жэщ	191.31839632668678	9		ʒ a ɕ		
нэс	935.3343820415798	44		n a s		
ауэ	318.8639938778113	15		aː w a		
пэ	127.54559755112453	6		p a		p a
зиiэм	42.51519918370818	2		z ə j a m		
кiэух	63.772798775562265	3		k j a w x		
фiыщiэ	42.51519918370818	2		f j ə ɕ j a		
тхьэмадэ	85.03039836741635	4		t ħ a m aː d a		
хабзэхэм	85.03039836741635	4		x aː b z a x a m		
пщiэ	63.772798775562265	3		p ɕ a		
ящыщ	297.6063942859572	14		j aː ɕ ə ɕ		
дахэ	106.28799795927044	5		d aː x a		d aː x a
хасэ	531.4399897963522	25		x aː s a		x aː s a
цiэ	42.51519918370818	2		t͡s j a		
фiыкiэ	63.772798775562265	3		f j ə k j a		
икiи	148.8031971429786	7		j ə kʲ i j ə		
къыкiэлъыкiуэу	42.51519918370818	2		q ə kʲ a ɬ ə kʷ a w		
республикэм	1913.183963266868	90		r a j s pʷ ə b l ə j k a m		
черкесск	42.51519918370818	2		t͡ʃ a j r kʲ a s k		
къалэм	1360.4863738786617	64		q aː l a m		
иным	63.772798775562265	3		j ə n ə m		
абазэ	106.28799795927044	5		aː b aː z a		
мазэм	212.57599591854088	10		m aː z a m		
къалъытэ	42.51519918370818	2		q aː ɬ ə t a		
аращи	42.51519918370818	2		aː r aː ɕ ə		
къамбот	63.772798775562265	3		q aː m bʷ a t		
гъ	340.1215934696654	16		ʁ		
джэгуакӏо	85.03039836741635	4		d͡ʒ a ɡʷ aː kʷʼ a		d͡ʒ a ɡʷ aː kʷʼ a
орэдус	42.51519918370818	2		w a r a dʷ ə s		w r a d w ə s
оркъ	85.03039836741635	4		w a r q		w a r q
щыщэу	127.54559755112453	6		ɕ ə ɕ a w		
макӏэ	63.772798775562265	3		m aː t͡ʃʼ a		m aː t͡ʃ a
урыс	510.1823902044981	24		w ə r ə s		w ə r ə s
дэжь	297.6063942859572	14		d a ʑ		d a ʑ
е	2593.427150206199	122		j a		j a
фэдэ	871.5615832660176	41		f a d a		
ащ	5335.657497555376	251		aː ɕ		aː ɕ
купым	85.03039836741635	4		kʷ ə p ə m		
ахэтэу	85.03039836741635	4		aː x a t a w		
къаукъаз	276.34879469410316	13		q aː w q aː z		
щытащ	170.0607967348327	8		ɕ ə t aː ɕ		
нэгу	42.51519918370818	2		n a ɡʷ		n a ɡʷ
хабзэмрэ	85.03039836741635	4		x aː b z a m r a		
хэкум	658.9855873474767	31		x a kʷ ə m		
зэрыжаӏэмкӏэ	63.772798775562265	3		z a r ə ʒ aː ʔ a m t͡ʃʼ a		
дунейм	212.57599591854088	10		dʷ ə n a j m		
ехыжащ	42.51519918370818	2		j a x ə ʒ aː ɕ		
щӏыӏэ	63.772798775562265	3		ɕʼ ə ʔ a		
уз	42.51519918370818	2		w ə z		w ə z
гъыбзи	63.772798775562265	3		ʁ ə b z ə j		
яныдэлъфыбз	63.772798775562265	3		j aː n ə d a ɬ f ə b z		
апхъаз-адыгэ	63.772798775562265	3		aː p χ aː z aː d ə ɡ a		
бзэкупым	233.83359551039496	11		b z a kʷ ə p ə m		
щыщ	595.2127885719144	28		ɕ ə ɕ		
бзэкъутамэм	63.772798775562265	3		b z a qʷ t aː m a m		
хахьэ	1403.0015730623697	66		x aː ħ a		
нахьыбэу	233.83359551039496	11		n aː ħ ə b a w		
къэрэщэе-черкес	127.54559755112453	6		q a r a ɕ a j a t͡ʃ a j a r kʲ a s		
республикэр	127.54559755112453	6		r a j s pʷ ə b l ə j k a r		
ары	3231.1551379618213	152		aː r ə		
урысые	871.5615832660176	41		w ə r ə s ə j a		
