Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
die	76408.3682018981	2650901		d i		d i
van	35489.39513989465	1231264		f ɐ n		f a n
in	29718.142897747	1031037		ə n		ə n
is	20339.854401313754	705668		ə s		ə s
het	16863.7346951652	585068		h ɛ t		ɦ ɛ t
'n	15793.026413869176	547921		ɛ n		ə
wat	9076.04478798653	314883		v ɐ t		v a t
kategorie	7880.47290331542	273404		k ɐ t ə x ʊ ə r i		
the	7605.265681472083	263856		t i ə		
op	7528.191518169917	261182		ɔ p		
sy	7413.877332808514	257216		s ɛ ɪ		s ə i
met	7005.880032306583	243061		m ɛ t		m ɛ t
word	6978.930016342662	242126		v ɔ r t		v ɔ r t
of	6286.934312319325	218118		ɔ f		ɔ f
was	6246.235464681831	216706		v ɐ s		
vir	6204.527792917345	215259		f ə r		f ə r
te	6033.402397433068	209322		t ə		t ə
hy	5667.833357357759	196639		h ɛ ɪ		ɦ ə i
dit	5006.044730051201	173679		d ə t		d ə t
deur	4944.823517316048	171555		d ø ə r		d ɪ ø r
om	4933.236451628886	171153		ɔ m		
nie	4790.675190711716	166207		n i		n i
n	4778.281065722961	165777		ɛ n		
se	4755.164581441608	164975		s i ə		s ə
aan	4498.606194174375	156074		ɑː n		ɑː n
tot	3928.0729150408383	136280		t ɔ t		t ɔ t
ook	3098.9636003860855	107515		ʊ ə k		ʊ ə̯ k
hulle	2714.255725444421	94168		h œ l ə		ɦ œ l ə
dat	2634.3856781331633	91397		d ɐ t		d a t
uit	2601.901541244031	90270		ø y t		œ i̯ t
by	2546.416214259487	88345		b ɛ ɪ		b ə i
eerste	2194.134829113984	76123		i ə r s t ə		
's	1903.8817160052283	66053		ɛ s		
hierdie	1875.2887578916348	65061		h iː r d i		ɦ i r d i
maar	1834.53226316117	63647		m ɑː r		m ɑː r
kan	1819.371077709809	63121		k ɐ n		k a n
eeu	1802.7398913876887	62544		i uː		i u
amerikaanse	1772.2734027525391	61487		ɐ m i ə r i k ɑ̃ n s ə		
oor	1755.6710399769042	60911		ʊ ə r		ʊ ə̯ r
daar	1736.8204405754022	60257		d ɑː r		d ɑː r
soos	1695.2857100898295	58816		s ʊ ə s		s ʊ ə s
ander	1658.76627669273	57549		ɐ n d ə r		ɑ n d ɛ r
jaar	1622.362137481572	56286		j ɑː r		j ɑː r
een	1599.7933005834434	55503		i ə n		ɪ ə̯ n
suid-afrika	1588.6385880935636	55116		s ø y t ɐ f r i k ɐ		
bekend	1579.6456415900948	54804		b i ə k ə n t		b ə k ɛ n t
gebruik	1552.9262139980574	53877		x ə b r ø y k		χ ə b r œ i̯ k
haar	1476.1979332537169	51215		h ɑː r		ɦ ɑː r
rolprente	1403.303184191945	48686		r ɔ l p r ɛ n t ə		
onder	1328.477257515646	46090		ɔ n ə r		
twee	1294.465472662783	44910		t w i ə		t v ɪ ə̯
baie	1292.0731183044884	44827		b a ɪ ə		b a j ə
groot	1282.7342892431936	44503		x r ʊ ə t		χ r ʊ ə t
meer	1267.659574431289	43980		m i ə r		
mense	1259.3872165899572	43693		m ẽ n s ə		
teen	1210.7907172154426	42007		t i ə n		t ɪ ə n
and	1182.3995239272474	41022		ɐ n t		
tussen	1165.5377492332432	40437		t œ s ə n		t œ s ə n
geboortes	1157.3806855778532	40154		x ə b ʊ ə r t ə s		
hul	1130.4883167069029	39221		h œ l		ɦ œ l
begin	1001.2147107195375	34736		b ə x ə n		
waar	989.4835272999483	34329		v ɑː r		v ɑː r
deel	971.8435168508362	33717		d i ə l		
voor	943.9423238528942	32749		f ʊ ə r		f ʊ ə̯ r
tydens	914.0234826009688	31711		t ɛ ɪ d ə n s		
world	908.5470087687281	31521		v ɔ r l t		
hom	906.3564192358318	31445		h ɔ m		
lêer	904.0217119705082	31364		l eː ə r		
dié	902.8399465646037	31323		d i		d i
suid-afrikaanse	895.374648024865	31064		s ø y t ɐ f r i k ɑ̃ n s ə		
kerk	873.7569881607571	30314		k æ r k		k ɛ r k
naam	821.6151925685288	28505		n ɑː m		
gebore	809.4804794981428	28084		x ə b ʊ ə r ə		
bestaan	807.1457722328192	28003		b ə s t ɑː n		
later	794.9534120694623	27580		l ɑː t ə r		
nuwe	792.2728222463129	27487		n y v ə		
televisiereekse	783.0781109174457	27168		t æ l ə v i s iː r i ə k s ə		
flora	768.2628080239105	26654		f l ʊ ə r ɐ		
rolle	758.4339786723626	26313		r ɔ l ə		r ɔ l ə
al	732.3486691030057	25408		ɐ l		a l
volgens	730.9939624181883	25361		f ɔ l x ə n s		
tweede	728.2845490485535	25267		t w i ə d ə		
net	727.045136549678	25224		n ɛ t		
kom	717.1298365586738	24880		k ɔ m		k ɔ m
keer	713.4404226085327	24752		k i ə r		
nog	712.0280688307442	24703		n ɔ x		n ɔ χ
egter	704.9951234882878	24459		æ x t ə r		
sou	700.8733563408646	24316		s ə ʊ		s œ u
gemeente	679.2845200232422	23567		x ə m i ə n t ə		χ ə m ɪ ə̯ n t ə
so	668.3027488122754	23186		s ʊ ə		s ʊ ə̯
ds	659.3674494017774	22876		d i ə ɛ s		
drie	656.023918009462	22760		d r i		d r i
lys	651.008620920989	22586		l ɛ ɪ s		l ə i s
saam	648.8468549345782	22511		s ɑː m		s ɑː m
engelse	648.5009723767524	22499		ɛ ŋ ə l s ə		
nasionale	648.472148830267	22498		n ɐ ʃ i u n ɑː l ə		
lewende	640.0844968029932	22207		l i ə v ə n d ə		
to	634.8962584356073	22027		t ʊ ə		
der	633.916257855101	21993		d æ r		
kon	631.2068444854661	21899		k ɔ n		k ɔ n
manlike	628.7280194877151	21813		m ɐ n l ə k ə		
terwyl	627.3444892564122	21765		t æ r v ɛ ɪ l		
gehad	609.762125900271	21155		x ə h ɐ t		χ ə ɦ a t
werk	605.4962410204204	21007		v æ r k		ʋ ɛː r k
akteurs	605.2944761950221	21000		ɐ k t ø ə r s		
sterftes	594.5144698094535	20626		s t æ r f t ə s		
veral	590.796232312827	20497		f ə r ɐ l		f ə r a l
verskeie	581.5438738909888	20176		f ə r s k ɛ ɪ ə		
stad	575.7791645938934	19976		s t ɐ t		s t a t
tyd	572.2915154691507	19855		t ɛ ɪ t		t œ i̯ t
akteur	572.0321035507814	19846		ɐ k t ø ə r		
spesie	568.9479840768353	19739		s p i ə s i		
vorm	566.6709239044826	19660		f ɔ r ə m		f ɔ r m
maak	564.4515108251009	19583		m ɑː k		m ɑː k
i	564.0191576278187	19568		i		
sal	557.332094843188	19336		s ɐ l		s a l
geword	556.2079765302543	19297		x ə v ɔ r t		
laat	546.3503236322211	18955		l ɑː t		l ɑː t
gewone	540.4703201491837	18751		x ə v ʊ ə n ə		
water	538.5391425346568	18684		v ɑː t ə r		v aː t ə r
duitse	526.1450175459016	18254		d ø y t͡s ə		
man	521.8503091195655	18105		m ɐ n		m a n
april	516.3450117408393	17914		ɐ p r ə l		
vanaf	516.3450117408393	17914		f ɑː n ɐ f		
gemaak	514.2697163938849	17842		x ə m ɑː k		
junie	513.001480348524	17798		j y n i		
januarie	511.41618529182267	17743		j ɐ n y ɑː r i		
genoem	511.012655641026	17729		x ə n u m		
wees	510.3208905253746	17705		v i ə s		v i ə s
oktober	510.0038315140343	17694		ɔ k t ʊ ə b ə r		
maart	507.15030041197207	17595		m ɑː r t		
julie	506.1991233779513	17562		j y l i		
