Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
إيتاليانو	1.4652601852931841	413	a ٕ iː t aː l iː aː n uː	e iː t ɒː l j ɒː n uː		
أونيدو	1.3872075846238137	391	a ٔ uː n iː d uː	ʔ uː n iː d uː		
كوبريلوا	1.408494657533642	397	k uː b r iː l uː aː	k uː b ɾ iː l v ɒː		
سلفادوريون	2.4763961485100303	698	s l f aː d uː r iː uː n	s e l f ɒː d uː ɾ iː uː n		
هندوراسيون	3.4236708929973916	965	h n d uː r aː s iː uː n	h æ n d uː ɾ ɒː s j uː n		
ألوا	1.7313485966660385	488	a ٔ l uː aː	ʔ æ l w ɒː		
إيمن	1.0430665725815889	294	a ٕ iː m n	ʔ iː m æ n		
متسابقات	2.7673194782776847	780	m t s aː b q aː t	m o t͡s ɒː b e ɢ ɒː t		
مجدفة	1.2736765291047292	359	m d͡ʒ d f ة	m o d͡ʒ d æ f æ		
لينفيلد	1.3020592929845003	367	l iː n f iː l d	l iː n f iː l d		
'بيرت	1.0111359632168462	285	' b iː r t	b iː ɾ æ t		
تايتانز	1.6781309143914676	473	t aː iː t aː n z	t ɒː j t ɒː n z		
بنميون	3.746524832129788	1056	b n m iː uː n	b æ n æ m j uː n		
المكابيه	1.4688080307781557	414	a l m k aː b iː h	e l m e k ɒː b iː h		
مكابيه	1.337537747834214	377	m k aː b iː h	m æ k ɒː b iː h		
'داريل	1.0891885638862169	307	' d aː r iː l	d ɒː ɾ iː l		
مونتيديو	1.0927364093711882	308	m uː n t iː d iː uː	m uː n t iː d iː uː		
سينتروأمريكانا	2.6928147230932855	759	s iː n t r uː ʔ a m r iː k aː n aː	s iː n t ɾ uː ʔ m æ ɾ iː k ɒː n ɒː		
gehrels	12.598399317133408	3551	g e h r e l s	j e ʁ a l		
جيرليز	6.460626628132902	1821	d͡ʒ iː r l iː z	d͡ʒ iː ɾ l iː z		
'لوك	1.426233884958499	402	' l uː k	l uː k		
coronavirus	1.1778847010105016	332	c o r o n a v i r u s	k o ʁ o n a v i ʁ u s		
ستامبيدرز	1.2736765291047292	359	s t aː m b iː d r z	e s t ɒː m b iː d æ ɾ z		
مصطدمو	6.141320534485477	1731	m sˤ tˤ d m uː	m o s t æ d m uː		
فنزويليات	1.6249132321168969	458	f n z uː iː l iː aː t	f e n z uː j l iː ɒː t		
'دوغ	1.4936429491729553	421	' d uː ɣ	d uː ɢ		
أنادولو	1.0395187270966173	293	a ٔ n aː d uː l uː	ʔ e n ɒː d uː l uː		
'راندي	1.0217794996717604	288	' r aː n d iː	ɾ ɒː n d iː		
'ناثان	1.3872075846238137	391	' n aː θ aː n	n ɒː s ɒː n		
مجدفون	26.165360451664004	7375	m d͡ʒ d f uː n	m æ d͡ʒ d æ f uː n		
كونغيات	2.479943993995002	699	k uː n ɣ iː aː t	k uː n ɢ iː j ɒː t		
أخضريون	1.4475209578683272	408	a ٔ x dˤ r iː uː n	ʔ æ x dˤ æ ɾ j uː n		
'براندون	1.1956239284353585	337	' b r aː n d uː n	b æ ɾ ɒː n d uː n		
تشيرنيخ	1.5858869317822115	447	t ʃ iː r n iː x	t æ ʃ iː ɾ n iː x		
كونينكليجك	1.163693319070616	328	k uː n iː n k l iː d͡ʒ k	k uː n iː n k l iː d͡ʒ k		
وستوكبورت	1.0324230361266746	291	uː s t uː k b uː r t	v æ s t uː k b uː ɾ t		
الدرّاج	1.2133631558602156	342	a l d r ّ aː d͡ʒ	e l d æ ɾ ɒː d͡ʒ		
ranked	3.0405035806204816	857	r a n k e d	r a n k e d		
بانيونيس	1.1778847010105016	332	b aː n iː uː n iː s	b ɒː n j uː n iː s		
وِلاَية	4.672512503707321	1317	uː ِ l aː َ iː ة	v e l ɒː e j e		
بحَوالَي	4.651225430797493	1311	b ħ َ uː aː l َ iː	b æ h æ n v ɒː l e e j		
باللُّغَةُ	2.7247453324580277	768	b aː l l ُ ّ ɣ َ ة ُ	b ɒː l l æ d e ɢ e n e n		
ميراسول	1.0927364093711882	308	m iː r aː s uː l	m iː ɾ ɒː s uː l		
ليفس	1.8626188796099798	525	l iː f s	l iː f s		
francke	3.1221040267748235	880	f r a n c k e	f r a n k ə		
نزالا	7.37242291777055	2078	n z aː l aː	n æ z ɒː l ɒː		
thm	1.536217094992612	433	t h m	t e e m		
'المنصة	1.4333295759284417	404	' aː l m n sˤ ة	e l m æ n s e		
فليوتن	1.0785450274313026	304	f l iː uː t n	f e l j uː t æ n		
'موافق	1.0075881177318748	284	' m uː aː f q	m æ v ɒː f e ɢ		
بورتوريكيات	1.018231654186789	287	b uː r t uː r iː k iː aː t	b uː ɾ t uː ɾ iː k iː ɒː t		
'جيريمي	1.337537747834214	377	' d͡ʒ iː r iː m iː	d͡ʒ iː ɾ iː m iː		
neat	18.37429176666683	5179	n e a t	n e a tʰ		
'روث	1.1530497826157018	325	' r uː θ	ɾ uː s		
توضيحيات	1.035970881611646	292	t uː dˤ iː ħ iː aː t	t uː z iː h iː j ɒː t		
أوبينهايمر	1.082092872916274	305	a ٔ uː b iː n h aː iː m r	ʔ uː b iː n h ɒː j m æ ɾ		
بسول	1.0679014909763884	301	b s uː l	b æ s uː l		
وذرتين	2.0932288361331204	590	uː ð r t iː n	v æ z ɾ æ t iː n		
كاتنيس	1.5113821765978124	426	k aː t n iː s	k ɒː t e n iː s		
gemeinde	4.566077139158179	1287	g e m e i n d e	ʒ ə m ɛ̃ d		
تايدز	2.025819771918664	571	t aː iː d z	t ɒː j d͡z		
هاليكالا	8.145853233494313	2296	h aː l iː k aː l aː	h ɒː l iː k ɒː l ɒː		
lemmon	3.714594222765046	1047	l e m m o n	l e m o n		
socorro	221.39620179866967	62403	s o c o r r o	s o k o r o		
رباعيون	5.321768227457086	1500	r b aː ʕ iː uː n	ɾ æ b ɒː ʔ j uː n		
دسميد	1.099832100341131	310	d s m iː d	d æ s m iː d		
