Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
পূৰ্বতে	93.04909935118192	560				
'বম্বে	1.1631137418897741	7				
বোম্বাই	27.748570699370323	167				
ভাৰতৰ	1928.4425840532454	11606				
অন্তৰ্ভুক্ত	369.03937439102685	2221				
ৰাজ্যৰ	381.16898912787735	2294				
প্ৰায়	1140.6822625818997	6865				
কোটি	107.83725978378048	649				k ʊ t i
লাখ	145.88769505417451	878				l a x
মানুহৰ	403.10199111779883	2426				
অৰ্থনৈতিক	184.43660764252132	1110				
কেন্দ্ৰবিন্দু	14.289683114645795	86				
বুলি	2511.9933642699434	15118				b u l i
কোৱা	770.978251766936	4640				k ʊ a
হয়	2419.27658313073	14560				ɦ ɔ é
কাৰণ	402.43735469386183	2422				
ভাৰতীয়	2613.0181007083693	15726				bʱ a ɹ ɔ t i ɔ
ৰিজাৰ্ভ	31.570230137008153	190				
বেংক	149.54319538582808	900				b ɛ ŋ k
আৰু	25180.581716383687	151545				a ɹ u
বম্বে	15.120478644567063	91				
ষ্টক	16.782069704409597	101				
আদি	1147.6609450332385	6907				
কৰি	4049.4635719422404	24371				
বহু	544.0049129924457	3274				
প্ৰতিষ্ঠানৰ	93.38141756315044	562				
কেন্দ্ৰীয়	282.9689574911836	1703				
কাৰ্যালয়	86.40273511181178	520				
এই	7726.730746479753	46502				ɛ i
নগৰত	24.09307036771675	145				
তদুপৰি	227.9702934103957	1372				
বোলছবি	44.03216308582716	265				
ইয়াতেই	31.4040710310239	189				
থানে	4.320136755590589	26				
সহ	71.11609736126047	428				
মহানগৰীয়	2.824704801732308	17				
অঞ্চল	268.8454334825221	1618				
বিশ্বৰ	299.25254987764043	1801				
সৰ্বাধিক	169.814606315907	1022				
জনবহুল	16.283592386456835	98				
অঞ্চলসমূহৰ	13.957364902677288	84				
পশ্চিম	346.27557687118417	2084				
উপকূলত	11.797296524881993	71				
অৱস্থিত	348.4356452489794	2097				
এক	2733.6496116529374	16452				ɛ k
স্বাভাৱিক	49.34925447732327	297				
চনৰ	3552.980163261291	21383				
তথ্য	295.9293677579554	1781				
অনুযায়ী	91.88598560929215	553				
চহৰ	137.91205796693035	830				s ɔ ɦ ɔ ɹ
আলফা	11.963455630866248	72				
বিশ্ব	352.9219411105543	2124				b i s s ɔ
নগৰী	9.637228147086699	58				
হিচাপে	3022.267978747586	18189				
যি	768.9843424951249	4628				
সাতোটা	7.975637087244165	48				
দ্বীপক	2.3262274837795482	14				
কেন্দ্ৰ	254.0572730499235	1529				k ɛ n d ɹ ɔ
আধুনিক	350.92803183874327	2112				
মহানগৰী	1.9939092718110412	12				
গঢ়ি	142.39835382850518	857				
উঠিছে	10.301864571023714	62				
সুদূৰ	7.809477981259912	47				
অতীতত	18.609819870236386	112				
সেই	1345.2241220485157	8096				
দ্বীপ	47.02302699354372	283				d i p
আছিল	2284.5215481775003	13749				
সম্প্ৰদায়ৰ	166.6575833022062	1003				
ইতিহাসৰ	90.55671276141813	545				
বিভিন্ন	1556.9108230724546	9370				
পৰ্যায়ত	118.1391243548042	711				
নানান	25.256184109606522	152				
দেশীয়	21.933001989921454	132				
ৰাজ্য	339.46305352582976	2043				ɹ a ɪ d ʑ ɔ
সাম্ৰাজ্যৰ	85.40578047590627	514				
অধীনস্থ	37.21963974047277	224				
অষ্টাদশ	17.280547022362356	104				
শতাব্দীৰ	36.388844210551504	219				
মধ্যভাগত	6.646364239370137	40				
গুৰুত্বপূৰ্ণ	351.09419094472753	2113				
বাণিজ্য	94.54453130504021	569				
আত্মপ্ৰকাশ	91.7198265033079	552				
শতাব্দীত	18.94213808220489	114				
চহৰৰ	154.69412767133994	931				
প্ৰভুত	9.138750829133938	55				
উন্নতি	47.02302699354372	283				
সাধন	53.83555033889811	324				
বিংশ	66.62980149968563	401				
প্ৰথমৰ	10.301864571023714	62				
পৰাই	350.097236308822	2107				
স্বাধীনতা	303.9050048451995	1829				s a dʱ i n ɔ t a
সংগ্ৰামৰ	38.71507169433105	233				
উল্লেখযোগ্য	384.9906485655152	2317				
ঘাটিত	1.8277501658267878	11				
পৰিণত	102.02169107433161	614				
চনত	5006.373863305556	30130				
অৰ্জনৰ	7.809477981259912	47				
পাছত	613.9578966118164	3695				
