Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
'english	6.935017155498689	4			@ @ n @ l i s @	
luräwinaka	3.4675085777493444	2			l u ɾ a ː w i n a k a	
wikipedia	34.67508577749344	20			w i k i p @ @ i a	
uñt	253.12812617570214	146			u ɲ t	
anak	6.935017155498689	4			a n a k	
panka	22.53880575537074	13			p a n k a	
pachamaman	6.935017155498689	4			p a tʃ a m a m a n	
taqinis	6.935017155498689	4			t a q i n i s	
akax	67.61641726611221	39			a k a χ	
aymar	464.6461494184121	268			a j m a ɾ	
kunanaks	8.66877144437336	5			k u n a n a k s	
yatiqañ	86.68771444373361	50			j a t i q a ɲ	
waliwa	5.201262866624016	3			w a l i w a	
taqi	265.2644061978248	153			t a q i	
categoría	20626.474774741975	11897			@ a t @ @ @ ɾ @ a	
este	84.95396015485893	49			@ s t @	
artículo	53.74638295511483	31			a ɾ t @ @ u l @	
otras	71.08392584386155	41			@ t ɾ a s	
lenguas	50.27887437736549	29			l @ n @ u a s	
aymara	197.64798893171263	114			a j m a ɾ a	
ay	147.36911455434714	85			a j	
ja	3.4675085777493444	2			x a	
ca	138.70034310997377	80			@ a	
cymraeg	3.4675085777493444	2			@ j m ɾ a @ @	
cy	3.4675085777493444	2			@ j	
es	270.46566906444883	156			@ s	
guaraní	3.4675085777493444	2			@ u a ɾ a n @	
náhuatl	3.4675085777493444	2			n @ @ u a t l	
simple	22.53880575537074	13			s i m p l @	
norsk	3.4675085777493444	2			n @ ɾ s k	
pt	3.4675085777493444	2			p t	
quechua	17.33754288874672	10			q u @ tʃ u a	
qu	3.4675085777493444	2			q u	
italiano	24.27256004424541	14			i t a l i a n @	
la	7711.739076914541	4448			l a	
traduce	3.4675085777493444	2			t ɾ a @ u @ @	
esta	67.61641726611221	39			@ s t a	
página	126.56406308785107	73			p @ @ i n a	
originalmente	12.136280022122705	7			@ ɾ i @ i n a l m @ n t @	
publicado	65.88266297723754	38			p u @ l i @ a @ @	
meta	3.4675085777493444	2			m @ t a	
list	12.136280022122705	7			l i s t	
of	1433.8147968993537	827			@ @	
articles	5.201262866624016	3			a ɾ t i @ l @ s	
all	58.94764582173885	34			a ʎ	
languages	3.4675085777493444	2			l a n @ u a @ @ s	
should	5.201262866624016	3			s @ @ u l @	
have	15.603788599872049	9			@ a @ @	
debería	8.66877144437336	5			@ @ @ @ ɾ @ a	
haber	8.66877144437336	5			@ a @ @ ɾ	
al	481.98369230715883	278			a l	
menos	24.27256004424541	14			m @ n @ s	
tres	195.91423464283795	113			t ɾ @ s	
frases	17.33754288874672	10			@ ɾ a s @ s	
por	1038.5188190359286	599			p @ ɾ	
cada	26.00631433312008	15			@ a @ a	
biográfico	8.66877144437336	5			@ i @ @ ɾ @ @ i @ @	
siendo	12.136280022122705	7			s i @ n @ @	
unas	6.935017155498689	4			u n a s	
cien	13.870034310997378	8			@ i @ n	
biografías	12.136280022122705	7			@ i @ @ ɾ a @ @ a s	
músicos	6.935017155498689	4			m @ s i @ @ s	
johann	65.88266297723754	38			x @ @ a n n	
sebastian	36.408840066368114	21			s @ @ a s t i a n	
bach	36.408840066368114	21			@ a tʃ	
ludwig	46.81136579961615	27			l u @ w i @	
van	145.63536026547246	84			@ a n	
beethoven	45.07761151074148	26			@ @ @ tʰ @ @ @ n	
wolfgang	41.61010293299213	24			w @ l @ @ a n @	
amadeus	29.473822910869426	17			a m a @ @ u s	
mozart	46.81136579961615	27			m @ @ a ɾ t	
roald	6.935017155498689	4			ɾ @ a l @	
amundsen	3.4675085777493444	2			a m u n @ s @ n	
jacques	46.81136579961615	27			x a @ q u @ s	
cartier	10.402525733248032	6			@ a ɾ t i @ ɾ	
cristoforo	6.935017155498689	4			@ ɾ i s t @ @ @ ɾ @	
colombo	12.136280022122705	7			@ @ l @ m @ @	
cristóbal	74.5514344216109	43			@ ɾ i s t @ @ a l	
colón	45.07761151074148	26			@ @ l @ n	
james	162.97290315421918	94			x a m @ s	
cook	8.66877144437336	5			@ @ @ k	
hernán	78.01894299936025	45			@ @ ɾ n @ n	
cortés	24.27256004424541	14			@ @ ɾ t @ s	
francis	34.67508577749344	20			@ ɾ a n @ i s	
vasco	24.27256004424541	14			@ a s @ @	
da	291.2707205309449	168			@ a	
gama	13.870034310997378	8			@ a m a	
edmund	8.66877144437336	5			@ @ m u n @	
hillary	3.4675085777493444	2			@ i ʎ a ɾ j	
fernando	509.72376092915357	294			@ @ ɾ n a n @ @	
magallanes	6.935017155498689	4			m a @ a ʎ a n @ s	
marco	84.95396015485893	49			m a ɾ @ @	
polo	41.61010293299213	24			p @ l @	
he	31.207577199744097	18			@ @	
y	3925.2197100122576	2264			j	
científicos	5.201262866624016	3			@ i @ n t @ @ i @ @ s	
marie	43.343857221866806	25			m a ɾ i @	
charles	88.42146873260828	51			tʃ a ɾ l @ s	
darwin	31.207577199744097	18			@ a ɾ w i n	
albert	64.14890868836287	37			a l @ @ ɾ t	
einstein	45.07761151074148	26			@ i n s t @ i n	
edison	27.740068621994755	16			@ @ i s @ n	
alexander	57.21389153286418	33			a l @ χ a n @ @ ɾ	
bell	10.402525733248032	6			@ @ ʎ	
enrico	17.33754288874672	10			@ n ɾ i @ @	
henry	71.08392584386155	41			@ @ n ɾ j	
ford	17.33754288874672	10			@ @ ɾ @	
sigmund	3.4675085777493444	2			s i @ m u n @	
freud	19.071297177621393	11			@ ɾ @ u @	
galileo	27.740068621994755	16			@ a l i l @ @	
galilei	20.805051466496064	12			@ a l i l @ i	
johannes	24.27256004424541	14			x @ @ a n n @ s	
gutenberg	20.805051466496064	12			@ u t @ n @ @ ɾ @	
edward	53.74638295511483	31			@ @ w a ɾ @	
john	247.9268633090781	143			x @ @ n	
maynard	6.935017155498689	4			m a j n a ɾ @	
keynes	8.66877144437336	5			k @ j n @ s	
isaac	64.14890868836287	37			i s a a @	
newton	31.207577199744097	18			n @ w t @ n	
leonardo	74.5514344216109	43			l @ @ n a ɾ @ @	
vinci	32.94133148861877	19			@ i n @ i	
los	1888.058420584518	1089			l @ s	
hermanos	29.473822910869426	17			@ @ ɾ m a n @ s	
paulet	12.136280022122705	7			p a u l @ t	
paulina	12.136280022122705	7			p a u l i n a	
panchito	3.4675085777493444	2			p a n tʃ i t @	
escritores	10.402525733248032	6			@ s @ ɾ i t @ ɾ @ s	
san	5204.730375201766	3002			s a n	
agustín	149.1028688432218	86			a @ u s t @ n	
matsuo	5.201262866624016	3			m a t s u @	
basho	5.201262866624016	3			@ a s @ @	
dante	34.67508577749344	20			@ a n t @	
alighieri	8.66877144437336	5			a l i @ @ i @ ɾ i	
von	93.6227315992323	54			@ @ n	
goethe	24.27256004424541	14			@ @ @ tʰ @	
homero	5.201262866624016	3			@ @ m @ ɾ @	
immanuel	12.136280022122705	7			i m m a n u @ l	
kant	13.870034310997378	8			k a n t	
lao	10.402525733248032	6			l a @	
tzu	6.935017155498689	4			t @ u	
li	50.27887437736549	29			l i	
martín	773.2544128381038	446			m a ɾ t @ n	
lutero	3.4675085777493444	2			l u t @ ɾ @	
karl	32.94133148861877	19			k a ɾ l	
marx	32.94133148861877	19			m a ɾ χ	
george	149.1028688432218	86			@ @ @ ɾ @ @	
platón	5.201262866624016	3			p l a t @ n	
pitágoras	3.4675085777493444	2			p i t @ @ @ ɾ a s	
william	178.57669175409123	103			w i ʎ i a m	
shakespeare	24.27256004424541	14			s @ a k @ s p @ a ɾ @	
adam	20.805051466496064	12			a @ a m	
smith	34.67508577749344	20			s m i tʰ	
sócrates	19.071297177621393	11			s @ @ ɾ a t @ s	
sun	53.74638295511483	31			s u n	
tu	81.48645157710959	47			t u	
tomás	136.9665888210991	79			t @ m @ s	
aquino	39.876348644117456	23			a q u i n @	
o	1123.4727791907876	648			@	
santo	254.86188046457679	147			s a n t @	
virgilio	17.33754288874672	10			@ i ɾ @ i l i @	
mary	71.08392584386155	41			m a ɾ j	
wollstonecraft	3.4675085777493444	2			w @ ʎ s t @ n @ @ ɾ a @ t	
confucius	8.66877144437336	5			@ @ n @ u @ i u s	
sima	6.935017155498689	4			s i m a	
qian	5.201262866624016	3			q i a n	
políticos	22.53880575537074	13			p @ l @ t i @ @ s	
otros	126.56406308785107	73			@ t ɾ @ s	
líderes	5.201262866624016	3			l @ @ @ ɾ @ s	
del	3507.3849263934617	2023			@ @ l	
pasado	17.33754288874672	10			p a s a @ @	
akbar	3.4675085777493444	2			a k @ a ɾ	
el	5105.906380735909	2945			@ l	
grande	168.1741660208432	97			@ ɾ a n @ @	
alejandro	234.05682899808073	135			a l @ x a n @ ɾ @	
magno	19.071297177621393	11			m a @ n @	
césar	256.59563475345146	148			@ @ s a ɾ	
augustus	3.4675085777493444	2			a u @ u s t u s	
augusto	372.7571721080545	215			a u @ u s t @	
otto	10.402525733248032	6			@ t t @	
bismarck	6.935017155498689	4			@ i s m a ɾ @ k	
simón	98.82399446585632	57			s i m @ n	
bolívar	86.68771444373361	50			@ @ l @ @ a ɾ	
carlomagno	5.201262866624016	3			@ a ɾ l @ m a @ n @	
carlos	861.675881570712	497			@ a ɾ l @ s	
i	622.4177897060073	359			i	
alemania	24.27256004424541	14			a l @ m a n i a	
españa	143.90160597659778	83			@ s p a ɲ a	
felipe	220.18679468708336	127			@ @ l i p @	
ii	227.12181184258205	131			i i	
reyes	126.56406308785107	73			ɾ @ j @ s	
católicos	5.201262866624016	3			@ a t @ l i @ @ s	
winston	15.603788599872049	9			w i n s t @ n	
churchill	24.27256004424541	14			tʃ u ɾ tʃ i ʎ	
cleopatra	6.935017155498689	4			@ l @ @ p a t ɾ a	
vii	19.071297177621393	11			@ i i	
julio	296.4719833975689	171			x u l i @	
franz	72.81768013273623	42			@ ɾ a n @	
ferdinand	12.136280022122705	7			@ @ ɾ @ i n a n @	
gandhi	43.343857221866806	25			@ a n @ @ i	
gaulle	10.402525733248032	6			@ a u ʎ @	
nihun	64.14890868836287	37			n i @ u n	
qhapaq	124.83030879897639	72			qʰ a p a q	
adolf	5.201262866624016	3			a @ @ l @	
jefferson	31.207577199744097	18			x @ @ @ @ ɾ s @ n	
khan	10.402525733248032	6			kʰ a n	
abraham	52.01262866624016	30			a @ ɾ a @ a m	
lincoln	24.27256004424541	14			l i n @ @ l n	
napoleón	24.27256004424541	14			n a p @ l @ @ n	
bonaparte	5.201262866624016	3			@ @ n a p a ɾ t @	
nelson	46.81136579961615	27			n @ l s @ n	
mandela	22.53880575537074	13			m a n @ @ l a	
mao	27.740068621994755	16			m a @	
tse-tung	3.4675085777493444	2			t s @ @ t u n @	
zedong	20.805051466496064	12			@ @ @ @ n @	
pinyin	26.00631433312008	15			p i n j i n	
benito	50.27887437736549	29			@ @ n i t @	
kwame	3.4675085777493444	2			k w a m @	
nkrumah	3.4675085777493444	2			n k ɾ u m a @	
rusia	12.136280022122705	7			ɾ u s i a	
pol	5.201262866624016	3			p @ l	
franklin	46.81136579961615	27			@ ɾ a n k l i n	
delano	3.4675085777493444	2			@ @ l a n @	
roosevelt	43.343857221866806	25			ɾ @ @ s @ @ @ l t	
zulu	5.201262866624016	3			@ u l u	
toro	34.67508577749344	20			t @ ɾ @	
sentado	3.4675085777493444	2			s @ n t a @ @	
iosif	12.136280022122705	7			i @ s i @	
stalin	19.071297177621393	11			s t a l i n	
lang	3.4675085777493444	2			l a n @	
león	220.18679468708336	127			l @ @ n	
trotsky	31.207577199744097	18			t ɾ @ t s k j	
harry	22.53880575537074	13			@ a ɾ ɾ j	
truman	22.53880575537074	13			t ɾ u m a n	
reina	45.07761151074148	26			ɾ @ i n a	
victoria	164.70665744309386	95			@ i @ t @ ɾ i a	
inglaterra	24.27256004424541	14			i n @ l a t @ ɾ ɾ a	
emperador	5.201262866624016	3			@ m p @ ɾ a @ @ ɾ	
guillermo	178.57669175409123	103			@ u i ʎ @ ɾ m @	
