Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
e	41224.37403776031	588115				
an	18601.174412576416	265368				
ha	13284.970990164442	189526				
gant	12556.465647885392	179133				ɡ ã n t
da	11125.03991954127	158712				
rummad	9965.095110147091	142164				
ur	9302.690079401686	132714				
hag	8561.70768998267	122143				
eus	8339.153618806302	118968				ø s
oa	6879.479294971133	98144				
zo	6229.761598677041	88875				
voe	5435.646615257494	77546				
un	5433.26335906222	77512				
bet	4841.374673388757	69068				
till	4381.826802323479	62512				
er	4244.999858406543	60560				
o	4167.684223601022	59457				
war	4078.0317331964316	58178				
evit	3761.058659224926	53656				
viz	3499.2509565969794	49921				
pe	3283.4961751541896	46843				
al	2974.934593636594	42441				
the	2916.9653914750647	41614				
d'ar	2791.143483518662	39819				
ma	2580.435597548218	36813				
la	2437.300034290851	34771				
anv	2343.511893429755	33433				ɑ̃ n o
vez	2310.4967855481586	32962				
d'an	2022.1227859199466	28848				
ivez	1988.3366245634086	28366				i v e
he	1965.6956907083008	28043				
of	1943.1248526236427	27721				
evel	1920.6241103094335	27400				
dre	1864.9680685727296	26606				
reas	1850.6685314010826	26402				
ket	1626.6424490452816	23206				k e d
all	1620.894595868443	23124				ɛ l
etre	1589.5617864776286	22677				e t r e
ra	1568.603151113303	22378				
pa	1531.3122012343024	21846				
le	1484.9788969673486	21185				
ouzh	1467.10447550279	20930				
goude	1436.2623365051202	20490				
yezhoù	1420.4907881540391	20265				
breizh	1402.4060793781327	20007				
gumun	1366.517044908117	19495				
kentañ	1352.1474119660209	19290				k ɛ̃ n t ɑ̃
ne	1326.2119768997986	18920				
ez	1322.0062306728437	18860				
d	1299.0148179654898	18532				
roue	1288.0798777754069	18376				r uː e
c	1247.63461822619	17799				
re	1242.3774354424963	17724				ʁ eː
savet	1242.3774354424963	17724				
anvet	1203.9649532363078	17176				
diwar	1145.6452722225322	16344				
meur	1140.1778021274908	16266				m ø ʁ
brezel	1132.957937771218	16163				
hini	1124.195966465062	16038				
betek	1089.2882727813358	15540				
deus	1086.834920815612	15505				
hervez	1075.899980625529	15349				
ganet	1062.441592699273	15157				
met	1054.5207706385079	15044				m ɛ d
bro-c'hall	1018.4915446275938	14530				
eil	1007.2762213557139	14370				
unan	1005.9444017171782	14351				ỹː n ã n
miz	988.4905548753151	14102				
lec'hienn	963.8168436771792	13750				
den	942.4376336901582	13445				d ẽː n
gall	941.7366759856657	13435				
ul	931.8531723523215	13294				
ganedigezhioù	928.9792457639023	13253				
graet	925.5445530118891	13204				
and	895.2631801778133	12772				
departamant	880.4028768425725	12560				
vezañ	876.1971306156175	12500				
kantved	875.496172911125	12490				k ã n v e t
strollad	866.9444889163166	12368				
e-pad	865.1219988846361	12342				
bezañ	862.5284553780139	12305				b e z ɑ̃
et	854.7478248581472	12194				
daou	853.275813678713	12173				d ɔ w
kanton	850.75236594254	12137				
tud	835.3312964437051	11917				t yː d
kumunioù	827.0599955306936	11799				
lakaet	822.924345074188	11740				
emañ	822.2934831401448	11731				
dud	809.3958613774828	11547				
vro	791.2410568311273	11288				
embannet	775.1891253982491	11059				
iliz	774.2077846119596	11045				
evned	762.7120782582828	10881				
restr	746.3797637436077	10648				
proviñs	744.9077525641734	10627				
yezh	744.3469864005793	10619				j eː s
bed	738.8795163055379	10541				
ii	737.6878882079006	10524				
spesad	733.6223335218442	10466				s p e sː a t
in	728.5754380494983	10394				
marvioù	724.7201706747895	10339				
krouet	716.6591570731259	10224				
les	710.6309208144904	10138				
istor	695.9809047905973	9929				i s t o ʁ
holl	692.6163078090333	9881				ɔ l
brezhoneg	685.7469223050069	9783				
implijet	682.0318464711967	9730				
lec	680.5598352917624	9709				
des	680.0691648986177	9702				
reter	675.372748278518	9635				
veze	675.372748278518	9635				
anezhañ	671.6576724447077	9582				
bloaz	669.2744162494333	9548				b l w ɑː s
diouzh	665.7696277269708	9498				
abalamour	664.7882869406814	9484				
von	623.5018781460734	8895				
abaoe	621.3990050325959	8865				
em	620.7681430985527	8856				
nevez	616.0016307080037	8788				n e v e
brezel-bed	614.8100026103665	8771				
norzh	608.4312874994848	8680				n ɔ r s
el	599.5291246524301	8553				ɛ l
penn	599.5291246524301	8553				p ɛ nː
kêr	596.6551980640108	8512				k ɛː r
kumun	596.3047192117647	8507				
stad	593.7111757051424	8470				s t a d
dezhañ	585.3697790216818	8351				
katolik	585.0193001694355	8346				
bloavezhioù	580.4630750902343	8281				
i	579.6920216152926	8270				
doare	579.551830074394	8268				
war-dro	578.149914665409	8248				
mae	577.6592442722643	8241				
mab	568.0561237207171	8104				
chom	559.7147270372565	7985				
ober	556.209938514794	7935				
id	553.1958203854763	7892				
a-raok	551.0228515015496	7861				
value	549.9013191743616	7845				
bro	545.9759560292035	7789				
gwelet	542.9618378998858	7746				
dindan	541.9804971135964	7732				d ɪ̃ n d ɑ̃ n
ebrel	529.223066891833	7550				
deuet	527.1902895488047	7521				
stêr	523.6855010263423	7471				s t ɛː r
vloaz	523.2649264036468	7465				
roet	523.1948306331975	7464				
div	520.6012871265752	7427				d i w
genver	520.4610955856768	7425				
rannvro	519.4797547993873	7411				
mervel	515.9749662769249	7361				
neuze	515.4842958837801	7354				n øː z e
kozh	511.27854965682513	7294				k oː s
europa	507.4933780525657	7240				
here	505.88117533223294	7217				
hep	496.97901248517826	7090				h e p
iañ	496.83882094427975	7088				
varv	496.69862940338123	7086				
diwar-benn	496.27805478068575	7080				
ofisiel	496.13786323978724	7078				
galleg	494.24527743765753	7051				ɡ a lː e k
uhelder	493.68451127406354	7043				
meurzh	491.9321170128323	7018				
film	490.2498185220503	6994				
gantañ	488.0768496381236	6963				
eost	484.43186957476263	6911				
aet	482.3289964612851	6881				
mont	481.3476556749956	6867				m ɔ̃ n t
c'hall	474.40817440051995	6768				
gêr	467.3285015851458	6667				
marvet	466.2069692579578	6651				
anezho	465.15553270121904	6636				
eno	464.24428768537877	6623				
arondisamant	461.51055263785804	6584				
nemet	458.70672181988806	6544				
di	455.4823163792226	6498				
's	452.95886864304964	6462				
saozneg	452.39810247945564	6454				s o z n e k
y	449.5241758910364	6413				
reer	447.9119731707037	6390				
roman	447.3512070071097	6382				
emgann	446.29977045037094	6367				
pezh	441.9538326825175	6305				
d'ober	438.0284695373595	6249				
alaman	437.888277996461	6247				
adalek	436.3461710465775	6225				
skrivagner	434.3133937035493	6196				
frañs	434.10310639220154	6193				
alamagn	429.5468813130003	6128				
tri	427.3038166586243	6096				
skrivet	423.0980704316694	6036				
sevel	422.3971127271769	6026				
gentañ	421.7662507931336	6017				
italia	418.4717495820189	5970				
brudet	416.64925955033846	5944				
lodenn	415.80811030494743	5932				
tu	414.12581181416544	5908				
dont	410.9014063735	5862				d ɔ̃ n t
mor	410.8313106030507	5861				m oː r
gwengolo	407.9573840146315	5820				
kalz	405.854510901154	5790				k a l s
merc	405.7143193602555	5788				
kreiz	402.4198181491408	5741				
impalaeriezh	401.92914775599604	5734				
ebet	401.29828582195285	5725				e b ɛ d
republik	400.5272323470111	5714				
bloavezh	396.0411030382591	5650				
enez	395.9009114973606	5648				ẽː n e s
dreist-holl	395.6205284155636	5644				
impalaer	395.05976225196963	5636				
saoz	394.28870877702786	5625				
kerzu	394.14851723612935	5623				
latin	392.7466018271444	5603				
levr	392.7466018271444	5603				l eː v ə r
rouantelezh	388.6810471410879	5545				r u ã n t ɛː l ɛ s
sua	387.4894190434507	5528				
genad	386.85855710940746	5519				
bep	386.7884613389582	5518				
sonerezh	384.89587553682844	5491				
skouer	384.8257797663792	5490				
pariz	381.53127855526446	5443				
ken	381.0406081621197	5436				
a-benn	380.549937768975	5429				
kent	380.05926737583025	5422				
skeudenn	378.79754350774374	5404				s k ø d ɛ̃ n
spagn	377.3956280987588	5384				
ger	372.2085410855143	5310				ɡ eː r
to	371.2272002992248	5296				
marv	369.4748060379936	5271				
san	368.6336567926026	5259				
e-barzh	367.7224117767623	5246				
hanternoz	365.6896344337341	5217				
lakaat	364.49800633609686	5200				l a k ɑː t
pep	362.8157078453149	5176				
new	362.5353247635179	5172				
stumm	359.9417812568957	5135				s t ỹ mː
bro-saoz	358.2594827661137	5111				
kaset	358.2594827661137	5111				
isbn	357.83890814341817	5105				
amzer	354.7546942436512	5061				
dug	352.441533818826	5028				
lazhet	348.6563622145665	4974				
aour	348.58626644411726	4973				ɔ w r
c'hoazh	348.02550028052326	4965				
monumant	346.55348910108904	4944				
a-enep	345.5020525443503	4929				
anavezet	345.01138215120557	4922				
jean	344.2403286762638	4911				
c'hwevrer	344.17023290581454	4910				
stadoù-unanet	341.2262105469461	4868				
afrika	340.1046782197581	4852				
vije	339.6140078266133	4845				
john	336.8802727790926	4806				
kavet	336.5998896972956	4802				
text	335.4082615996584	4785				
gouere	334.70730389516586	4775				
brezhonek	334.49701658381815	4772				b r e z ɔ̃ː n e k
inizi	334.2166335020211	4768				
komzet	330.64174920910943	4717				
perzh	329.09964225922596	4695				
del	327.27715222754546	4669				d e l
ennañ	325.3845664254157	4642				
arme	322.16016098475023	4596				
skol	321.3891075098085	4585				s k ɔː l
n'eo	321.24891596891	4583				
for	319.49652170767877	4558				
brasañ	318.93575554408477	4550				
gaver	318.0946062986938	4538				
kod	317.8142232168968	4534				
avat	316.9730739715058	4522				
dezhi	315.1505839398253	4496				
saoznek	314.37953046488354	4485				
lavaret	313.39818967859406	4471				
enni	312.83742351500007	4463				
international	312.0663700400583	4452				
hiziv	311.0850292537688	4438				
priz	310.5242630901748	4430				
wech	310.1737842379286	4425				
gallek	309.7532096152331	4419				
stadunanat	308.9120603698421	4407				
eas	308.7017730584944	4404				
kembre	307.15966610861085	4382				
prezidant	306.94937879726314	4379				
amerika	302.0426748658157	4309				
vefe	300.2201848341352	4283				
at	298.74817365470096	4262				
skrivagnerien	298.2575032615562	4255				
belgia	296.505109000325	4230				
se	292.36945854381923	4171				
war-lerc	291.8787881506745	4164				
fontsize	291.5984050688775	4160				
boblañs	291.38811775752976	4157				
c'hoari	291.1077346757328	4153				x w ɑː r i
darn	290.617064282588	4146				
en-dro	290.336681200791	4142				
gray	289.8460108076463	4135				
anezhi	289.6357234962985	4132				
p	288.5842869395598	4117				
orin	288.44409539866126	4115				
vo	285.6402645806913	4075				
z	284.9393068761988	4065				
do	284.6589237944018	4061				
'bloavezhioù	283.39719992631535	4043				
roll	282.34576336957656	4028				
vont	282.0653802877796	4024				
gorread	279.6821240925051	3990				
ag	279.54193255160664	3988				
deiz	277.6493467494769	3961				d ɛ j s
ouzhpenn	277.6493467494769	3961				
rusia	276.5278144222889	3945				
troet	276.2474313404919	3941				
sina	275.9670482586949	3937				
poblañs	274.7053243906084	3919				
rgb	274.4249413088114	3915				
bihan	274.2847497679129	3913				
kement	272.88283435892794	3893				
bremañ	271.9014935726384	3879				b ʁ e m ɑ̃
n	270.9902485567982	3866				
rae	268.95747121376996	3837				
teir	268.5368965910745	3831				t e i ʁ
daoust	268.3266092797267	3828				
teuas	267.4153642638865	3815				
argant	266.9246938707417	3808				
barra	266.714406559394	3805				
gridcolor	266.2938319366985	3799				
lez	261.59741531659876	3732				
vrasañ	260.4057872189615	3715				
ti	259.56463797357054	3703				
soudarded	259.2842548917735	3699				s u d a r d e t
sir	259.21415912132426	3698				
labour	258.09262679413627	3682				
roma	257.74214794189004	3677				
darkgrey	256.6907113851513	3662				
lightgrey	256.6907113851513	3662				
dimezet	256.5505198442528	3660				
alies	256.41032830335433	3658				a l iː e s
devoa	256.3402325329051	3657				
niver	255.91965791020957	3651				n iː v ɛ r
sfondo	255.70937059886182	3648				
lennegezh	255.2887959761663	3642				
lenn	252.34477361729785	3600				
rouanez	251.7139116832546	3591				
vras	251.7139116832546	3591				
fin	251.1531455196606	3583				
romant	251.1531455196606	3583				
get	249.96151742202335	3566				
lod	249.89142165157412	3565				
km	248.20912316079213	3541				
broioù	247.85864430854588	3536				
even	247.78854853809662	3535				
italian	247.36797391540114	3529				
douar	245.96605850641615	3509				d uː a r
'kronologiezh	245.7557711950684	3506				
echedoù	244.7744304087789	3492				
mezheven	242.95194037709842	3466				
pevar	241.9005038203597	3451				
portugal	241.83040804991043	3450				
