Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
espèces	1.4111228895818162	452	ɛ s p ɛ s ɛ s	ə s p ɛ s ə s		
sálvame	1.0115128677533372	324	s a ́ l b a m ɛ	s a l v ə m ə		
tourneur	1.3361960104889763	428	t ɔ b ɾ n ɛ b ɾ	t u r n e w		
caràcids	4.536198138412343	1453	k a ɾ a s i t s	k ə ɾ a s i t͡s		
caraciformes	6.590443406874367	2111	k a ɾ a s i f ɔ ɾ m ɛ s	k ə ɾ ə s i f o ɾ m ə s		
characoids	4.305173594542754	1379	k a ɾ a k ɔ ʒ t s	ʃ ə ɾ ə k ɔ j t͡s		
helfman	7.576980648263424	2427	ɛ l f m a n	e l f m a n		
vevers	2.556879749043158	819	b ɛ b ɛ ɾ s	v ə v e s		
platnick	6.552979967327947	2099	p l a d n i k k	p l a n n i k		
pholcus	1.451708282423771	465	p ɔ l k u s	f ɔ l k u s		
cheiracanthium	2.0074159690289997	643	k ɛ ʒ ɾ a k a n t i b m	ʃ ə j ɾ ə k ə n t i w m		
clubiona	2.953367817576102	946	k l u b i ɔ n a	k l u b i o n ə		
dysdera	1.7389279856129902	557	d i s d ɛ ɾ a	d i z d e ɾ a		
drassodes	1.089561700141712	349	d ɾ a s ɔ d ɛ s	d ɾ ə s ɔ d ə s		
oxyopes	1.9137573701629498	613	ɔ ʃ i ɔ p ɛ s	o k s j ɔ p e s		
philodromus	1.514147348334471	485	p i l ɔ d ɾ ɔ m u s	f i l o d ɾ ɔ m u s		
scytodes	1.2987325709425563	416	s k i t ɔ d ɛ s	s i t ɔ d ə s		
pardosa	1.7389279856129902	557	p a ɾ d ɔ s a	p ə ɾ d o z ə		
marusik	1.5890742274273106	509	m a ɾ u s i k	m ə ɾ u z i k		
lessert	1.2362935050318566	396	l ɛ s ɛ ɾ t	l ə s ɛ r t		
tikader	1.6046839939049855	514	t i k a d ɛ ɾ	t i k ə d e		
kulczyn'ski	1.3424399170800463	430	k u l ɡ z i n ' s k i	k u l d͡z ɪ n s k i		
barrion	1.098927560028317	352	b a ɾ ɾ i ɔ n	b ə r i o n		
litsinger	1.0177567743444071	326	l i t͡s i n ʒ ɛ ɾ	l i t͡s i ɲ ʒ e		
elasmobranchs	1.6359035268603355	524	ɛ l a s m ɔ b ɾ a ŋ k s	ə l ə z m u b ɾ a ŋ s		
copeia	4.598637204323042	1473	k ɔ p ɛ ʒ a	k o p ə j ə		
gobiidae	8.666542348405136	2776	ɡ ɔ b i ʒ d a ɛ	ɡ u b i j d a ə		
jahnsita-	1.2113178786675767	388	ʒ a n s i t a -	ʒ a n s i t a		
psicòdids	2.569367562225298	823	p s i k ɔ d i t s	p s i k ɔ d i t͡s		
d'unita	1.2862447577604166	412	d ' u n i t a	d u n i t ə		
catfish	2.975221490644847	953	k a t f i z	k a t f i ʃ		
manchu	1.086439746846177	348	m a ŋ k u	m a ŋ t͡ʃ u		
brignoli	1.489171721970191	477	b ɾ i t͡ʃ n ɔ l i	b ɾ i ɡ n ɔ l i		
bosmans	1.2612691313961366	404	b ɔ s m a n s	b o z m a n s		
philautus	1.070829980368502	343	p i l a b t u s	f i l a w t u s		
check-list	7.7143465932669635	2471	k ɛ k k - l i s t	t͡ʃ ɛ k l i s t		
murdy	1.9387329965272297	621	m u ɾ d i	m u ɾ d i		
pickard-cambridge	1.3736594500353962	440	p i k k a ɾ d - k a m b ɾ i d ʒ ɛ	p i k a ɾ t k a m b ɾ i d͡ʒ e		
sortida-entrada	1.0083909144578023	323	s ɔ ɾ t i d a - ɛ n t ɾ a d a	s o ɾ t i d a e n t ɾ a d a		
ovovivípar	1.1863422523032967	380	ɔ b ɔ b i b i p a ɾ	o v o v i v i p a ɾ		
bora-hansgrohe	1.0083909144578023	323	b ɔ ɾ a - a n s ɡ ɾ ɔ ɛ	b o ɾ a a n z ɡ ɾ o e		
brescovit	1.6608791532246154	532	b ɾ ɛ s k ɔ b i t	b ɾ ə s k u b i t		
jocqué	2.0917087080084444	670	ʒ ɔ k k e	ʒ u k e		
deeleman-reinhold	1.454830235719306	466	d ɛ ɛ l ɛ m a n - ɾ ɛ ʒ n ɔ l d	d e e l e m a n ɾ e j n o l t		
eskov	1.086439746846177	348	ɛ s k ɔ b	ə s k ɔ f		
shadab	1.2425374116229266	398	z a d a b	ʃ ə d a p		
harpactea	1.064586073777432	341	a ɾ p a k t ɛ a	a ɾ p a k t e a		
theridion	1.879415883912065	602	t ɛ ɾ i d i ɔ n	t ə ɾ i d i o n		
lycodes	1.9356110432316946	620	l i k ɔ d ɛ s	l i k ɔ d e s		
tmarus	1.3705374967398611	439	d m a ɾ u s	t m a ɾ u s		
tanasevitch	1.2050739720765067	386	t a n a s ɛ b i t k	t a n a z e v i t͡ʃ		
