Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
'ribeiro	1.9216274626987235	1097	ʔ ɾ i b e i ɾ o			
'elb	1.529244097480388	873	ʔ e l b			
amalie	1.6816429937928665	960	a m a l i e			
danismark	18.599672195929852	10618	d a n i s m a ɾ k			
balka	7.700523542409835	4396	b a l k a			
'balka	3.9308404979908254	2244	ʔ b a l k a			
fello	1.5152304058654475	865	f e l l o			
'assif	1.8795863878539019	1073	ʔ a s s i f			
talat	1.1053299261284362	631	t a l a t			
esker	1.3628315095529688	778	e s k e ɾ			
budzi	2.6223120434457514	1497	b u d z i			
ngao	1.101826503224701	629	ŋ a o			
lempa	3.8082206963600957	2174	l e m p a			
shimane-ken	1.5607749036140042	891	s h i m a n e ʔ k e n			
kayanga	2.2176666980643427	1266	k a j a ŋ a			
chachoengsao	2.65909798393497	1518	t͡ʃ a t͡ʃ o e ŋ s a o			
ngam	1.8743312534982992	1070	ŋ a m			
indienne	1.1946672101736822	682	i n d i e n n e			
bandaman	6.782626741631228	3872	b a n d a m a n			
ogooué	5.847212826333946	3338	o ɡ o o u e ́			
ntem	3.151328901909757	1799	n t e m			
pun	2.184384180478859	1247	p u n			
rapel	1.4661824852131555	837	ɾ a p e l			
carboneras	1.1281021750027147	644	k a ɾ b o n e ɾ a s			
carrizalillo	1.1666398269438012	666	k a ɾ ɾ i z a l i l l o			
yaoundé	15.830216390527223	9037	j a o u n d e ́			
hosséré	3.2546798775699437	1858	h o s s e ́ ɾ e ́			
maenam	38.86872540548949	22189	m a e n a m			
kakayuhan	7.907225493730208	4514	k a k a j u h a n			
fresnos	1.4293965447239365	816	f ɾ e s n o s			
varal	1.1473710009732578	655	v a ɾ a l			
'barranco	2.8657999352553434	1636	ʔ b a ɾ ɾ a n k o			
'morichal	1.1596329811363308	662	ʔ m o ɾ i t͡ʃ a l			
guadiana	4.701593536812556	2684	ɡ u a d i a n a			
ilías	2.0565092444925264	1174	i l i ́ a s			
profítis	1.6974083968596747	969	p ɾ o f i ́ t i s			
lhota	1.2437151308259742	710	l h o t a			
kamennyy	1.212184324692358	692	k a m e n n j j			
bolikhamxai	2.098550319337348	1198	b o l i k h a m x a i			
ezers	2.1791290461232564	1244	e z e ɾ s			
coulee	19.98352424290523	11408	k o u l e e			
foin	1.2857562056707958	734	f o i n			
décharge	1.6746361479853962	956	d e ́ t͡ʃ a ɾ ɡ e			
l'ours	1.8252833328460072	1042	l ʔ o u ɾ s			
gagnon	1.0913162345134957	623	ɡ a ɡ n o n			
croche	1.5467612119990637	883	k ɾ o t͡ʃ e			
bjørndalen	1.5677817494214745	895	b d͡ʒ ø ɾ n d a l e n			
cranberry	5.4495743267600085	3111	k ɾ a n b e ɾ ɾ j			
lick	15.7829201813268	9010	l i k k			
blackhawk	1.1351090208101848	648	b l a k k h a w k			
blacktail	1.3645832210048365	779	b l a k k t a i l			
bloody	1.289259628574531	736	b l o o d͡ʒ			
brochet	1.13861244371392	650	b ɾ o t͡ʃ e t			
buckeye	3.0917707125462597	1765	b u k k e j e			
campground	1.667629302177926	952	k a m p ɡ ɾ o u n d			
chokecherry	1.1596329811363308	662	t͡ʃ o k e t͡ʃ e ɾ ɾ j			
'cottonwood	3.1005292698055977	1770	ʔ k o t t o n w o o d			
'coyote	1.4136311416571283	807	ʔ k o j o t e			
cripple	1.6343467845924422	933	k ɾ i p p l e			
debris	1.2805010713151932	731	d e b ɾ i s			
detroit	1.8603175618833585	1062	d e t ɾ o i t			
'ditch	1.821779909942272	1040	ʔ d i t t͡ʃ			
ditch	82.82091744429867	47280	d i t t͡ʃ			
draw	40.34716987086573	23033	d ɾ a w			
edgewood	1.0930679459653632	624	e d ɡ e w o o d			
eightmile	1.6325950731405745	932	e i ɡ h t m i l e			
flattop	1.3085284545450742	747	f l a t t o p			
fourmile	4.095501374466377	2338	f o u ɾ m i l e			
flowage	2.7186561732984678	1552	f l o w a ɡ e			
grandview	1.3067767430932067	746	ɡ ɾ a n d v i e w			
greasy	1.215687747596093	694	ɡ ɾ e a s j			
hardscrabble	1.0229994878906605	584	h a ɾ d s k ɾ a b b l e			
horsehead	1.0282546222462632	587	h o ɾ s e h e a d			
huff	1.0019789504682497	572	h u f f			
fourche	1.1070816375803039	632	f o u ɾ t͡ʃ e			
squaw	7.570896894971635	4322	s q u a w			
mohawk	1.606319401362561	917	m o h a w k			
pickerel	2.196646160641932	1254	p i k k e ɾ e l			
