Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
reşidov	18.851385105520627	8			r e ʃ i d̪ o v	
ii	466.57178136163554	198			i i	
cian	242.7115832335781	103			dʒ i ɑ n	
cenki	292.1964691355697	124			dʒ e n k i	
uçucısı	9.425692552760314	4			u tʃ u dʒ ɯ s ɯ	
birliginiñ	120.17758004769401	51			b i r l i ɡ i n i ŋ	
qaramanı	94.25692552760314	40			q ɑ r ɑ m ɑ n ɯ	
abdureim	11.782115690950393	5			ɑ b d̪ u r e i m	
senesi	4988.547783548396	2117			s e n e s i	
qırımda	501.91812843448673	213			q ɯ r ɯ m d̪ ɑ	
mamaşay	9.425692552760314	4			m ɑ m ɑ ʃ ɑ j	
köyünde	212.07808243710707	90			k ø j y n d̪ e	
köylü	47.12846276380157	20			k ø j l y	
qorantasında	98.96977180398329	42			q o r ɑ n t̪ ɑ s ɯ n d̪ ɑ	
doğdı	1201.77580047694	510			d̪ o ɣ d̪ ɯ	
o	1835.6536246500712	779			o	
yaşlıqtan	9.425692552760314	4			j ɑ ʃ l ɯ q t̪ ɑ n	
zenaatına	4.712846276380157	2			z e n ɑ ɑ t̪ ɯ n ɑ	
ve	14053.707596165628	5964			v e	
aqmescit	492.4924358817264	209			ɑ q m e s dʒ i t̪	
oqumağa	61.267001592942044	26			o q u m ɑ ɣ ɑ	
kirdi	169.66246594968564	72			k i r d̪ i	
soñra	589.1057845475196	250			s o ŋ r ɑ	
ades	739.9168653916846	314			ɑ d̪ e s	
odessa	16.49496196733055	7			o d̪ e s ː ɑ	
arbiy	174.3753122260658	74			ɑ r b i j	
uçucılar	7.069269414570235	3			u tʃ u dʒ ɯ l ɑ r	
mektebini	56.55415531656188	24			m e k t̪ e b i n i	
bitirdi	101.32619494217337	43			b i t̪ i r d̪ i	
uçucı	7.069269414570235	3			u tʃ u dʒ ɯ	
oldı	1015.6183725599238	431			o l d̪ ɯ	
ağır	96.61334866579323	41			ɑ ɣ ɯ r	
edi	3277.784585222399	1391			e d̪ i	
özüniñ	110.75188749493368	47			ø z y n i ŋ	
cenkâver	16.49496196733055	7			dʒ e n k j ɑ v e r	
dostlarınen	4.712846276380157	2			d̪ o s t̪ l ɑ r ɯ n e n	
duşmanğa	11.782115690950393	5			d̪ u ʃ m ɑ n ɣ ɑ	
qarşı	393.5226640777431	167			q ɑ r ʃ ɯ	
uruşlarda	35.34634707285118	15			u r u ʃ l ɑ r d̪ ɑ	
misli	9.425692552760314	4			m i s l i	
yoq	393.5226640777431	167			j o q	
cesürlik	14.13853882914047	6			dʒ e s y r l i k	
fedakârlıq	4.712846276380157	2			f e d̪ ɑ k j ɑ r l ɯ q	
erlik	11.782115690950393	5			e r l i k	
kösterdi	40.059193349231336	17			k ø s t̪ e r d̪ i	
çoq	970.8463329343124	412			tʃ o q	
taqdirlendi	11.782115690950393	5			t̪ ɑ q d̪ i r l e n d̪ i	
senesiniñ	179.08815850244596	76			s e n e s i n i ŋ	
iyün	254.49369892452847	108			i j y n	
ayında	221.50377498986737	94			ɑ j ɯ n d̪ ɑ	
