Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
w	40618.94527321045	15346	f			f
i	17339.678775237953	6551	i			i
je	16916.178759356702	6391	j ɛ			
kategòrëjô	13295.25362357201	5023	k a t ɛ ɡ w ɛ r ə j ɞ			
z	12080.337953012673	4564	s			s
to	9774.909741559115	3693	t ɔ			t ɔ
sã	9020.550338270637	3408	s ã			s ã
rok	8419.709690739113	3181	r ɔ k			r ɔ k
do	8311.187811669542	3140	d ɔ			d ɔ
rokù	6196.334607362548	2341	r ɔ k w ʉ			
ë	5815.184593069423	2197	ə			ɜ
téż	3830.0282686260603	1447	t e ʃ			tʲ e ʃ
òd	3769.15014134313	1424	w ɛ t			w ɛ t
béł	3721.5063895564895	1406	b e w			
pò	3652.6876369757865	1380	p w ɛ			
są	2718.340726937777	1027	s ɔ̃			
kalãdôrza	2472.1813427068005	934	k a l ã d ɞ ʐ a			
ò	2395.421964828324	905	w ɛ			
stolatégò	2310.721961652074	873	s t ɔ l a t e ɡ w ɛ			
òn	2249.8438343691437	850	w ɛ n			w ɛ n̪
ùmarlë	2149.2625805973466	812	w ʉ m a r l ə			
wëdarzenia	2138.6750802003157	808	v ə d a ʐ ɛ ɲ a			
ùrodzëlë	2125.4407047040263	803	w ʉ r ɔ d z ə l ə			
krézu	2038.0938264285185	770	k r e z u			
pòdług	1966.6281987485575	743	p w ɛ d w u k			
że	1937.5125726567214	732	ʒ ɛ			ʑ ɛ
abò	1932.2188224582058	730	a b w ɛ			a b w ɛ
pòczątk	1911.0438216641433	722	p w ɛ t ʃ ɔ̃ t k			p w ɛ t͡ʃ õ t k
jak	1895.1625710685964	716	j a k			j a k
kalãdôrz	1876.6344453737918	709	k a l ã d ɞ ʐ			
nie	1868.6938200760183	706	ɲ ɛ			
tu	1852.8125694804714	700	t u			t u
przëpôdł	1839.5781939841822	695	p ʐ ə p ɞ d w			
juliańsczégò	1807.8156927930884	683	j u l i a ɲ s t ʃ e ɡ w ɛ			
przez	1797.2281923960572	679	p ʐ ɛ s			p r̝ʲ ɛ s
kaszëbskô	1773.406316502737	670	k a ʃ ə p s k ɞ			
gmina	1760.1719410064477	665	ɡ mʲ n a			
kaszëbsczi	1720.4688145175805	650	k a ʃ ə p s t ʃ i			
dzéń	1699.293813723518	642	d z e ɲ			
kòl	1683.4125631279712	636	k w ɛ l			
wies	1675.4719378301977	633	vʲ ɛ s			v j ɛ s
dlô	1643.7094366391038	621	d l ɞ			d l ɞ
za	1633.1219362420727	617	z a			z a
pòl	1609.3000603487524	608	p w ɛ l			
gminie	1559.0094334628538	589	ɡ mʲ ɲ ɛ			
we	1545.7750579665646	584	v ɛ			vʲ ɛ
wiele	1545.7750579665646	584	vʲ ɛ l ɛ			vʲ i ɛ lʲ ɛ
wòjewództwie	1529.8938073710178	578	v w ɛ j ɛ v o t s t vʲ ɛ			
jinëch	1527.24693227176	577	j i n ə x			
jegò	1500.7781812791818	567	j ɛ ɡ w ɛ			
kaszëbach	1498.131306179924	566	k a ʃ ə b a x			
pòlsczégò	1476.9563053858615	558	p w ɛ l s t ʃ e ɡ w ɛ			
mô	1458.4281796910568	551	m ɞ			
the	1413.431303003674	534	t x ɛ			
ùr	1413.431303003674	534	w ʉ r			
nieprzestãpny	1392.2563022096112	526	ɲ ɛ p ʐ ɛ s t ã p n i			
słowiańsczich	1386.9625520110958	524	s w ɔ vʲ a ɲ s t ʃ i x			
bëc	1379.0219267133223	521	b ə t s			
np	1376.3750516140644	520	n p			
chtërnégò	1373.7281765148066	519	x t ə r n e ɡ w ɛ			
mòże	1368.434426316291	517	m w ɛ ʒ ɛ			
krajów	1363.1406761177755	515	k r a j o f			
gardu	1352.553175720744	511	ɡ a r d u			
christusa	1344.6125504229706	508	x r i s t u s a			
królestwa	1331.3781749266816	503	k r o l ɛ s t v a			
rodzëznë	1320.7906745296502	499	r ɔ d z ə z n ə			
krajach	1310.203174132619	495	k r a j a x			
słowôrzu	1307.5562990333613	494	s w ɔ v ɞ ʐ u			
tak	1296.96879863633	490	t a k			t a k
pòlsczi	1291.6750484378142	488	p w ɛ l s t ʃ i			
niechtërnëch	1286.3812982392988	486	ɲ ɛ x t ə r n ə x			
kaszëbë	1283.734423140041	485	k a ʃ ə b ə			
naszi	1278.4406729415252	483	n a ʃ i			
geògraficznym	1275.7937978422674	482	ɡ ɛ w ɛ ɡ r a fʲ t ʃ n i m			
ùżiwóny	1262.5594223459784	477	w ʉ ʒ i v o n i			
kaszëbsczégò	1259.9125472467206	476	k a ʃ ə p s t ʃ e ɡ w ɛ			
erë	1257.2656721474627	475	ɛ r ə			
narodzenim	1257.2656721474627	475	n a r ɔ d z ɛ ɲ m			
dzesãcolecô	1246.6781717504314	471	d z ɛ s ã t s ɔ l ɛ t s ɞ			
hewòtny	1246.6781717504314	471	x ɛ v w ɛ t n i			
gregòriańsczégò	1236.0906713534002	467	ɡ r ɛ ɡ w ɛ r i a ɲ s t ʃ e ɡ w ɛ			
gregòriańsczi	1228.1500460556267	464	ɡ r ɛ ɡ w ɛ r i a ɲ s t ʃ i			
juliańsczi	1228.1500460556267	464	j u l i a ɲ s t ʃ i			
warszawa	1217.5625456585954	460	v a r ʃ a v a			
gardë	1204.3281701623064	455	ɡ a r d ə			
pòlsce	1196.3875448645329	452	p w ɛ l s t s ɛ			
równak	1185.8000444675017	448	r o v n a k			
co	1172.5656689712125	443	t s ɔ			t͡s ɔ
jin	1169.9187938719547	442	j i n			
òna	1114.3344167875407	421	w ɛ n a			
ùm	1109.040666589025	419	w ʉ m			
pòmòrsczim	1082.5719155964468	409	p w ɛ m w ɛ r s t ʃ i m			
kòscół	1071.9844151994155	405	k w ɛ s t s o w			k w ɛ s t͡s o w
zwëczajny	1064.0437899016422	402	z v ə t ʃ a j n i			
bëła	1053.4562895046108	398	b ə w a			
stolaté	1024.3406634127748	387	s t ɔ l a t ɨ			
x	1021.6937883135171	386	x			
kaszëbi	1019.0469132142592	385	k a ʃ ə bʲ			
jakno	1003.1656626187123	379	j a k n ɔ			
jãzëk	989.9312871224232	374	j ã z ə k			j ã z ɜ k
xix	989.9312871224232	374	x i x			
gard	979.343786725392	370	ɡ a r t			
tim	966.1094112291029	365	t i m			
jãzëka	960.8156610305873	363	j ã z ə k a			
swiece	955.5219108320716	361	s vʲ ɛ t s ɛ			
nad	944.9344104350404	357	n a t			
ji	936.993785137267	354	j i			
pòmòrsczé	934.3469100380091	353	p w ɛ m w ɛ r s t ʃ ɨ			
wsë	934.3469100380091	353	f s ə			
leno	918.4656594424622	347	l ɛ n ɔ			
ii	915.8187843432044	346	i i			
ze	915.8187843432044	346	z ɛ			zʲ ɛ
nié	913.1719092439466	345	ɲ ɨ			ɲʲ e
drëdżégò	889.3500333506263	336	d r ə d ʒ e ɡ w ɛ			
ni	884.0562831521106	334	ɲ			
òbrôzk	881.4094080528528	333	w ɛ b r ɞ s k			
xviii	878.762532953595	332	x v i i i			
bëło	876.1156578543372	331	b ə w ɔ			
latach	876.1156578543372	331	l a t a x			
lëdztwò	873.4687827550794	330	l ə t s t v w ɛ			
gduńsk	849.646906861759	321	ɡ d u ɲ s k			
tësąclecô	847.0000317625012	320	t ə s ɔ̃ t s l ɛ t s ɞ			
swiãta	831.1187811669542	314	s vʲ ã t a			
wiéchrzëzna	812.5906554721496	307	vʲ e x ʐ ə z n a			
mionowi	809.9437803728918	306	mʲ ɔ n ɔ vʲ			
ùroczëznë	802.0031550751183	303	w ʉ r ɔ t ʃ ə z n ə			
jaż	788.7687795788293	298	j a ʃ			
miem	788.7687795788293	298	mʲ ɛ m			
baro	775.5344040825402	293	b a r ɔ			
tegò	767.5937787847668	290	t ɛ ɡ w ɛ			
gdańsk	764.9469036855089	289	ɡ d a ɲ s k			
lëdzy	764.9469036855089	289	l ə d z i			
zaczął	764.9469036855089	289	z a t ʃ ɔ̃ w			
px	751.7125281892198	284	p x			
of	749.065653089962	283	ɔ f			
lat	741.1250277921886	280	l a t			
pòd	735.8312775936729	278	p w ɛ t			p w ɛ t
zôczątkù	722.5969020973838	273	z ɞ t ʃ ɔ̃ t k w ʉ			
jich	719.950026998126	272	j i x			
òb	719.950026998126	272	w ɛ p			
czasach	709.3625266010947	268	t ʃ a s a x			
bòtanika	706.715651501837	267	b w ɛ t a ɲ k a			
in	704.0687764025791	266	i n			
nëch	701.4219013033213	265	n ə x			
słownik	696.1281511048056	263	s w ɔ v ɲ k			
dopiérze	690.83440090629	261	d ɔ pʲ e ʐ ɛ			
dzél	685.5406507077744	259	d z e l			d͡z e l
roku	682.8937756085165	258	r ɔ k u			
kaszëbów	677.600025410001	256	k a ʃ ə b o f			
wòjewództwò	674.9531503107431	255	v w ɛ j ɛ v o t s t v w ɛ			w ɛ j ɛ v o t͡s t w ɛ
dni	672.3062752114853	254	d ɲ			
nót	672.3062752114853	254	n o t			
przë	669.6594001122276	253	p ʐ ə			p r̝ ɜ
ti	656.4250246159385	248	t i			
herb	648.484399318165	245	x ɛ r p			
samò	648.484399318165	245	s a m w ɛ			
'gregòriańsczi	637.8968989211337	241	' ɡ r ɛ ɡ w ɛ r i a ɲ s t ʃ i			
pamiãtac	635.2500238218759	240	p a mʲ ã t a t s			
katolëcczich	632.6031487226181	239	k a t ɔ l ə t s t ʃ i x			
pòwszechny	632.6031487226181	239	p w ɛ f ʃ ɛ x n i			
oficjalno	622.0156483255868	235	ɔ fʲ t s j a l n ɔ			
dzysdniowim	619.368773226329	234	d z i z d ɲ ɔ vʲ m			
bez	616.7218981270712	233	b ɛ s			bʲ ɛ s
gò	616.7218981270712	233	ɡ w ɛ			
ùżiwónégò	611.4281479285555	231	w ʉ ʒ i v o n e ɡ w ɛ			
'kalãdôrz	608.7812728292977	230	' k a l ã d ɞ ʐ			
wòjewództwa	606.13439773004	229	v w ɛ j ɛ v o t s t v a			
hewòtnym	598.1937724322664	226	x ɛ v w ɛ t n i m			
rosce	598.1937724322664	226	r ɔ s t s ɛ			
rozeszłosc	598.1937724322664	226	r ɔ z ɛ ʃ w ɔ s t s			
wënôszała	598.1937724322664	226	v ə n ɞ ʃ a w a			
ju	590.253147134493	223	j u			
chtëren	584.9593969359773	221	x t ə r ɛ n			
le	577.0187716382039	218	l ɛ			
xv	577.0187716382039	218	x f			
wiôldżi	571.7250214396882	216	vʲ ɞ l d ʒ i			v j ɞ l d͡ʑ i
jan	561.137521042657	212	j a n			
kaszëbsczim	558.4906459433993	211	k a ʃ ə p s t ʃ i m			
km	555.8437708441414	210	k m			
òbéńdze	545.2562704471102	206	w ɛ b e ɲ d z ɛ			
mają	542.6093953478523	205	m a j ɔ̃			
wedle	539.9625202485945	204	v ɛ d l ɛ			
bëłë	534.6687700500789	202	b ə w ə			
dosc	534.6687700500789	202	d ɔ s t s			
jaczi	516.1406443552742	195	j a t ʃ i			j a t͡ɕ i
òstôł	510.84689415675854	193	w ɛ s t ɞ w			
jakò	508.2000190575007	192	j a k w ɛ			j a k w ɛ
karno	508.2000190575007	192	k a r n ɔ			
karna	505.5531439582429	191	k a r n a			
pòmòrsczégò	502.9062688589851	190	p w ɛ m w ɛ r s t ʃ e ɡ w ɛ			
kùńca	497.61251866046945	188	k w ʉ ɲ t s a			
swiãtëją	494.9656435612116	187	s vʲ ã t ə j ɔ̃			
bò	492.3187684619538	186	b w ɛ			b w ɛ
o	492.3187684619538	186	ɔ			
ôrt	492.3187684619538	186	ɞ r t			
kùltura	487.0250182634382	184	k w ʉ l t u r a			
gduńskù	484.37814316418036	183	ɡ d u ɲ s k w ʉ			
miôł	479.08439296566473	181	mʲ ɞ w			
czas	476.4375178664069	180	t ʃ a s			t͡ʃ a s
miono	473.7906427671491	179	mʲ ɔ n ɔ			
czë	471.14376766789127	178	t ʃ ə			t͡ʃ ɜ
dniów	468.4968925686335	177	d ɲ o f			
kréz	465.85001746937564	176	k r e s			
nim	465.85001746937564	176	ɲ m			
tam	465.85001746937564	176	t a m			t a m
kaszubskich	463.20314237011786	175	k a ʃ u p s k i x			
isbn	457.9093921716022	173	i z b n			
kultury	457.9093921716022	173	k u l t u r i			
kaszëbsczé	455.2625170723444	172	k a ʃ ə p s t ʃ ɨ			
