Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
y	41882.93922486944	2208090		iː		ə
yn	39988.64806168802	2108222		ə n		ə n
o	28440.372506245767	1499391		oː		ɔ
categori	28102.173969782387	1481561		k a t ɛ ɡ oː r i		
ffilmiau	25109.75234838387	1323799		f ɪ l m j a i̯		f ɪ l m j ɛ
ffilm	23188.431857414434	1222506		f ɪ l m		f ɪ l m
gan	17235.03747459812	908640		ɡ a n		ɡ a n
r	12760.21370960889	672725		r		
i	11817.544564058862	623027		iː		iː
yr	9556.849523767904	503842		ə r		ə r
daleithiau	9206.264916395348	485359		d a l e i̯ θ j ɛ		
unol	8937.868433447687	471209		iː n ɔ l		ɪ n ɔ l
america	8919.052227717364	470217		a m ɛ r ɪ k a		
saesneg	7890.970406357207	416016		s e i̯ s n ɛ ɡ		
yw	7245.566962627374	381990		ə w		ɪ u̯
ei	6685.064060075896	352440		e i̯		e i̯
mae	6515.604400807033	343506		m aː		m ə
the	5752.827286654576	303292		θ eː		
oedd	5674.8690149291415	299182		oː ð		ɔ i̯ ð
wedi	5629.3838724479765	296784		w eː d i		w ɛ d i
cyfarwyddwr	4902.532054316923	258464		k ə v a r ʊ i̯ ð ʊ r		k ə v a r ʊ i̯ ð ʊ r
fel	4266.119418567104	224912		v eː l		v ɛ l
wreiddiol	4181.143005591448	220432		w r e i̯ ð j ɔ l		w r e i̯ ð j ɔ l
roedd	4093.871470747477	215831		r oː ð		r ɔ i̯ ð
ac	3994.47941628488	210591		a k		
fwyaf	3698.7690863093285	195001		v ʊ i̯ a v		v ʊ i̯ a v
hyd	3366.507517984651	177484		h iː d		h iː d
nifer	3325.024612811044	175297		n ɪ v ɛ r		n ɪ v ɛ r
gynnwys	3319.599779304116	175011		ɡ ə n ʊ i̯ s		
fe	3287.069746211873	173296		v eː		v eː
gyda	3115.8081317571423	164267		ɡ ə d a		ɡ ɪ d a
actorion	3100.3302851080052	163451		a k t ɔ r j ɔ n		a k t ɔ r j ɔ n
hon	3077.151451032949	162229		h oː n		h ɔ n
delwedd	2941.739260802323	155090		d ɛ l w ɛ ð		d ɛ l w ɛ ð
mewn	2908.2228943451837	153323		m ɛ w n		m ɪ u̯ n
gwlad	2840.317635761959	149743		ɡ w l aː d		ɡ w l aː d
flwyddyn	2829.809391835952	149189		v l ʊ i̯ ð ɪ n		v l ʊ i̯ ð ɪ n
canlynol	2759.476235739137	145481		k a n l ə n ɔ l		k a n l ə n ɔ l
gyhoeddwyd	2756.9155625802723	145346		ɡ ə h ɔ i̯ ð ʊ i̯ d		
cyhoeddwyd	2746.9573891846876	144821		k ə h ɔ i̯ ð ʊ i̯ d		
honno	2745.7434404278924	144757		h ɔ n ɔ		h ɔ n ɔ
cyhoeddodd	2734.1350554410396	144145		k ə h ɔ i̯ ð ɔ ð		
poblogaidd	2719.795285751398	143389		p ɔ b l oː ɡ ɛ ð		p ɔ b l ɔ ɡ a i̯ ð
nodwyd	2681.574867861678	141374		n ɔ d ʊ i̯ d		
at	2680.322983206233	141308		a t		a t
sef	2621.693051842896	138217		s eː v		s eː v
cynhyrchwyd	2602.2698717341746	137193		k ə n h ə r χ w ɪ d		
of	2539.410087671379	133879		oː v		
almaen	2489.201925808308	131232		a l m a i̯ n		
lliw	2488.5759834805854	131199		ɬ ɪ w		ɬ ɪ u̯
dyddiad	2474.2741496895933	130445		d ə ð j a d		d ə ð j a d
enw	2425.204064786017	127858		eː n u		ɛ n u
am	2291.593829741259	120814		a m		a m
gwrywaidd	2284.4998166937376	120440		ɡ ʊ r ɪ w a i̯ ð		ɡ ʊ r ɪ u̯ ɛ ð
sgript	2260.088065912562	119153		s ɡ r ɪ p t		
sgwennwyd	2249.7315655811535	118607		s ɡ w ɛ n ʊ i̯ d		
