Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
i	40679.00923271309	3242702		i		
og	30331.315378730913	2417842		ɔ wˀ		
af	20755.703048810014	1654528		a f		
til	13590.471380446037	1083356		t iˀ l		t e l
er	12952.267834235177	1032482		ɛ ɐ̯ˀ		ɛ r
den	12469.970913654475	994036		d̥ ɛ nˀ		d ɛ nˀ
at	11762.507592732954	937641		a d̥		a d
på	11238.2483561937	895850		pʰ ɔˀ		
som	11230.044064822432	895196		s ɔ mˀ		s ɔ m
for	10383.019977073145	827676		f o ɐ̯ˀ		
med	10225.871417428072	815149		m eˀ ð		m ɛ ð
kategori	9336.107236862408	744222		kʰ a d̥ ə ɡ̥ o ʁ iːˀ		
det	8793.73332640861	700987		d̥ ɛˀ d̥		d e
blev	8556.348302527098	682064		b̥ l ɛ wˀ		
der	8150.148066133112	649684		d̥ ɐ		d ɛːˀ r
var	8093.74669915265	645188		v ɑːˀ		
han	7082.511336097703	564578		h a n		h a n
et	6140.146859324504	489458		ɛ d̥		e t
ved	4759.3420409216005	379388		ʋ eˀ ð		
har	4282.502103133713	341377		h ɑːˀ		
om	3233.532017686144	257759		ɔ mˀ		
efter	2960.24381046431	235974		ɛ f d̥ ɐ		ɛ f d ɐ
ikke	2750.6329472800267	219265		i ɡ̥ ə		e ɡ ə
men	2680.030880250213	213637		m ɛ nˀ		m ɛ n
the	2567.140332773083	204638		t eˀ		
sig	2479.928966392262	197686		s iˀ		s iː
også	2476.7425902327786	197432		ɔ w s ɔˀ		
havde	2297.126315226939	183114		h ɑ w d̥ ə		
hvor	2276.4775941304442	181468		h ʋ ɒːˀ		v ɒˀ
eller	2135.0978330384055	170198		ɛ l ɐ		ɛ l ə r
sin	2011.9832833172634	160384		s iːˀ n		
under	1945.960063918204	155121		ɔ n ɐ		o nˀ ə r
hans	1914.5479146924306	152617		h a nˀ s		h a n s
kan	1873.2002933473232	149321		kʰ a n		
to	1846.1913647198912	147168		t oˀ		
år	1823.2469474140048	145339		ɒːˀ		
første	1822.005013399088	145240		f ɶ ɐ̯ s d̥ ə		f œ r s t ə
da	1810.112554347158	144292		d̥ a		
over	1785.8383895101485	142357		oː ʋ ɐ		
hun	1633.8457377451848	130241		h uːˀ n		
of	1632.1020122090895	130102		oːˀ f		
dansk	1488.1380247829813	118626		d̥ a nˀ s ɡ̥		d a n s k
mod	1454.417634559787	115938		m oˀ ð		
man	1374.670417056496	109581		m a n		m aːˀ n
født	1371.6220335653366	109338		f øˀ d̥		
del	1222.000346737941	97411		d̥ ɛ lˀ		
fik	1210.8856645438377	96525		f i ɡ̥		
mellem	1174.2674282858375	93606		m ɛ l ɛ mˀ		m ɛ l ə m
så	1154.6850141718471	92045		s ɔˀ		s ɔːˀ
andre	1145.8409386110761	91340		a n d̥ ʁ ɐ		a n d r ə
deres	1135.842742551595	90543		d̥ eː ɐ s		
danske	1122.7836182129247	89502		d̥ a n s ɡ̥ ə		
flere	1080.4073242494014	86124		f l eː ɐ		
's	1005.6654771698658	80166		s		
denne	993.8231972700534	79222		d̥ ɛ n ə		
være	979.6224972207023	78090		ʋ ɛː ɐ		v ɛː ʁ ə
tidligere	979.1332504875531	78051		t i ð l iˀ ɐ		
senere	977.6529655000767	77933		s e n eˀ ɐ		
usa	970.5902498394894	77370		u s a		
ud	936.2677097908809	74634		u ðˀ		u ðˀ
dette	924.9774005643649	73734		d̥ ɛ d̥ ə		
mange	918.5419243052509	73221		m ɑ ŋ ə		
alle	907.9039440562669	72373		a l ə		a l ə
ligger	895.7104100916297	71401		l e ɡ̥ ɐ		
kunne	889.4003817128101	70898		kʰ ɔ n ə		
film	881.660247498632	70281		f e lˀ m		f i l m
op	862.5169009656727	68755		ɔ b̥		
sammen	860.1208464520454	68564		s ɑ m ə n		
siden	846.296490043578	67462		s iː ð ə n		s iː d ə n
kun	837.8538476997501	66789		kʰ uːˀ n		
personer	837.3269666025126	66747		pʰ æ ɐ̯ s oːˀ n ɐ		
fil	832.9112012161419	66395		f iːˀ l		f iː l
dog	832.0205212660501	66324		d̥ ɔ wˀ		
københavn	831.1172965279288	66252		kʰ øː b̥ ə n h ɑ wˀ n		
været	798.5008476513271	63652		ʋ ɛː ɐ ð		
omkring	796.9327491476444	63527		ɔ m kʰ ʁ̥ e ŋ		ɔ m k r e ŋ
død	769.2464019666213	61320		d̥ ø ðˀ		
samme	756.0492849596271	60268		s ɑ m ə		s a m ə
have	755.1962393736237	60200		h æː ʋ ə		h aːˀ
kommune	755.070791493329	60190		kʰ ʌ m uː n ə		
blandt	743.7804822668131	59290		b̥ l a nˀ d̥		
kom	737.8217079528185	58815		kʰ ʌ mˀ		
ham	737.1944685513455	58765		h ɑ mˀ		h ɑ mˀ
mere	733.2679498981238	58452		m eːˀ ɐ		m eː r ə
samt	731.348597329616	58299		s ɑ mˀ d̥		s a m t
blevet	729.6550509456387	58164		b̥ l eː ʋ ə ð		
