Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
cruiserweight	1.7284412271640524	5880	k ɹ u z ɹ̩ w e j t	k ɹ u z ɝ w e ɪ t		
yulia	1.8989337291632276	6460	j u l i ə	j u lˠ j ə		
ashram	1.9012853498804576	6468	æ ʃ ɹ æ m	æ ʃ ɹ ə m		
coord	1.2078511908872605	4109	k o w ɔ ɹ d	k ɔ ɹ d		
parvati	1.6461345020610023	5600	p ɑ ɹ v ɑ t i	p ɑ ɹ v ɑ t i		
lakhs	1.0520563183707727	3579	l æ k z	lˠ æ k s		l ɑː k s
crusher	1.018839675739899	3466	k ɹ ʌ ʃ ɹ̩	k ɹ ə ʃ ɝ		
mandi	1.4127361458759244	4806	m æ n d i	m æ n d i		
haase	1.1872745096114978	4039	h ɑ s	h ɑ s		
commandery	2.0732476148279018	7053	k ə m æ n d ɹ̩ i	k ɑ m ə n d ɝ i		k ə m ɑː n d ə ɹ i
subdistrict	9.041981657749362	30760	s ʌ b d ɪ s t ɹ ɪ k t	s ə b d ɪ s t ɹ ɪ k t		
grama	1.3221987482625694	4498	ɡ ɹ æ m ə	ɡ ɹ ɑ m ə		
shooto	2.0282728686108777	6900	ʃ u t o w	ʃ u t o ʊ		
stuccoed	1.4600625128101783	4967	s t ʌ k o w d	s t ə k o ʊ d		
bpg	1.0035541410779039	3414	b p ɡ	b i p i ɡ i		
'won	7.414366168836547	25223	w ɑ n	w ɑ n		
ekstraklasa	2.1864193618445955	7438	ɛ k s t ɹ k l ɑ s ə	ɛ k s t ɹ ə k lˠ ɑ s ə		
'sr	1.6470163598299636	5603	z ɹ̩	ɛ s ɝ		
semi-finalist	1.8998155869321889	6463	s ɛ m i - f a j n ə l ɪ s t	s ɛ m ə f a ɪ n ə lˠ ɪ s t		
camogie	1.554421294089032	5288	k æ m o w ɡ i	k æ m ə d͡ʒ i		k ə m o ʊ ɡ i
kpd	1.0547018916776565	3588	k p d	k ɑ p d i		
fukui	1.4594746076308707	4965	f u k u i	f u k u i		
prema	2.3289863678266647	7923	p ɹ i m ə	p ɹ i m ə		
noda	1.0161941024330152	3457	n o w d ə	n o ʊ d ə		
bfc	1.214318147859643	4131	b f k	b i ɛ f s i		
rsl	1.810160047087795	6158	ɹ s ə l	ɝ ɛ s ə lˠ		
heritage-listed	2.156142245110259	7335	h ɛ ɹ ə t ə d͡ʒ - l ɪ s t ə d	h ɛ ɹ ɪ t ə d͡ʒ lˠ ɪ s t ɪ d		
dich	1.0899762024361066	3708	d a j k	d ɪ t͡ʃ		
cronulla-sutherland	1.2387162128009042	4214	k ɹ ɑ n ʊ l ə - s ʌ ð ɹ̩ l ə n d	k ɹ ɑ n ə lˠ ə s ə ð ɝ lˠ ə n d		
raith	1.6311429199886611	5549	ɹ e j θ	ɹ e ɪ θ		
patiala	1.1443574315220504	3893	p ɑ t i ɑ l ə	p æ ʃ i ɑ lˠ ə		
all-conference	2.130862322400037	7249	ɔ l - k ɑ n f ɹ̩ ə n s	ɔ lˠ k ɑ n f ɝ ə n s		
three-pointers	1.062344659008654	3614	θ ɹ i - p o j n t ɹ̩ z	θ ɹ i p ɔ ɪ n t ɝ z		
redshirt	8.430854223859216	28681	ɹ ɛ d ʃ ɹ̩ t	ɹ ɛ d ʃ ɝ t		
swac	1.258998941487013	4283	s w ɑ k	s w ɑ k		
takumi	1.2075572382976067	4108	t ɑ k u m i	t ɑ k u m i		
nemzeti	1.619384816402511	5509	n ɛ m z ɛ t i	n ɛ m z ɛ t i		
westgate	1.0558777020362715	3592	w ɛ s t ɡ e j t	w ɛ s t ɡ e ɪ t		
