Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
ascap	1.0050765516707252	994	a s k a p	a s k a p		
'ganadora	3.508667640138246	3470	' ɡ a n a d o ɾ a	ɣ a n a ð o ɾ a		
antagónica	1.0758565905207762	1064	a n t a ɡ o n i k a	a n t a ɣ o n i k a		a n t a ɡ o n i k a
'participación	1.418634207237452	1403	' p a ɾ t i s i p a s i o n	p a ɾ t i s i p a s j o n		
prelude	1.1658483542015554	1153	p ɾ e l u d e	p ɾ e l u ð e		
jugarían	1.0172102726164483	1006	x u ɡ a ɾ j a n	x u ɣ a ɾ i a n		x u ɡ a ɾ i a n
namor	1.2356172496394628	1222	n a m o ɾ	n a m o ɾ		
raiden	1.113268896770089	1101	ɾ a i d e n	r a i ð e n		
lovin	1.2224723852815962	1209	l o b i n	l o β i n		
crunchyroll	2.5430256815411205	2515	k ɾ u n t͡ʃ i ɾ o ʝ	k ɾ u ɲ t͡ʃ i ɾ o ʎ		
jv	1.1264137611279557	1114	x b	i x v e		
jours	1.2234835286937398	1210	x o u ɾ s	x o u ɾ s		
guan	1.1213580440672377	1109	ɡ w a n	ɣ w a n		
bane	1.4216676374738828	1406	b a n e	b a n e		
daytime	1.206294090687299	1193	d a i t i m e	d a j t i m e		
'jefe	1.2406729667001808	1227	' x e f e	x e f e		
'christopher	1.1102354665336582	1098	' t͡ʃ ɾ i s t o p e ɾ	t͡ʃ ɾ i s t o f e ɾ		
accesión	1.2912301373073602	1277	a k s e s j o n	a k s e s j o n		
crisosto	1.3377427342659651	1323	k ɾ i s o s t o	k ɾ i s o s t o		
berklee	1.003054264846438	992	b e ɾ k l e e	b e ɾ k l e e		
kickers	1.737144382062682	1718	k i k k e ɾ s	k i k k e ɾ s		
anuro	3.4955227757803793	3457	a n u ɾ o	a n u ɾ o		a n u ɾ o
'jugadores	2.1658691888115627	2142	' x u ɡ a d o ɾ e s	x u ɣ a ð o ɾ e s		
apruebo	2.8190678330563195	2788	a p ɾ w e b o	a p ɾ w e β o		
estadual	1.3367315908538215	1322	e s t a d w a l	e s t a ð w a l		
'facultad	2.1436240337444037	2120	' f a k u l t a d	f a k u l t a ð		
tomes	2.1345237430351114	2111	t o m e s	t o m e s		
semifinalistas	2.698741767011233	2669	s e m i f i n a l i s t a s	s e m i f i n a l i s t a s		
guardametas	5.271090607504517	5213	ɡ w a ɾ d a m e t a s	ɡ w a ɾ ð a m e t a s		
pintana	1.7452335293598307	1726	p i n t a n a	p i n t a n a		
'live	1.0020431214342944	991	' l i b e	l i β e		
consadole	1.176970931735135	1164	k o n s a d o l e	k o n s a ð o l e		
longicornio	5.618923941281911	5557	l o n x i k o ɾ n j o	l o ŋ x i k o ɾ n j o		
nakhon	1.0192325594407354	1008	n a k o n	n a k o n		
sergipe	1.020243702852879	1009	s e ɾ x i p e	s e ɾ x i p e		
londrina	1.0627117261629095	1051	l o n d ɾ i n a	l o n d ɾ i n a		
gualaceo	1.0930460285272172	1081	ɡ w a l a s e o	ɡ w a l a s e o		
ims	1.0940571719393608	1082	i m s	i m s		
'quilmes	1.2790964163616372	1265	' k i l m e s	k i l m e s		
laferrere	2.2174375028308857	2193	l a f e r e ɾ e	l a f e r e ɾ e		
juninense	1.2153943813965913	1202	x u n i n e n s e	x u n i n e n s e		
'black	1.2194389550451654	1206	' b l a k k	b l a k		
semipesado	2.5480813986018385	2520	s e m i p e s a d o	s e m i p e s a ð o		
loiret	1.1163023270065198	1104	l o i ɾ e t	l o i ɾ e t		
'quinto	1.0232771330893098	1012	' k i n t o	k i n t o		
yacht	1.1607926371408375	1148	i a t͡ʃ t	ʝ a t͡ʃ t		
ortíz	1.2730295558887756	1259	o ɾ t i s	o ɾ t i s		
himself	1.189104652680858	1176	ʝ m s e l f	i m s e l f		
'patricia	1.0101322687314431	999	' p a t ɾ i s i a	p a t ɾ i s j a		
'ganó	5.332770355645276	5274	' ɡ a n o	ɣ a n o		
'flota	1.1142800401822326	1102	' f l o t a	f l o t a		
anfp	1.5268265523368159	1510	a n f p	a m f p		
'one	1.0556337222779044	1044	' o n e	o n e		
brainiac	1.6481637617940463	1630	b ɾ a i n j a k	b ɾ a i n j a k		
figs	1.0040654082585816	993	f i ɡ s	f i ɣ s		
chambéry	1.0010319780221508	990	t͡ʃ a m b e ɾ i	t͡ʃ a m b e ɾ i		
centrocampistas	2.8291792671777554	2798	s e n t ɾ o k a m p i s t a s	s e n t ɾ o k a m p i s t a s		
vallenar	1.651197192030477	1633	b a ʝ e n a ɾ	b a ʎ e n a ɾ		
envigado	3.018263085248606	2985	e n b i ɡ a d o	e m b i ɣ a ð o		
'sv	1.494469963148221	1478	' s b	e s v e		
amonestaciones	2.6997529104233764	2670	a m o n e s t a s i o n e s	a m o n e s t a s j o n e s		
'elizabeth	1.0455222881564685	1034	' e l i s a b e t	e l i s a β e t		
tte	1.4206564940617392	1405	t t e	t t e		
xelajú	1.494469963148221	1478	k s e l a x u	s e l a x u		
thailand	1.1345029084251042	1122	t a i l a n d	t a i l a n d		
'temporada	9.497670070264709	9393	' t e m p o ɾ a d a	t e m p o ɾ a ð a		
roar	1.4439127925410418	1428	ɾ o a ɾ	ɾ o a ɾ		
motorizaciones	1.1587703503165503	1146	m o t o ɾ i s a s i o n e s	m o t o ɾ i s a s j o n e s		
