Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
ja	28587.51248678983	1474072		j a		
on	20751.60036190721	1070025		o n		o n
kategooria	10019.588859117826	516645		k a t e ɡ oː r i a		k ɑ t e ɡ̊ oː r i ɑ
oli	7641.957072225498	394046		o ʎ ɪ		
eesti	7449.825014763837	384139		eː s t i		eˑ s t i
ta	7070.389897751884	364574		t a		t ɑ
aastal	6895.731443174341	355568		aː s t a l		ɑː s t ɑ l
ka	5077.177374310154	261797		k a		
ning	5018.182146814608	258755		n i ŋ ɡ		
et	4191.376251411051	216122		e t		
mis	4160.055642467822	214507		m i s		
kui	3829.8607892991267	197481		k u iː		
aasta	3591.1259929578473	185171		aː s t a		ɑː s t ɑ
ei	3310.869572005139	170720		e iː		
või	2757.629317315644	142193		v ɵ iː		v ɤ i̯
see	2580.4303056040058	133056		s e eː		s eː
oma	2414.5571363832937	124503		o m ɑ		
tema	2091.227605546428	107831		t e m ɑ		t e m ɑ
selle	1918.7024432188875	98935		s e l l e		
sündinud	1897.156191493854	97824		s y ɲ d i n u d		
i	1868.977340227901	96371		i		iː
kuid	1632.0267519502606	84153		k u i d		
kes	1584.2216119842774	81688		k e s		
tartu	1564.30441979561	80661		t a r t u		
the	1471.5256004863752	75877		t h e		
pärast	1453.1211064386193	74928		p æ r ɑ s t		
mille	1452.597480159073	74901		m i l l e		m i lː e
keeles	1444.6073310045151	74489		k eː l e s		
seda	1436.3262783613204	74062		s e d ɑ		
aastatel	1432.1954488226777	73849		aː s t a t e l		
kus	1408.0892463976402	72606		k u s		
tallinna	1356.5605417771058	69949		t a ʎ ʎ i n n a		
kuni	1316.861912361135	67902		k u ɲ ɪ		k u n i
välja	1220.4564962268944	62931		v æ ʎ j a		
aga	1216.9074736655252	62748		a ɡ ɑ		
nii	1182.716616967745	60985		n i iː		
of	1179.1094137086484	60799		o f		
olid	1146.8385200358712	59135		o ʎ ɪ d		
ehk	1106.7908064335363	57070		e h k		e h k
üle	1105.0841726335336	56982		y l ɛ		
nende	1081.8312871084975	55783		n e n d e		n e n d̥ e
mida	1053.3033516561804	54312		m i d ɑ		
aastast	1043.1605166857103	53789		aː s t a s t		
võib	1032.2613326447843	53227		v ɵ i b		v ɤ i̯ b̥
üks	1005.5757859538337	51851		y k s		y k s
näiteks	1001.9104019970098	51662		n æ͡ i tː e k s		n æ i̯ t e k s
ajal	1000.4558845538257	51587		a j ɑ l		
küla	987.6755246197149	50928		k y l ɑ		
vald	985.8719229901667	50835		v a l d		
von	973.3048922810563	50187		v o n		
vastu	955.462811644665	49267		v a s t u		
ameerika	954.2022298605721	49202		a m eː r i k a		
saksa	948.1514372969264	48890		s a k s a		
koos	931.9578097628103	48055		k o oː s		
osa	923.5603957241609	47622		o s ɑ		
asub	904.031074853676	46615		a s ʊ b		
venemaa	902.0529311309457	46513		v e n ɛ m aː		
siis	900.1523616718518	46415		s i iː s		
vene	895.1100345354804	46155		v e n ɛ		v e n e
alates	878.1406643649995	45280		a l ɑ t e s		ɑ l ɑ t e s
ülikooli	874.4364932763574	45089		y ʎ ɪ k oː l i		
järgi	873.0789436627189	45019		j æ r ɡ i		
euroopa	863.323980010431	44516		e u r oː pː a		
usa	861.1712941945186	44405		u s ɑ		
nad	821.2205484217293	42345		n a d		
ii	810.5734807376218	41796		i iː		
km	786.2151619557659	40540		k a aː e m m		
kohta	771.7669553534707	39795		k o h t a		
pilt	767.4227965898276	39571		p i l t		
eestis	755.9418055716279	38979		eː s t i s		
eest	754.1188103761706	38885		eː s t		
liidu	752.6642929329865	38810		l iː d u		
hiljem	741.9590445511517	38258		h i ʎ j e m		
kaks	740.7760370306953	38197		k a k s		k ɑ k s
tallinn	722.6818400374855	37264		t a ʎ ʎ i n n		
esimene	721.9060974011206	37224		e s ɪ m e n e		e s i m e n e
inglise	711.6662946011047	36696		i ŋ ɡ l i s e		
nagu	695.0654021828971	35840		n a ɡ ʊ		
august	693.9599689260772	35783		a u ɡ u s t		
vaid	693.281194119258	35748		v a i d		
linn	692.9708970647121	35732		l i n n		l i nː
nsv	692.1951544283472	35692		e n n e s s v e eː		
rootsi	685.0777157396998	35325		r oː i t s i		
surnud	685.0389286078815	35323		s u r n u d		
saab	677.8051285237794	34950		s a aː b		
umbes	675.012455032866	34806		u m m b e s		
olnud	668.0695584374007	34448		o l n u d		
samuti	658.6054982737496	33960		s a m ʊ t i		
linna	654.2613395101065	33736		l i n n a		
ole	652.3607700510127	33638		o l ɛ		
valla	651.0032204373741	33568		v a l l a		
tänav	650.983826871465	33567		t æ n ɑ v		
vahel	637.1756079441709	32855		v a h ɛ l		
kõige	632.0169194123447	32589		k ɵ i ɡ e		k ɤ i̯ ɡ̊ e
poolt	630.5236148373424	32512		p oː l t		
need	626.6061145237	32310		n e eː d		
all	622.9989112646034	32124		a i ʎ ʎ		
and	622.3007428918751	32088		a n d		ɑ nʲ d̥
veel	618.4996039736874	31892		v e eː l		
soome	606.9798258236694	31298		s oː m e		s oː m e
vallas	603.5665582236642	31122		v a l l a s		
kokku	601.607808066843	31021		k o kː u		
koht	600.2502584532044	30951		k o h t		
lk	592.5704063531925	30555		e l l k a aː		
kuna	586.2868909986373	30231		k u n a		
in	584.1923858804523	30123		i n		
sajandi	583.1063461895415	30067		s a j ɑ ɲ d i		
nõukogude	578.7040067281711	29840		n ɵ u kː o ɡ u d e		
seal	578.5100710690798	29830		s e a l		
neid	571.1017288917956	29448		n e i d		
juba	568.115119741791	29294		j u b ɑ		j u b̥ ɑ
väga	562.3940177986003	28999		v æ ɡ ɑ		
maakond	560.7843518281433	28916		m aː kː o n d		
tõttu	540.3435333599297	27862		t ɵ tː u		
kõik	539.4126421962918	27814		k ɵ i k		k ɤ i̯ k
enne	537.1048078531064	27695		e n n e		e nˑ e
ainult	529.5994978462767	27308		a i n u l t		
lisaks	528.2419482326382	27238		l i s ɑ k s		
sest	526.4189530371808	27144		s e s t		
poliitik	518.7003138053507	26746		p o ʎ iː tː i k		
nime	518.448197448532	26733		n i m ɛ		
läbi	511.97074643488565	26399		l æ b ɪ		l æ b̥ i
ühendriikide	511.64105581443056	26382		y h ɛ n d r iː kː i d e		
liige	503.0884932485082	25941		l iː ɡ e		
kogu	501.73094363486973	25871		k o ɡ ʊ		
kasutatakse	500.91641386668664	25829		k a s ʊ t a t a k s e		
nr	499.3261414621387	25747		e n n e r r		
maakonnas	497.8134433212273	25669		m aː kː o n n a s		
jaanuar	497.05709425077157	25630		j aː n u a r		
saksamaa	492.34445773485515	25387		s a k s a m aː		
itaalia	490.4244947098522	25288		i t aː l i a		
korda	489.8039006007603	25256		k o r d a		k o r d̥ ɑ
aastat	489.4936035462144	25240		aː s t a t		ɑː s t ɑ t
alla	487.45727912575666	25135		a l l a		
märts	486.52638796211886	25087		m æ r t͡s		
riigi	481.0186152439285	24803		r iː ɡ i		r iː ɡ̊ i
tagasi	475.7047781848293	24529		t a ɡ ɑ s i		t ɑ ɡ̊ ɑ s i
lõpetas	475.5108425257381	24519		l ɵ p e t a s		
veebruar	473.68784733028076	24425		v eː b r u a r		
juuli	472.09757492573283	24343		j uː ʎ i		
mai	470.3327604280028	24252		m a iː		
mitte	466.20193088936	24039		m i tː e		
pole	465.2516461598131	23990		p o l ɛ		
esimese	460.90748739617	23766		e s ɪ m e s e		
sellest	459.02631150298527	23669		s e l l e s t		
töötas	454.56579134388744	23439		t øː tː a s		
prantsuse	449.79497413024365	23193		p r a n t͡s u s e		
juuni	443.433884512052	22865		j uː ɲ i		
poola	437.77096326658864	22573		p oː l a		
aprill	434.57102489158365	22408		a p r i i ʎ ʎ		
palju	434.20254713931035	22389		p a ʎ j u		
ukraina	428.8693165143021	22114		u kː r a i n a		
asus	427.82206395520956	22060		a s ʊ s		
oktoober	427.0269277529356	22019		o k t oː b e r		
detsember	425.7663459688427	21954		t e t͡s e m m b e r		
mõisa	424.1760735642948	21872		m ɵ i s a		
teine	422.46943976429213	21784		t e i n e		t e i̯ n e
puhul	422.1591427097462	21768		p u h ʊ l		
maakonna	421.61612286429084	21740		m aː kː o n n a		
ühe	421.3058258097449	21724		y h ɛ		
näitleja	420.9567416233807	21706		n æ͡ i tː l e j a		
september	413.8780900665515	21341		s e p t e m m b e r		
kirik	411.066023009729	21196		k i r ɪ k		
võitis	410.2514932415459	21154		v ɵ i tː i s		
kuulus	409.33999564381725	21107		k uː l u s		k uː l u s
kolm	407.24549052563214	20999		k o l m		k o l m
teise	406.7994385097224	20976		t e i s e		
tuli	405.65521812108426	20917		t u ʎ ɪ		t u lʲ i
november	403.89040362335425	20826		n o v ɛ m m b e r		
inimest	402.8431510642617	20772		i ɲ ɪ m e s t		
läti	401.1559108301682	20685		l æ t i		
teda	398.36323733925474	20541		t e d ɑ		
suur	394.42634345970316	20338		s u uː r		
kas	392.6809225278823	20248		k a s		
prantsusmaa	390.9548951619705	20159		p r a n t͡s u s m aː		
seejärel	390.9355015960614	20158		s eː j æ r e l		
saanud	390.47005601424246	20134		s aː n u d		
jäi	387.52223399605606	19982		j æ͡ iː		j æ i̯
koduleht	380.83145375740935	19637		k o d ʊ l e h t		
tallinnas	380.32722104377217	19611		t a ʎ ʎ i n n a s		
korral	379.0278521278611	19544		k o r r a l		
riik	378.83391646876987	19534		r iː k		r iː k
juures	375.88609445058347	19382		j uː r e s		
pärnu	375.55640383012843	19365		p æ r n u		
kuigi	373.8497700301258	19277		k u i ɡ i		k u i̯ ɡ̊ i
maailma	373.6946215028528	19269		m aː i l m a		
võimalik	373.6558343710346	19267		v ɵ i m a l i k		
president	367.4498932801158	18947		p r e s i d e ɲ t		
karl	366.44142785284157	18895		k a r l		
külas	366.1311307982956	18879		k y l ɑ s		
seotud	365.80144017784056	18862		s e oː tː u d		
sajandil	365.21963320056693	18832		s a j ɑ ɲ d i l		
rohkem	361.03062296419677	18616		r o h k e m		
aastad	359.8088283119222	18553		aː s t a d		
toimus	357.4428132710094	18431		t o i m u s		
mängijad	353.69985505054905	18238		m æ ŋ ɡ i j a d		
vabariigi	353.4089515619122	18223		v a b a r iː ɡ i		
new	352.9241124141842	18198		n e v		
jaoks	351.5277756687275	18126		j a oː k s		j ɑ o̯ k s
samal	349.2781220232695	18010		s a m ɑ l		
peale	348.2890501619043	17959		p e a l e		
peamiselt	347.97875310735833	17943		p e a m i s e l t		
tee	347.12543620735704	17899		t e eː		
sama	345.86485442326415	17834		s a m ɑ		
la	344.8369954300807	17781		l a		
suri	342.72309674598654	17672		s u r ɪ		
tavaliselt	341.9279605437126	17631		t a v ɑ l i s e l t		
tuleb	341.2103986050751	17594		t u l ɛ b		t u l e b̥
andis	340.41526240280115	17553		a ɲ d i s		ɑ nʲ d̥ i s
jooksul	340.35708170507377	17550		j oː k s u l		
valiti	337.7971310050698	17418		v a ʎ ɪ t i		
teiste	335.1208189096111	17280		t e i s t e		
nimi	334.4420441027919	17245		n i m ɪ		n i m i
kirjanik	331.76573200733316	17107		k i r j a n i k		k i r j ɑ n i k
isa	329.8457689823302	17008		i s ɑ		
jõe	327.3439989800536	16879		j ɵ eː		
peab	325.171919598232	16767		p e a b		p e ɑ̯ b̥
tuntud	324.1052734732304	16712		t u n t u d		
aastani	322.88347882095576	16649		aː s t a n i		
kuningas	322.2628847118639	16617		k u ɲ ɪ ŋ ɡ a s		k u n i n ɡ̊ ɑ s
hispaania	321.5453227732264	16580		h i s p aː n i a		
õppis	320.7889737027707	16541		ɵ pː i s		
ümber	320.517463780043	16527		y m m b e r		
võivad	320.3429216868609	16518		v ɵ i v a d		
seisuga	317.8799388164025	16391		s e i s u ɡ a		
uue	317.62782245958397	16378		uː w e		
liiga	317.43388680049276	16368		l iː ɡ a		
ära	316.59996346640054	16325		æ r ɑ		
mõis	316.52238920276403	16321		m ɵ i s		m ɤ i̯ s
