Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
eta	38422.49347599883	2653472		e t a	e t̪ a	e t a
kategoria	12916.175671202504	891996		k a t e ɣ o ɾ i a	k a t̪ e ɡ o ɾ i a	
da	12762.730236931799	881399		d a	d̪ a	d a
ziren	12721.476481884403	878550		s̻ i ɾ e n	s̻ i ɾ e n	s̻ i ɾ e n
bat	8351.228301958374	576739		b a t	b a t̪	b a t
zuen	7897.205315117003	545384		s̻ u e n	s̻ u e n	s̻ u e n
izan	6660.533869057773	459979		i s̻ a n	i s̻ a n	i s̻ a n
zeuden	6373.886155853762	440183		s̻ e͡ ʊ ð e n	s̻ eu d̪ e n	s̻ e u̯ d e n
ere	4296.660400652298	296729		e ɾ e	e ɾ e	e ɾ e
zuten	4215.789139880203	291144		s̻ u t e n	s̻ u t̪ e n	s̻ u t e n
bere	4055.9579892262395	280106		b e ɾ e	b e ɾ e	b e ɾ e
ez	3533.212530831716	244005		e s̻	e s̻	e s̻
dira	3504.1510052507674	241998		d i ɾ a	d̪ i ɾ a	d i ɾ a
zituen	3179.840597459788	219601		s̻ i t u e n	s̻ i t̪ u e n	s̻ i t u e n
zituzten	3138.2103602673487	216726		s̻ i t u s̻ t e n	s̻ i t̪ u s̻ t̪ e n	s̻ i t u s̻ t e n
edo	3036.806342507817	209723		e ð o	e d̪ o	e d o
egin	2719.663575555188	187821		e ɣ i n	e ɡ i n	e ɡ i n
etxek	2506.8208428624343	173122		e t͡ʃ e k	e t̪ʃ e k	e t͡ʃ e k
enpresak	2436.07115975904	168236		e n p ɾ e s̺ a k	e n p r e s̺ a k	
ditu	2431.452013440992	167917		d i t u	d̪ i t̪ u	d i t u
beste	2364.7133131905734	163308		b e s̺ t e	b e s̺ t̪ e	b e s̺ t e
dago	2205.4903260016813	152312		d a ɣ o	d̪ a ɡ o	d a ɡ o
pertsona	2196.889156995661	151718		p e ɾ t͡s̺ o n a	p e r t̪s̺ o n a	
artean	2174.7346307680323	150188		a ɾ t e a n	a r t̪ e a n	
etxebizitza	2139.1425879788094	147730		e t͡ʃ e β i s̻ i t͡s̻ a	e t̪ʃ e b i s̻ i t̪s̻ a	
la	1994.4865637866458	137740		l a	l a	
the	1955.086259299471	135019		t e	t̪ e	
bi	1904.2756498009423	131510		b i	b i	b i
den	1796.12391359561	124041		d e n	d̪ e n	
lehen	1759.9526675063184	121543		l e e n	l e e n	l e n
baina	1682.571106617137	116199		b a͡ ɪ ɲ a	b ai n a	b a ɲ a
baten	1667.2511793303192	115141		b a t e n	b a t̪ e n	b a t e n
baino	1637.6104504493026	113094		b a͡ ɪ ɲ o	b ai n o	b a ɲ o
hau	1634.7868343614675	112899		a͡ ʊ	au	h a u̯
zegoen	1604.4655416028697	110805		s̻ e ɣ o e n	s̻ e ɡ o e n	s̻ e ɡ o e n
bizi	1524.9119683384308	105311		b i s̻ i	b i s̻ i	b i s̻ i
biztanle	1522.1173124155991	105118		b i s̻ t a n l e	b i s̻ t̪ a n l e	b i s̻ t a n l e
udalerrian	1516.1659985073932	104707		u ð a l e r i a n	u d̪ a l e r i a n	
emakume	1510.2581248466922	104299		e m a k u m e	e m a k u m e	e m a k u m e
frantziako	1471.2198224220601	101603		f ɾ a n t͡s̻ i a k o	f r a n t̪s̻ i a k o	
dute	1452.1495537672974	100286		d u t e	d̪ u t̪ e	d u t e
enpresa	1451.092507744672	100213		e n p ɾ e s̺ a	e n p r e s̺ a	
euskal	1432.3552809874489	98919		e͡ ʊ s̺ k a l	eu s̺ k a l	e u̯ s̺ k a l
familiak	1410.9537190499098	97441		f a m i ʎ i a k	f a m i l i a k	
egiten	1399.630294533566	96659		e ɣ i t e n	e ɡ i t̪ e n	e ɡ i t e n
gisa	1333.0363951081647	92060		ɡ i s̺ a	ɡ i s̺ a	ɡ i s̺ a
