Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
قوت-وایس	1.584966741869435	291	ɣ v t - v ɒ j s	ɢ uː t v ɒː j s		
پروازگاه‌های	4.940085343215044	907	پ r v ɒ z ɡ ɒ h ‌ h ɒ j	p æ ɾ v ɒː z ɡ ɒː h h ɒː j		
گرالت	1.8572977971734619	341	ɡ r ɒ l t	ɡ e ɾ ɒː l æ t		
ایکس‌سی‌ایکس	2.7723301429949916	509	ɒ j k s ‌ s j ‌ ɒ j k s	iː k s iː iː k s		
داگنم	1.971676840401153	362	d ɒ ɡ n m	d ɒː ɡ æ n æ m		
سازاووو	1.715685648415368	315	s ɒ z ɒ v v v	s ɒː z ɒː v o v		
ستراکونیتسه	1.1056640845343482	203	s t r ɒ k v n j t s h	s e t ɾ ɒː k uː n iː t͡s e		
کلاتووی	1.0294113890492207	189	k l ɒ t v v j	k e l ɒː t uː v iː		
دیزلی-برقی	1.6285397107180795	299	d j z l j - b r ɣ j	d iː z l iː b æ ɾ ɢ iː		
لژسواران	3.4694976445732997	637	l ʒ s v ɒ r ɒ n	l e ʒ s v ɒː ɾ ɒː n		
هاریرس	1.574073499657274	289	h ɒ r j r s	h ɒː ɾ iː ɾ s		
گیتزهد	1.4161214875809387	260	ɡ j t z h d	ɡ iː t z æ h d		
وب‌تون	1.1655769167012342	214	v b ‌ t v n	v æ b t uː n		
بوراهای	1.1492370533829925	211	b v r ɒ h ɒ j	b uː ɾ ɒː h ɒː j		
dlb	1.0348580101553013	190	d l b	d e ə æ l b i ə		
gmina	3.115467272678065	572	g m i n a	ɡ m i n a		
سوسکچه‌های	1.1383438111708315	209	s v s k t͡ʃ h ‌ h ɒ j	s uː s k e t͡ʃ e h ɒː j		
hydrocotyle	1.541393773020791	283	h y d r o c o t y l e	i d ʁ ɔ k ɔ t i l		
سابقهٔنمایندگی	1.143790432276912	210	s ɒ b ɣ h ʔ n m ɒ j n d ɡ j	s ɒː b e ɢ e j e n͡m ɒː j æ n d e ɡ iː		
spirogyra	2.788670006313233	512	s p i r o g y r a	s p i ʁ ɔ ʒ i ʁ a		
برابام	1.0294113890492207	189	b r ɒ b ɒ m	b æ ɾ ɒː b ɒː m		
لاکسمیکانت-پیارلال	1.1601302955951536	213	l ɒ k s m j k ɒ n t - پ j ɒ r l ɒ l	l ɒː k s m iː k ɒː n t e p iː j ɒː ɾ l ɒː l		
هولیهوک	1.7320255117336096	318	h v l j h v k	h uː l iː h uː k		
ونتفورت	1.6993457850971263	312	v n t f v r t	v æ n t e f o ɾ t		
گاینار	1.1056640845343482	203	ɡ ɒ j n ɒ r	ɡ ɒː j n ɒː ɾ		
تسپاکوستاسو	1.5958599840815961	293	t s پ ɒ k v s t ɒ s v	t æ s p ɒː k uː s t ɒː s uː		
کاتالر	1.1819167800194756	217	k ɒ t ɒ l r	k ɒː t ɒː l æ ɾ		
مونتدیو	1.6666660584606432	306	m v n t d j v	m uː n æ t d iː j uː		
و-واران	1.0784309790039455	198	v - v ɒ r ɒ n	v ɒː ɾ ɒː n		
حریفنتیجه	2.0860558836288443	383	h r j f n t j d͡ʒ h	h æ ɾ iː f æ n t iː d͡ʒ e		
پرگولیتزه	1.236382991080281	227	پ r ɡ v l j t z h	p æ ɾ ɡ uː l iː t z e		
barbus	1.748365375051851	321	b a r b u s	b a ʁ b y s		
هدف‌قرارگرفته‌شده	2.2440078957051797	412	h d f ‌ ɣ r ɒ r ɡ r f t h ‌ ʃ d h	h æ d f ɢ æ ɾ ɒː ɾ ɡ e ɾ e f t e ʃ o d e		
'اس‌ام	1.0076249046248986	185	' ɒ s ‌ ɒ m	æ s æ m		
یوبوت‌های	2.799563248525394	514	j v b v t ‌ h ɒ j	j uː b uː t h ɒː j		
جی‌وای‌پی	1.2581694755046031	231	d͡ʒ j ‌ v ɒ j ‌ پ j	d͡ʒ iː v ɒː j p iː		
سودتیرول	1.1002174634282678	202	s v d t j r v l	s uː d t iː ɾ uː l		
هملت‌ها	2.9248355339652465	537	h m l t ‌ h ɒ	h æ m æ l t h ɒː		
سنتروآمریکانا	1.1873634011255563	218	s n t r v ɒ m r j k ɒ n ɒ	s æ n t ɾ uː ɒː m ɾ iː k ɒː n ɒː		
اسنوبردسواران	2.14596871579573	394	ɒ s n v b r d s v ɒ r ɒ n	e s n uː b æ ɾ d æ s v ɒː ɾ ɒː n		
ریخنوف	1.2091498855498783	222	r j x n v f	ɾ iː x n uː f		
کنیژنوو	1.203703264443798	221	k n j ʒ n v v	k e n iː ʒ n uː		
'گمینا	11.367098248390073	2087	' ɡ m j n ɒ	ɡ æ m iː n ɒː		
گمیناهای	22.58713772691597	4147	ɡ m j n ɒ h ɒ j	ɡ æ m iː n ɒː h ɒː j		
اورلیتسی	1.0893242212161067	200	ɒ v r l j t s j	o v æ ɾ l iː t͡s iː		
برنو-تسوونتری	1.9281038715525087	354	b r n v - t s v v n t r j	b æ ɾ n uː t e s v o n t æ ɾ iː		
ماوگوژاتا	1.2091498855498783	222	m ɒ v ɡ v ʒ ɒ t ɒ	m ɒː v ɡ uː ʒ ɒː t ɒː		
نیئا	1.6448795740363211	302	n j ي ʔ ɒ	n iː ʔ ɒː		
airlines-	3.033767956086857	557	a i r l i n e s -	ɛ ʁ l i n		
seatguru	3.033767956086857	557	s e a t g u r u	s i t x y r y		
الکترو-موتیو	1.3562086554140527	249	ɒ l k t r v - m v t j v	e l e k t ɾ uː m uː t iː j o		
مک‌لارن-مرسدس	1.0893242212161067	200	m k ‌ l ɒ r n - m r s d s	m æ k l ɒː ɾ æ n͡m æ ɾ s æ d s		
بی‌رتبه	1.2854025810350058	236	b j ‌ r t b h	b iː ɾ æ t b e		
departamento	1.6230930896119988	298	d e p a r t a m e n t o	d ə p a ʁ t ɐ m ɛ n t o		
روزن‌رانی	1.2200431277620394	224	r v z n ‌ r ɒ n j	ɾ uː z æ n ɾ ɒː n iː		
سپولنی	1.3616552765201333	250	s پ v l n j	s æ p uː l n iː		
برگزیده	72.29300194100692	13273	b r ɡ z j d h	b æ ɾ ɡ o z iː d e		
میلادی	6484.158853820026	1190492	m j l ɒ d j	m iː l ɒː d iː		m iː l ɒː d̪ iː
برابر	474.05756120993135	87037	b r ɒ b r	b æ ɾ ɒː b æ ɾ		b æ ɹ ɒː b æ ɹ
هجری	101.07839448664254	18558	h d͡ʒ r j	h æ d͡ʒ ɾ iː		
utc	3.687362488816521	677	u t c	y t e k		
برگزیدهٔ	7.156860133389821	1314	b r ɡ z j d h ʔ	b æ ɾ ɡ o z iː d æ h iː		
بیشتر	591.1871480961933	108542	b j ʃ t r	b iː ʃ t æ ɾ		b iː ʃ t̪ʰ æ ɹ
دانشنامه	26.650317072052047	4893	d ɒ n ʃ n ɒ m h	d ɒː n e ʃ n ɒː m e		d̪ ɔː n i ʃ n ɔː m ǽ
برخط	10.675377367917845	1960	b r x t	b æ ɾ x æ t		
چندزبانه	12.124178582135267	2226	t͡ʃ n d z b ɒ n h	t͡ʃ æ n d͡z æ b ɒː n e		
مبتنی	70.9803662544415	13032	m b t n j	m æ b t æ n iː		m ʊ b t̪ʰ ä n íː
محتوای	43.65466816523547	8015	m h t v ɒ j	m æ h t æ v ɒː j		
همکاری	188.07182679296082	34530	h m k ɒ r j	h æ m k ɒː ɾ iː		
افراد	1747.2923906939534	320803	ɒ f r ɒ d	æ f ɾ ɒː d		
داوطلب	12.118731961029185	2225	d ɒ v t l b	d ɒː v æ t l æ b		d̪ ɒː v t̪ʰ æ l æ b̥
نوشته	219.51517043836373	40303	n v ʃ t h	n uː ʃ t e		n ä w ɪ ʃ t̪ʰ ä
می‌شود	2226.660407482313	408815	m j ‌ ʃ v d	m iː ʃ uː d		
اینترنت	78.4803635175144	14409	ɒ j n t r n t	iː n t e ɾ n æ t		ʔ iː n̪ t̪ʰ e ɹ n é t̪
دسترسی	103.35508210898419	18976	d s t r s j	d æ s t æ ɾ s iː		
داشته	457.6523384384168	84025	d ɒ ʃ t h	d ɒː ʃ t e		
باشد	654.7764495096834	120217	b ɒ ʃ d	b ɒː ʃ æ d		
می‌تواند	394.1120566148813	72359	m j ‌ t v ɒ n d	m iː t æ v ɒː n d		
مقالات	46.421551687124385	8523	m ɣ ɒ l ɒ t	m æ ɢ ɒː l ɒː t		
ببیند	9.330061954715953	1713	b b j n d	b æ b iː n d		
ویرایش	34.36817917936816	6310	v j r ɒ j ʃ	v iː ɾ ɒː j e ʃ		w iː ɾ ɑː j ɪ́ ʃ
پیوند	82.58166921039304	15162	پ j v n d	p iː v æ n d		
معنی	147.1731489074021	27021	m ʔ n j	m æ ʔ n iː		m ɔː n ɔ́ː
وبگاه	126.66662044300888	23256	v b ɡ ɒ h	v æ b ɡ ɒː h		
مشارکتی	5.9803899744764255	1098	m ʃ ɒ r k t j	m e ʃ ɒː ɾ k æ t iː		
گرفته‌شده	1.900870766022106	349	ɡ r f t h ‌ ʃ d h	ɡ æ ɾ æ f t e ʃ o d e		
پسوند	13.404134542064192	2461	پ s v n d	p æ s uː n d		pʰ æ s v æ n̪ d̪̥
