Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
lmgte	2.7722152413255006	3462	l m ɡ t ə	ɛ l ɛ m ɡ t ə		
orica-greenedge	1.1827157456492676	1477	ɔ ʀ i k a - ɡ ʀ ə n ɛ d ʒ	ɔ ʁ i k a ɡ ʁ i n ɛ d͡ʒ		
nrhp	1.3396638066832938	1673	n ʀ p	n ɛ ʁ p e		
conidae	1.8449404725632448	2304	k ɔ n i d a	k ɔ n i d ɛ		
hifk	1.2916184818769592	1613	i f k	i f k		
'nationalités	1.0089518209330246	1260	' n a s j ɔ n a l i t e	n a s j ɔ n a l i t e		
dipsadidae	1.3772993111149223	1720	d i p s a d i d a	d i p s a d i d ɛ		
two-way	1.3925136639702616	1739	t w ɔ - w	t w o w ɛ		
roewer	3.9797544047913744	4970	ʀ ɔ w ə ʀ	ʁ u w ɛ ʁ		
india-mercedes	1.1947270768508513	1492	ɛ̃ d j a - m ɛ ʀ s ə d	ɛ̃ d j a m ɛ ʁ s e d		
laniatores	1.5046194218517088	1879	l ɑ̃ j a t ɔ ʀ	l a n j a t ɔ ʁ		
kalex	2.7810235508733285	3473	k a l ɛ	k a l ɛ k s		
réceptionneuse-attaquante	5.320218966888107	6644	ʀ e z ɛ p s j ɔ n œ z ə - a t a k ɑ̃ t	ʁ e s ɛ p s j ɔ n ø z a t a k ɑ̃ t		
'promotions	1.4037242397584064	1753	' p ʀ ɔ m ɔ s j ɔ̃	p ʁ ɔ m ɔ t j ɔ̃		
adversairetempsvitesse	1.1650991265536117	1455	a d v ɛ ʀ s ɛ ʀ ə t ɑ̃ p s v i t ɛ s	a d v ɛ ʁ s ɛ ʁ t ɑ̃ p s v i t ɛ s		
l'ehf	2.033918750134827	2540	l ' ɛ f	l ɛ f		
krylia	1.3676902461536555	1708	k ʀ i l j a	k ʁ i l j a		
sovetov	1.4229423696809402	1777	s ɔ v ə t ɔ v	s ɔ v t ɔ f		
ioulaïev	1.1322681546026163	1414	j u l a i v	j u l a j ɛ f		
oam	2.1380169538818854	2670	ɔ ɑ̃	w a m		
'médailles	1.6976014764904857	2120	' m e d e l	m e d a j		
allsvenskan	1.8665608687260953	2331	a l s v ɑ̃ s k ɑ̃	a l s v ɛ n s k ɑ̃		
dnq	1.1306666437757387	1412	d n k	d e ɛ n k		
mahtessian	2.1724494366597584	2713	m a t ɛ s j ɑ̃	m a t ɛ s j ɑ̃		
jyp	1.2563852436856473	1569	ʒ i	ʒ i p		
metallourg	2.0122983539719765	2513	m ə t a l u ʀ ɡ	m ə t a l u ʁ		
hewitson	1.3308554971354656	1662	ə w i t s ɔ̃	j u i t͡s ɔ̃		
botola	1.0770160310753316	1345	b ɔ t ɔ l a	b ɔ t ɔ l a		
monopolarisée	5.729404983155389	7155	m ɔ n ɔ p ɔ l a ʀ i z e	m ɔ n ɔ p ɔ l a ʁ i z e		
seututie	1.0337752387496306	1291	s œ t y t i	s ø t y s i		
'pts	1.8337298967751001	2290	' p t s	t e		
ligaen	1.162696860313295	1452	l i ɡ a ɑ̃	l i ɡ ɛ̃		
vhl	1.125862111295105	1406	v l	v e a l		
buckeyes	1.0169593750674135	1270	b y k k ə j	b y k ɛ j		
récréotouristiques	1.1434787303907612	1428	ʀ e k ʀ e ɔ t u ʀ i s t i k	ʁ e k ʁ e ɔ t u ʁ i s t i k		
'ktm	1.3772993111149223	1720	' k t m	k t ɛ m		
'démocrate	1.4886043135829305	1859	' d e m ɔ k ʀ a t	d e m ɔ k ʁ a t		
'yamaha	2.4142775715183085	3015	' i a m a a	j a m a a		
etcoalition	1.2043361418121181	1504	ɛ t k ɔ a l i s j ɔ̃	ɛ t k o a l i s j ɔ̃		
pharma-quick	1.9426326330027917	2426	f a ʀ m a - k i k k	f a ʁ m a k ɪ k		
lotto-belisol	1.101038693478499	1375	l ɔ t ɔ - b ə l i z ɔ l	l ɔ t ɔ b e l i z ɔ l		
brescovit	1.362885713673022	1702	b ʀ ɛ s k ɔ v i	b ʁ ɛ s k ɔ v i		
dupérré	1.1050424705456936	1380	d y p e ʀ ʀ e	d y p e ʁ e		
oblt	2.0579414125379945	2570	ɔ b l	ɔ b l t		
kptlt	1.8617563362454619	2325	k p t l t	k a p e t e l t e		
'kalex	1.6303380217616175	2036	' k a l ɛ	k a l ɛ k s		
aandeel	1.2796071506753754	1598	a ɑ̃ d ə l	a n d i l		
adversairesscore	1.2964230143575926	1619	a d v ɛ ʀ s ɛ ʀ ɛ s k ɔ ʀ	a d v ɛ ʁ s ɛ ʁ ɛ s k ɔ ʁ		
'antoine	2.716162362384777	3392	' ɑ̃ t w a n	ɑ̃ t w a n		
né	624.5772111511469	779985	n e	n e		n e
le	24336.065259900624	30391384	l ə	l ə		ɛ l
moulins	18.9402677940705	23653	m u l ɛ̃	m u l ɛ̃		
allier	5.649329441811498	7055	a l j ə ʀ	a l j e		a l j e
et	22527.58718508832	28132919	ɛ	ɛ t		e
mort	626.4005312275473	782262	m ɔ ʀ	m ɔ ʁ		m ɔ ʁ
cher	21.188788995006952	26461	ʃ ɛ ʀ	ʃ ɛ ʁ		ʃ ɛ ʁ
est	11086.651681116326	13845241	ɛ s	ɛ s t		ɛ t ‿
un	8472.801037151223	10581010	œ̃	œ̃		ɛ̃ n ‿
philologue	5.277778929975845	6591	f i l ɔ l ɔ ɡ	f i l ɔ l ɔ ɡ		f i l ɔ l ɔ ɡ
français	1102.9869313993959	1377433	f ʀ ɑ̃ s ɛ s	f ʁ ɑ̃ s ɛ		f ʁ ɑ̃ s ɛ
principal	145.96249751705764	182281	p ʀ ɛ̃ s i p a l	p ʁ ɛ̃ s i p a l		p ʁ ɛ̃ s i p a l
linguiste	8.082825143252341	10094	l ɛ̃ ɡ ɥ i s t	l ɛ̃ ɡ i s t		l ɛ̃ ɡ ɥ i s t
des	14869.664484602827	18569546	d ə s	d ɛ		d ɛ z ‿
premières	150.74781186776858	188257	p ʀ ɑ̃ j ə ̀ ʀ	p ʁ ə m j ɛ ʁ		p ʁ ə m j ɛ ʁ
décennies	23.37885505076237	29196	d e s ɑ n j	d e s e n i		
enfance	38.29852991395611	47828	ɑ̃ f ɑ̃ s ə	ɑ̃ f ɑ̃ s		ɑ̃ f ɑ̃ s
paul	257.0569013113315	321018	p o l	p o		
jules	64.21818189156014	80197	ʒ y l	ʒ y l		ʒ y l
antoine	76.39126568665841	95399	ɑ̃ t w a n	ɑ̃ t w a n		
d'origine	148.46005365157362	185400	d ' ɔ ʀ i ʒ i n	d ɔ ʁ i ʒ i n		d ‿ ɔ ʁ i ʒ i n
fils	389.85898360852065	486864	f i l	f i l		f i s
d'un	1380.2436887701372	1723677	d ' y n	d œ̃		
notaire	10.650046998737482	13300	n ɔ t ɛ ʀ	n ɔ t ɛ ʁ		n ɔ t ɛ ʁ
il	7235.158274672527	9035416	i l	i l		j
naît	50.88400274697543	63545	n a i	n ɛ		n ɛ
novembre	289.235257600374	361203	n ɔ v ɑ̃ b ʀ	n ɔ v ɑ̃ b ʁ		n ɔ v ɑ̃ b ʁ
passe	168.53499186648705	210470	p a s	p a s		p ɑ s
son	3797.351930674952	4742212	s ɔ̃	s ɔ̃		s ɔ̃ n ‿
puis	776.1313837202484	969249	p ɥ i s	p ɥ i		p ɥ i
fait	1265.5090508663702	1580394	f ɛ	f ɛ		f ɛ t
ses	1790.5331459971383	2236055	s ə s	s ɛ		s ɛ z ‿
études	214.04672654470085	267306	e t y d	e t y d		e t y d
secondaires	42.367968925052644	52910	s ə k ɔ̃ d ɛ ʀ	s ə ɡ ɔ̃ d ɛ ʁ		
lycée	80.76098797779454	100856	l j s e	l i s e		l i s e
étudiant	106.9056522265749	133506	e t y d j ɑ̃	e t y d j ɑ̃		e t y d j ɑ̃
partir	441.43083525564015	551268	p a ʀ t i ʀ	p a ʁ t i ʁ		p a ʁ t i ʁ
la	32408.51101148397	40472422	l a	l a		l a
faculté	52.88188750350551	66040	f a k y l t e	f a k y l t e		f a k y l t e
lettres	118.0705849561536	147449	l ɛ t ʀ	l ɛ t ʁ		l ɛ t ʁ
suit	83.49636847010186	104272	s ɥ i	s ɥ i		s ɥ i
notamment	496.33062640101167	619828	n ɔ t ɑ m ɑ̃	n ɔ t a m ɑ̃		n ɔ t a m ɑ̃
les	13850.034590231595	17296211	l ə s	l ɛ		l ɛ z ‿
cours	470.924258643422	588100	k u ʀ	k u ʁ		k u ʁ
louis	264.5944120180319	330431	l w i s	l w i		l w i
assiste	16.551614395782234	20670	a s i s t	a s i s t		a s i s t
également	923.8411295494299	1153712	e ɡ a l ə m ɑ̃	e ɡ a l m ɑ̃		e ɡ a l m ɑ̃
ceux	149.51865230813985	186722	s œ	s ø		s ø
michel	190.72552588370607	238182	m i ʃ ə l	m i ʃ ɛ l		
france	1299.9351276009356	1623386	f ʀ ɑ̃ s ə	f ʁ ɑ̃ s		
ferdinand	31.470488503562535	39301	f ɛ ʀ d i n ɑ̃	f ɛ ʁ d i n ɑ̃		
saussure	1.6167251797331559	2019	s o s y ʀ	s o s y ʁ		
l'école	196.42450216115077	245299	l ' e k ɔ l	l e k ɔ l		
pratique	89.6037300084004	111899	p ʀ a t i k	p ʁ a t i k		p ʁ a t i k
hautes	33.488392145428584	41821	o t	o t		
major	37.12702474409499	46365	m a ʒ ɔ ʀ	m a ʒ ɔ ʁ		m a ʒ ɔ ʁ
l'agrégation	2.8274673648527853	3531	l ' a ɡ ʀ e ɡ a s j ɔ̃	l a ɡ ʁ e ɡ a s j ɔ̃		
grammaire	10.123950692108119	12643	ɡ ʀ ɑ m ɛ ʀ	ɡ ʁ a m ɛ ʁ		ɡ ʁ a m ɛ ʁ
premier	988.5709941501774	1234548	p ʀ ɑ̃ j ɛ ʀ	p ʁ ə m j e		p ʁ ə m j e ʁ ‿
séjour	29.4445773075621	36771	s e ʒ u ʀ	s e ʒ u ʁ		s e ʒ u ʁ
arménie	7.905057441468903	9872	a ʀ m e n i	a ʁ m e n i		
projet	250.94393448513884	313384	p ʀ ɔ ʒ ɛ	p ʁ ɔ ʒ ɛ		p ʁ ɔ ʒ ɛ
