Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
is	8655.104385077426	185800				ɪ s
in	22408.941011643816	481055				ə n
reedriderstocht	1.6769847032442806	36				
fan	37705.37065065283	809425				f ɔ n
justjes	31.722960636370974	681				
minder	175.80389639010875	3774				
km	542.9703805837593	11656				
oer	2523.815395474219	54179				u ə̯ r
by	4139.450408324813	88862				b ɛ i̯
alve	44.90592372020796	964				
stêden	165.22957617798508	3547				
e	13169.360874577336	282708				
nederlânske	484.229333061786	10395				
provinsje	309.9160897412278	6653				p r ə f ɪ n s j ə
fryslân	663.2940330415364	14239				
lâns	95.07571609226602	2041				
ljouwert	530.2998294925803	11384				
haadstêd	278.2862949217037	5974				
âlds	23.47778584541993	504				
start-	1.1179898021628538	24				
tocht	77.60712543347144	1666				
wurdt	2672.973868246113	57381				
eltse	92.32732449528234	1982				
winter	72.90225168270275	1565				v ɪ n t ə r
ynsafier't	6.754521721400574	145				
tastân	16.909595757713163	363				
iis	30.465222108937766	654				iː s
dat	7367.040384260548	158149				d ɔ t
talit	1.1179898021628538	24				
maksimaal	13.136380175413532	282				
ien	1344.9417320019131	28872				i ə̯ n
kear	317.974932898485	6826				
organisearre	81.56667264946488	1751				
troch	5424.859183361554	116456				t r o x
keninklike	70.20044299414252	1507				
feriening	107.93259881713884	2317				
fryske	745.3265347752358	16000				
earste	1361.4786644922385	29227				
offisjele	377.32155822996316	8100				
alvestêdetocht	35.58934203551751	764				
yn	32960.76167899895	707572				
ferriden	9.130250050996638	196				
hoewol't	318.2078474406022	6831				
soks	77.65370834189488	1667				
ek	3849.005974304588	82627				
foar	6615.518322664993	142016				f w a r
dy	2503.1791670426296	53736				d ɛ i̯
tiid	1097.6330711818052	23563				
wol	1135.8310560890359	24383				
op	9482.183924135821	203555				o p
ûnoffisjele	3.6334668570292745	78				
wize	172.8225902510078	3710				
dien	205.66354068954163	4415				
sûnt	763.9596981446167	16400				s u n t
hat	2616.002971244231	56158				
noch	1565.977632471194	33617				n ɔ x
mar	3025.373570469529	64946				
holden	211.67273587616697	4544				
wurde	1853.7202578028584	39794				v ø r ə
kinnen	78.16612033455286	1678				
omreden	42.716527024305705	917				
syn	5086.341187848327	109189				s i n
lange	253.2246901898864	5436				
ôfstân	71.7842618805399	1541				
der	3290.989314300054	70648				
tochten	12.204722006944486	262				
neamd	616.9440391602014	13244				
liedt	49.70396328782354	1067				
dielnimmers	24.362861105465523	523				
plakken	207.71318866017353	4459				
dy't	5576.579716096738	119713				
histoarysk	81.52008974104142	1750				
stedsrjochten	29.95281011627979	643				
krigen	235.7560995310918	5061				
hawwe	981.3621317568683	21067				h a v ə
drachten	90.55717397519115	1944				
hearrenfean	184.18881990633017	3954				
folle	288.6277005917101	6196				
grutter	90.32425943307389	1939				
binne	2410.525762188383	51747				
guon	312.33840097924724	6705				ɡ w o n
'stêden	2.3757283295960643	51				
telle	3.5403010401823702	76				t ɛ l ə
sy	361.52995227441284	7761				s ɛ i̯
dit	590.0657009998695	12667				
mêd	162.06193840519035	3479				
net	2630.303924130231	56465				n ɛ t
om't	581.1217825825667	12475				
oan	5404.688784014199	116023				
har	2813.9337491354795	60407				h a r
nea	197.55811462386094	4241				n ɪ ə̯
taparte	17.934419743029114	385				
al	1218.4691356322403	26157				
se	3214.174098309781	68999				
moderne	120.09073791565987	2578				
kontekst	15.698440138703404	337				
faak	355.66050581305785	7635				
komt	662.0828774225267	14213				
pas	160.94394860302748	3455				
njoggentjinde	72.25009096477443	1551				
fral	177.4342981849296	3809				
tweintichste	68.70978992459206	1475				
iuw	1290.765809505438	27709				iː w
hjoeddeistige	61.90868529476803	1329				
omfang	6.987436263517836	150				
dêrmei	265.755492555795	5705				
wichtigens	2.329145421172612	50				
berikt	47.09532041611021	1011				
rûte	45.55808443813629	978				
fiert	31.67637772794752	680				
behalven	66.19431286972564	1421				
histoaryske	193.50540159102061	4154				
protte	334.69819702250436	7185				
doarpen	142.82319722630456	3066				
tafallich	7.266933714058549	156				
trajekt	12.623968182755556	271				
lizze	162.85384784838902	3496				
fierder	293.2859914340553	6296				
belang	95.54154517650055	2051				
kin	822.5144140328962	17657				k ɪ n
wat	974.3746954933505	20917				v ɔ t
oangiet	26.692006526638135	573				
dan	598.2642928823972	12843				
sûnder	338.8440758721916	7274				
swierrichheden	58.08888680404494	1247				
ferlein	4.471959208651415	96				
om	4228.563512138877	90775				
foarbyld	75.18481419545192	1614				f w a r b i l t
te	6251.985305328372	134212				
jaan	184.51490026529433	3961				j aː n
docht	198.11710952494238	4253				
altyd	242.0913750766813	5197				
balk	15.558691413433047	334				
gaasterlân	18.260500101993276	392				
doe't	741.9725653687473	15928				
rivierke	10.4345714868533	224				
luts	27.530498878260275	591				
