Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
an	40843.075117028275	363782		a nˠ		ə nˠ
agus	23437.76489526792	208756		a ɡ u sˠ		ɡ ə sˠ
i	18517.042330025233	164928		iː		ɪ
is	12119.923357624077	107950		ɪ ʃ		ʃ
catagóir	11458.969315879445	102063		k a t̪ˠ ə ɡ oː ɾʲ		
le	9817.979970858292	87447		l̠ʲ ɛ		lʲ ɛ
sa	9457.469791133133	84236		sˠ a		sˠ ə
go	9146.584494447065	81467		ɣ ɔː		ɡ ə
ag	8726.681637962452	77727		a ɡ		ɪ ɟ ə
sé	7345.605424695812	65426		ʃ eː		ʃ ɛ
bhí	7216.266363019267	64274		vʲ iː		vʲ iː
é	7086.927301342724	63122		eː		ə
in	6801.191266649316	60577		ɪ nʲ		
mar	6213.439541061896	55342		mˠ a ɾˠ		mˠ ə ɾˠ
ó	5268.209020007361	46923		ɔː		ɔː
tá	5189.280755807178	46220		t̪ˠ æː		t̪ˠ ɑː
ina	4527.877620098392	40329		ɪ n̪ˠ ə		ɪ nˠ ə
the	4257.74760065936	37923		ç ɛ		
bhliain	3903.18791595925	34765		vʲ lʲ i ə nʲ		
leis	3599.3758492086176	32059		l̠ʲ ɛ ʃ		l̠ʲ ɛ ʃ
sin	3362.5910566080697	29950		ʃ ɪ nʲ		ʃ ɪ nʲ
nó	3214.5023219280683	28631		n̪ˠ ɔː		n̪ˠ ɔː
seo	3191.037162300987	28422		ʃ oː		ʃ ɔ
den	3115.3648293409256	27748		dʲ ɛ nˠ		ɡ ə nˠ
ach	2919.447587478452	26003		a x		ɑ x
ann	2778.2075357518092	24745		a n̪ˠ		ɑː n̪ˠ
daoine	2662.341292999905	23713		d̪ˠ iː nʲ ə		d̪ˠ iː nʲ ə
do	2465.5258632091222	21960		d̪ˠ ɔ		ɡ ə
raibh	2448.01119860709	21804		ɾˠ a vʲ		ɾˠ ɛ vʲ
san	2401.4176998260436	21389		sˠ a nˠ		sˠ ə n̪ˠ
atá	2389.2921627938676	21281		a t̪ˠ ɑː		ə t̪ˠ ɑː
chun	2369.7565753531394	21107		x ʊ nˠ		x ʊ nˠ
of	2302.280207238901	20506		ɔ fˠ		
í	2141.167747598414	19071		iː		iː
rugadh	2137.9118163582925	19042		ɾˠ ʊ ɡ ə		ɾˠ ʊ ɡ ə ɡ
eile	2124.8880913978073	18926		ɛ lʲ ə		ɛ lʲ ə
chuid	2079.3050540361087	18520		x ɪ dʲ		
ea	2016.431899054455	17960		ɛ		j a
faoi	1935.2581650334992	17237		fˠ iː		fˠ iː
