Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
an	60185.37240280485	119064		a ŋ		ə n
ann	30696.238363676068	60726		a n̪ˠ		ã ũ n̪ˠ
e	21906.820442726235	43338		ɛ		ɛ
agus	19580.566631349935	38736		a ɣ u s		a ɣ ə s
tha	19134.221104308373	37853		t a		h aː
air	16416.214423784604	32476		a j ɾʲ		ɛ rʲ
roinn-seòrsa	12601.805197221032	24930		z ɔ j n s e ɔ r s a		
am	9531.979165824187	18857		a m		
's	8272.304133675178	16365		sˠ		ʃ
bha	7364.448452399246	14569		bˠ aː		v aː
anns	6963.091319363005	13775		a n̪ˠ sˠ		
aig	5755.986994815719	11387		a j ɡ		ɛ kʲ
gu	5738.800417330541	11353		ɣ u		k ə
is	4896.152632983671	9686		i s		ɪ ʃ
chaidh	4405.32419950988	8715		c a j		x a ɪ
le	4393.6979853287285	8692		l ɛ		l e
bho	4339.10532743463	8584		bˠ ɔ		v ɔ
mar	4112.646894688741	8136		m a ɾ		m a ɾ
baile	3794.189723639834	7506		b a j l e̝		p ɛ l ə
ri	3333.6905445516527	6595		ɾ i		ɾʲ i
seo	3145.143679787776	6222		s e o		ʃ ɔ
sin	3144.132704641589	6220		s i n		ʃ ɪ n
airson	3087.518096455117	6108		a j ɾ s ɔ n		ə r s̪ ɔ n
às	3074.375419554686	6082		a s		a s̪
daoine	2918.1797594687932	5773		d̪ a oː n ə		t̪ ɯː n ə
do	2845.389548943329	5629		j ɔ		t̪ ə
h-alba	2830.2249217505237	5599		h a l b a		
san	2799.8956673649136	5539		s a ŋ		
th	2716.995705377579	5375		tʰ		
i	2631.0628179516834	5205		i		i
à	2628.535380086216	5200		a		a
beurla	2580.5140606423333	5105		b e w ɾ l a̝		
ach	2438.4720526030587	4824		a t͡ʃ		
bailtean	2286.825780675008	4524		b a j l̪ˠ t̪ e a n		
the	2247.903237546808	4447		tʰ eː		
iad	2191.288629360336	4335		i a d̪ˠ		ə t̪
eadar	2133.157558454583	4220		e a ð a ɾ		e t̪ ə ɾ
mu	2079.070388133578	4113		m u		m ə
fuireach	1876.3698713230833	3712		f u i ɾ e a t͡ʃ		f u ɾʲ ə x
of	1856.6558559724367	3673		ɔ f		
alba	1843.5131790720056	3647		a l b a̝		
bhaile	1810.656486820928	3582		b a j l e		
suidhichte	1735.8443260030895	3434		s u i t͡ʃ t̪ ɛ		
loch	1686.8120314130197	3337		l ɔ t͡ʃ		ɫ̪ ɔ x
aonaichte	1682.7681308282718	3329		a oː n a t͡ʃ t̪ ɛ		
gàidhlig	1621.6041344839578	3208		ɣ a j l i ɡ		
robh	1592.7913428176282	3151		ɾˠ ɔ bˠ		ɾ oː
leis	1590.7693925252543	3147		l e j ʃ		l ɛ ʃ
sa	1589.2529298059737	3144		s a		
neo	1568.0224517360466	3102		n e o		
aige	1508.8804056841066	2985		a j ɟ ɪ		ɛ kʲ ə
chuimrigh	1466.4194495442523	2901		x uː m ɾ i		
fhèin	1450.7493347783538	2870		f ɛ j n		
eile	1440.1340957433902	2849		e j l e		e l ə
deas	1425.4749561236786	2820		j e a s		t͡ʃ ɛ s̪
nuair	1422.9475182582112	2815		n u a j ɾʲ		n̪ˠ u ə ɾʲ
gun	1364.8164473524582	2700		ɣ u ŋ		k ə ɲ
linn	1364.3109597793648	2699		l̪ˠ ɪ n̠ʲ		ʎ iː ɲ
den	1360.2670591946166	2691		d ɛ ŋ		
faidhle	1348.640845013466	2668		f a i l e		f a i l ə
dùthcha	1340.55304384397	2652		z u t͡ʃ t͡ʃ a		
duine	1332.9707302475676	2637		d̪ uː n ə		t̪ ɯ ɲ ə
tuath	1329.9378048090066	2631		t̪ˠ u a t̪ˠ		t̪ʰ u ə
cuideachd	1328.421342089726	2628		k u i ð e a t͡ʃ t͡ʃ		kʰ u tʲ ə x k
eilean	1316.289640335482	2604		e j l e a n		
stàitean	1307.6963515928924	2587		s t a j tʲ a ŋ		
bheil	1299.6085504233963	2571		b e j l		v e l̪
taobh	1297.081112557929	2566		t̪ˠ a oː bˠ		t̪ʰ ɯː v
bliadhna	1289.4987989615263	2551		b l i a ɣ n a		b l i ə n̪ˠ ə
nam	1248.0488179678591	2469		n a m		
mòr	1215.1921257167814	2404		m ɔ ɾˠ		m oː ɾ
roinn	1195.4781103661348	2365		r ɔ ɲ		rˠ ɤ i ɲ
rugadh	1192.9506725006672	2360		r u ɣ a		ɾ u k ə ɣ
oilthigh	1177.7860453078622	2330		ɔ i l̪ˠ tʲ i		ɤ l h ɪ
ainm	1170.2037317114596	2315		a i nʲ ɪ mʲ		ɛ ɾʲ ɛ m
far	1163.632393261244	2302		f a ɾ		
chiad	1135.8305767411014	2247		c i a d̪ˠ		ç i ə̯ t̪
bh	1125.215337706138	2226		bˠ		
eil	1122.1824122675769	2220		eː l		e lʲ
ris	1102.4683969169303	2181		r i s		
dèidh	1085.7873070048447	2148		z ɛ j		tʲ eː
latha	1083.7653567124705	2144		l a t a		l̪ˠ a a
sgìre	1081.2379188470031	2139		s ɡ i ɾ ɛ		
chan	1075.6775555429745	2128		c a ŋ		x a ɲ
dhan	1046.3592763035513	2070		j a ŋ		ɣ a n̪ˠ
faisg	1040.7989129995228	2059		f a j s ɡ		f a ʃ c
bhith	1036.2495248416813	2050		bˠ iː		v i h
iar	1032.2056242569333	2042		i a ɾ		
àirde	1022.0958727950632	2022		a i ɾ ð e		aː rˠ tʲ ə
dh	1011.4806337600996	2001		j aː		
bhon	983.678817239957	1946		bˠ ɔ nˠ		v ɔ n̪ˠ
duais	979.1294290821154	1937		j u a j ʃ		t̪ u ə ʃ
os	977.1074787897414	1933		ɔ sˠ		ɔ s
motha	960.9318764507493	1901		m ɔ t a		m o ə
pàrtaidh	949.3056622695988	1878		p a ɾˠ t̪ˠ ə		
stèidheachadh	942.7343238193832	1865		s t ɛ j i t͡ʃ ə t͡ʃ		
dà	941.7233486731963	1863		j a		t̪ aː
rinn	923.0203084687366	1826		r i n̠ʲ		ɾʲ iː ɲ
dhe	920.4928706032691	1821		j eː		
rèir	915.9434824454275	1812		ʐ ɛ j ɾˠ		
fhuair	904.8227558373706	1790		f u a j ɾʲ		h u ə ɾʲ
ag	903.8117806911835	1788		a ɡ		a ɡ
cionn	902.8008055449965	1786		s i ɔ n		kʰʲ ũː n̪ˠ
prìomh-bhaile	900.273367679529	1781		p ɾ i ɔ m b a i̯ l ɛ		
cha	890.163616217659	1761		c aː		x a
ceann	885.6142280598174	1752		k e a n		kʲʰ a u n
aon	874.4935014517603	1730		aː oː n		ɯ̃ː n
gus	872.4715511593863	1726		ɣ u s		
bhliadhna	867.4166754284513	1716		b l i a ɣ n a		
t-ainm	856.8014363934877	1695		t a j n͡m		
and	848.7136352239917	1679		a n̪ˠ d̪ˠ		
ear	848.7136352239917	1679		e a ɾˠ		
àite	838.0983961890281	1658		a j t e̝		aːʰ tʰʲ ɪ
riaghaltas	833.0435204580931	1648		r i a ɡ a l̪ t̪ a s̠		
mara	820.911818703849	1624		m a ɾ a̝		
nobel	816.3624305460074	1615		n ɔ b ɛ l		
dùn	815.856942972914	1614		j u ŋ͡m		t̪ uː n
cilemeatair	806.7581666572308	1596		k i l e m e a t a j ɾ		
àm	806.2526790841374	1595		a mˠ		ã ũ m
neach-poileataigs	805.2417039379504	1593		n e a t͡ʃ p ɔ j l e a t a j ɡ s		
mi	804.2307287917633	1591		m i		m i
nàiseanta	789.5715891720517	1562		n a ʃ a n̪ t̪ a		
fad	789.0661015989583	1561		f a d̪ˠ		f a t̪
dhen	788.5606140258648	1560		j ɛ ŋ		ʝ e n
dùthaich	788.0551264527713	1559		j uː t̪ˠ ə t͡ʃ		t uː ɪ ç
chuir	787.0441513065842	1557		c u i ɾˠ		
beag	777.9453749909012	1539		b e a ɡ		p e k
siorrachd	777.9453749909012	1539		ʃ ɔ r a t͡ʃ d̪ˠ		
ìre	777.9453749909012	1539		i ɾ ə		
fo	768.3411111021246	1520		f oː		f ɔ
nach	760.2533099326287	1504		n a t͡ʃ		n̪ˠ a x
falbh	751.6600211900391	1487		f a l b		f a ɫ̪ a v
sgrìobhadair	750.6490460438521	1485		s ɡ ɾ i ɔ b a ð a j ɾ		s̪ k ɾ iː v ə t ɛ ɾʲ
caerdydd	741.550269728169	1467		k e ɛ ɾ ð i ð		
laideann	737.506369143421	1459		l a j dʲ a n̪ˠ		
bbc	723.8582046698964	1432		b eː b eː k a		
cho	720.8252792313353	1426		c ɔ		x ɔ
math	720.8252792313353	1426		m a t̪ˠ		m ɛ
gur	710.2100401963718	1405		ɣ u ɾ		
gach	698.0783384421277	1381		ɣ a t͡ʃ		k a x
inbhir	696.5618757228473	1378		i n b i ɾ		
comhairle	685.9466366878837	1357		k ɔ w a ɾ l ɛ		kʰ ɔ̃ ə rˠ ʎ ə
ghearmailt	683.4191988224162	1352		ɡ e a ɾ m a j l̪ˠ t̪ˠ		
nas	669.265546775798	1324		n a s		n ə s̪
john	656.6283574484605	1299		j ɔ n		
thug	647.5295811327775	1281		t̪ˠ u ɡ		
chur	643.4856805480294	1273		c u ɾˠ		
ga	635.3978793785334	1257		ɣ aː		
cuid	632.8704415130659	1252		k u j dʲ		kʰ u tʲ
obair	631.8594663668788	1250		ɔ b a j ɾʲ		o p ə ɾʲ
coloimbia	631.3539787937854	1249		k ɔ l ɔ j m b i a		
còmhla	631.3539787937854	1249		k ɔ w l a̝		kʰ ɔ̃ː l̪ˠ ə ɣ
o	630.3430036475984	1247		ɔ		ɔ
bhuannaich	607.0905752852972	1201		b u a n̪ˠ a t͡ʃ		
lunnainn	602.5411871274557	1192		l u n̪ˠ ə n̪ˠ		
ainmeil	602.0356995543622	1191		a i m m e j l		
ùr	598.4972865427077	1184		u ɾˠ		
ruige	597.4863113965206	1182		r u ɪ ɟ ɪ		
ceimigear	591.9259480924921	1171		k e i̯ m i d͡ʒ e a ɾ		
rìgh	579.2887587651545	1146		ʐ i ɡ		rˠ ʊ i
chaochail	574.2338830342195	1136		c a ɔ t͡ʃ a l		
in	570.695470022565	1129		i n		
mhòr	570.1899824494715	1128		m ɔ ɾˠ		v oː ɾ
aghaidh	569.1790073032845	1126		a ɡ a		ɤː ɪ
chuid	565.1351067185365	1118		c u j d		
beinn	564.6296191454429	1117		b e i n		p ɤ i ɲ
iain	558.5637682683209	1105		i a nʲ		
dha	553.0034049642924	1094		j a		ɣ aː
dhùn	550.4759670988249	1089		j u ŋ͡m		
eachdraidh	548.9595043795443	1086		eː x d̪ˠ ɾˠ ə		ɛ x t̪ ɾ ɪ
ghàidhlig	546.4320665140768	1081		ɣ a j l i		
la	539.8607280638613	1068		l a		
roinne	533.2893896136458	1055		r ɔ n ɛ		rˠ ɤ ɲ ə
mòran	528.2345138827108	1045		m ɔ ɾ a ŋ		
ipa	527.2235387365237	1043		i p a		
an-diugh	522.1686630055887	1033		a n j u		
glaschu	517.6192748477472	1024		ɡ l a ʃ t͡ʃ u		
naidheachdan	515.5973245553731	1020		n a j ð e a χ d a n		
èideann	511.5534239706251	1012		ɛ j ð e n		
beanntan	508.0150109589706	1005		b e a n̪ t̪ a ŋ		p j ã ũ n̪ˠ t̪ ə n
rìoghachd	507.00403581278357	1003		z i ɔ ɡ a t͡ʃ d̪ˠ		rˠ i ə ə x k
dùbhlachd	504.47659794731607	998		d u b l a x t̪ˠ		
dìreach	503.46562280112903	996		z i ɾ e a t͡ʃ		tʲ ɪ ɾ ə x
aca	499.42172221638106	988		a k a		aʰ k ə
sgrìobh	494.8723340585395	979		s ɡ ɾ i ɔ bˠ		s̪ k ɾʲ iː v
nuadh	493.8613589123525	977		n u ə		
bu	490.32294590069796	970		b u		p u
faoilleach	487.79550803523045	965		f a ɔ i l̠ʲ a h		
eaglais	483.7516074504824	957		e a ɡ l a j ʃ		e k l̪ˠ ɪ ʃ
fear	480.71868201192143	951		f e a ɾ		f ɛ ɾ
gearmailtis	479.2022192926409	948		ɣ e a ɾ m a j l̪ t̪ ɪ s̠		
tro	479.2022192926409	948		t ɾ oː		
t-iuchar	478.1912441464539	946		t i u t͡ʃ a ɾ		
fhraing	475.1583187078929	940		f ɾ a i ŋ		
dàmhair	474.6528311347994	939		z a w a j ɾʲ		
thàinig	469.09246783077083	928		tʰ a j n i ɡ		h aː n ɪ kʲ
y	465.55405481911635	921		iː		
oifigeil	457.9717412227138	906		ɔ j f i ɡ e j l		
dàrna	456.45527850343325	903		z a ɾ n a		t̪ aː rˠ n̪ˠ ə
sir	454.43332821105923	899		s i ɾ		
bharrachd	447.8619897608437	886		b a r a t͡ʃ t̪		
