Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
છે	43509.19729132428	313323		ɛ kʰ i		
અને	22042.81029618937	158737		oː n ə pʰ iː		ə n ɛ
આ	13937.890424027311	100371		m oː		ɑ̈
જ	9646.584889822054	69468		m ə		d͡ʒ ə
એક	9066.6899957716	65292		eː p ə t̪		e k
આવેલા	7821.082428809778	56322		eː pʰ e pʰ aː l̪ aː pʰ aː		
તેમ	7357.833059424646	52986		p ə pʰ iː b i		
શ્રેણી	5844.912831771464	42091		p ɕ ə ɾ h e ɳ pʰ iː		
કે	5823.388955196315	41936		p eː k ə h eː		
ગામમાં	5452.206232064883	39263		pʰ oː ɡ ɑː p ʌ m aː uː		
માટે	5326.395701890144	38357		ʔ aː ʈ eː		m ɑ ʈ e
પણ	5086.8557851667165	36632		s ə p oː		p ə ɳ
કરવામાં	4893.279759710219	35238		p eː k ə s ɾ p uː p aː uː		
આવે	4893.0020322705395	35236		eː pʰ eː		
ખેતી	4869.672927337476	35068		pʰ e pʰ iː		
ભાગમાં	4502.7949795210725	32426		oː ɣ ʌ m aː u		
તે	4423.781522932301	31857		p ə pʰ iː		
હતી	4271.725749707865	30762		oː pʰ iː		
પર	3978.5844371263265	28651		s oː p ə ɾ		
હતા	3781.675682393677	27233		oː ɦ p aː		
મુખ્ય	3516.168250060232	25321		ʔː kʰ xʷ aː		
હતો	3453.401848692702	24869		oː ɦ ə pʰ oː		
જે	3440.487522747613	24776		m oː d͡ʒ ə i		
હતું	3301.9015303476244	23778		oː pʰ ʊ uː		
સાથે	3277.461515655843	23602		s aː p̚ h eː		
આવેલું	3183.1730498847082	22923		e pʰ e pʰ aː h ʊ u		
ગામ	3154.2893961580576	22715		ɡ aː p ə		ɡ ɑ m
કરી	3065.55547918051	22076		p eː k͡p ɾ ɪ ʃ iː		
દ્વારા	2973.766560366489	21415		p ɑː f j ɑː k ə ɾ p aː		
તરીકે	2921.414937986934	21038		p ɐ p ɾ iː p ə kʰ eː		
રાજ્યના	2897.9469693340307	20869		p ɑ ɾ p ɑ d͡ʒ pʰ eː k n̪ aː		
પશ્ચિમ	2871.423998844654	20678		p oː ɕ p s i pʰ a		
દેશના	2806.0191868001702	20207		p eː s oː n̪ aː		
મુખ્યત્વે	2763.6657522490714	19902		p ʌ h ʊ kʰ pʰ j eː pʰ m ʊ h eː		
જેવી	2744.5025589111974	19764		m oː d͡ʒ eː uː h iː		
અન્ય	2733.6711887637034	19686		p oː n ə f ʔ ə		ə n j ə
પ્રાથમિક	2713.9525405464706	19544		p o pʰ ɾ ɑː pʰ ʌ p i kʰ a		
હોય	2667.710921839861	19211		oː h oː		
શાળા	2656.1852330931683	19128		ʃ aː m ə l̪ p aː		
તાલુકો	2617.3033915380615	18848		p aː p aː h ʊ p k oː		
એ	2554.814717610211	18398		ɛ ŋ		ɛ
પશુપાલન	2551.20426089438	18372		m oː p s h ʊ p̚ p aː l oː		
ગામના	2542.7335739841596	18311		pʰ oː ɡ aː h oː n̪ aː		
ખેતમજૂરી	2479.550581457111	17856		pʰ e p̚ pʰ oː d͡ʒ uː p ɾ ɪ h iː		
કરે	2461.7760253176334	17728		p eː k͡p ə ɾ h eː		
આંગણવાડી	2446.5010161352698	17618		e uː ɡ̃ː ɳː ɽ iː		
વ્યવસાય	2412.3405410547116	17372		p uː f j eː p oː s aː p ɯ		
પંચાયતઘર	2404.8419001833695	17318		o p oː t͡ʃ oː m ə j p ə ɡʱ eː ɡʱ eː ɾ		
પ્રાપ્ય	2366.515513507621	17042		m oː pʰ ɾ ɑː pʰ ʔ ə		
દૂધની	2362.4884656322706	17013		s uː h oː n̪ ə pʰ iː		
સવલતો	2342.9086811348775	16872		s oː s̪ oː p ə f oː		
લોકોનો	2324.4398063962017	16739		p aː h oː kʰ oː n eː h oː		
તાલુકામાં	2284.308191362538	16450		p ɑː p aː h ʊ p k ɑː pʰ aː u		
જિલ્લામાં	2255.841128795406	16245		p oː d͡ʒ i p aː f pʰ aː p ɑː k aː u		
થયેલી	2179.188355443909	15693		m ʌ j pʰ e pʰ aː h iː		
થાય	2104.479674170168	15155		m ɑː p ə		
પાકની	2052.683506669972	14782		o p aː k oː n ə pʰ iː		
શાકભાજીના	2043.5185011605536	14716		p oː k aː k oː p ɑː d͡ʒ h iː n eː k ɑː		
કુલ	1980.1966449136648	14260		p ə kʰ ʊ pʰ aː		
તેઓ	1950.479808867976	14046		p ə pʰ i oː		
એવા	1925.345475576996	13865		eː m aː		
રીતે	1919.0966081842112	13820		p ɾ iː p ə pʰ iː		
માં	1747.183323022702	12582		m aː u		m ɑ̃
તેમણે	1746.4890044235037	12577		p ɐ pʰ iː m e ɳ h eː		
બાજરી	1724.1319455293174	12416		p aː p d͡ʒ u ɾ ɪ ʃ iː		
અથવા	1665.5314557569775	11994		oː t̪ʰ eː uː k ɐ		ə t̪ʰ ə ʋ ɑ
