Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
के	46587.9500415501	2213567	k e	k eː		k eː
में	34128.98134442166	1621595	m e n	mː		m ẽː
की	20254.56897463983	962370	k iː	k iː		k iː
से	15894.77600198208	755220	s e	s̪ eː		s eː
को	12987.152932908395	617068	k o	k oː		
है	12213.629055891304	580315	ɦ æː	ɦ ɛː		ɦ ɛː
एक	10924.654106253596	519071	e k	eː k		eː k
पर	7811.658795677645	371161	p ə r	p ə ɾ		p ə ɾ
लिए	6221.823404117935	295622	l i e	l̪ ɪ eː		l ɪ eː
ने	6168.344118848693	293081	n e	n̪ eː		n eː
किया	5127.823699948251	243642	k i j aː	k i jː		k ɪ j ɑː
भी	5024.2746706193775	238722	b̤ iː	bʱ iː		bʱ iː
श्रेणी	4993.062635965979	237239	ʃ r e ɳ iː	ʃ ɾ eː ɳ iː		ʃ ɾ eː ɳ iː
यह	4707.902920848722	223690	j ə ɦ	j ɛ ɦ		j ə ɦ
रूप	4229.1359860574175	200942	r uː p	ɾ uː p		ɾ uː p
हैं	4067.266964803685	193251	ɦ æː n	ɦ ɛ̃ː		ɦ ɛ̃ː
कि	3917.8995946518526	186154	k i	k iː		
इस	3741.3611275765293	177766	i s	ɪ s̪		ɪ s
जो	3514.8581491949567	167004	d͡ʒ o	d͡ʒ oː		d͡ʒ oː
जाता	3246.1568367068007	154237	d͡ʒ aː t aː	d͡ʒː t̪ː		d͡ʒ ɑː t̪ ɑː
करने	3193.9824375795088	151758	k ə r n e	k ə ɾ n̪ eː		k ə ɾ n eː
द्वारा	3040.6583159004754	144473	d v aː r aː	d̪ wː ɾː		d̪ ʋ ɑː ɾ ɑː
कर	2906.97062600271	138121	k ə r	k ə ɾ		k ə ɾ
साथ	2883.398489244918	137001	s aː tʰ	s̪ː t̪ʰ		s ɑː t̪ʰ
ही	2700.5671035172913	128314	ɦ iː	ɦ iː		ɦ iː
हो	2690.5910384965828	127840	ɦ o	ɦ oː		ɦ oː
नहीं	2603.9213428103426	123722	n ə ɦ iː n	n̪ ə ɦː		n ə ɦ ĩː
या	2548.0637973146454	121068	j aː	jː		j ɑː
बाद	2347.4901693666443	111538	b aː d	bː d̪		b ɑː d̪
अपने	2216.3070189993946	105305	a p n e	ə p n̪ eː		ə p n eː
था	2214.5812018439137	105223	tʰ aː	t̪ʰː		t̪ʰ ɑː
तक	2135.5934971546326	101470	t ə k	t̪ ə k		t̪ ə k
तथा	2036.6957555252877	96771	t ə tʰ aː	t̪ ə t̪ʰː		t̪ ə t̪ʰ ɑː
वह	2031.370978204108	96518	v ə ɦ	ʋ ɛ ɦ		ʋ ə ɦ
भारतीय	1797.9015915485809	85425	b̤ aː r t iː j	bʱː ɾ t̪ iː j		
राज्य	1773.5296858650777	84267	r aː d͡ʒ j ə	ɾː d͡ʒ j		
होता	1764.2902501180502	83828	ɦ o t aː	ɦ oː t̪ː		ɦ oː t̪ ɑː
दिया	1624.2254553652751	77173	d i j aː	d̪ i jː		d̪ ɪ j ɑː
उन्होंने	1574.1136182042899	74792	u n ɦ o n n e	ʊ̃ n̪ ɦː n̪ n̪ eː		ʊ n ɦ õː n eː
कुछ	1514.3203677320682	71951	k u t͡ʃʰ	k ʊ t͡ʃʰ		k ʊ t͡ʃʰ
एवं	1506.8698887925518	71597	e v ə n	eː ʋ ə̃ m		eː ʋ ə m
नाम	1494.0314928798257	70987	n aː m	ñ̪ː m		n ɑː m
करते	1447.097684871007	68757	k ə r t e	k ə ɾ t̪ eː		k ə ɾ t̪ eː
वे	1363.0798545700186	64765	v e	ʋ eː		ʋ eː
क्षेत्र	1354.534954995319	64359	k ʂ e t r ə	k ʃ eː t̪ ɾ		
प्रदेश	1343.9064469036357	63854	p r ə d e ʃ	p ɾ ə d̪ eː ʃ		p ɾ ə d̪ eː ʃ
जिले	1336.8348058762979	63518	d͡ʒ i l e	d͡ʒ ɪ l̪ eː		d͡ʒ ɪ l eː
उनके	1309.979407212956	62242	u n k e	ʊ̃ n̪ k eː		ʊ n k eː
समय	1296.4885682292552	61601	s ə m ə j	s̪ ə m ə j		s ə m ɛː
तो	1286.9544807727552	61148	t o	t̪ oː		t̪ oː
इसके	1272.9164314714628	60481	i s k e	ɪ s̪ k eː		
करता	1256.058144379506	59680	k ə r t aː	k ə ɾ t̪ː		k ə ɾ t̪ ɑː
कई	1254.4586065280844	59604	k ə i	k ə iː		
अन्य	1249.891505031262	59387	a n j ə	ə̃ n̪ j		ə n j ə
हुआ	1245.050798375644	59157	ɦ u aː	ɦ ʊː		ɦ ʊ ɑː
वाले	1228.739721601279	58382	v aː l e	ʋː l̪ eː		
अधिक	1214.0492292290119	57684	a d̤ i k	ə d̪ʱ ɪ k		ə d̪ʱ ɪ k
सबसे	1200.7899023027537	57054	s ə b s e	s̪ ə b s̪ eː		s ə b s eː
अपनी	1168.7360056222913	55531	a p n iː	ə p n̪ iː		ə p n iː
होने	1166.3577453958355	55418	ɦ o n e	ɦ oː n̪ eː		ɦ oː n eː
पहले	1165.1370454565927	55360	p ə ɦ l e	p ɛ ɦ l̪ eː		p ə ɦ l eː
जा	1157.2445889528676	54985	d͡ʒ aː	d͡ʒː		d͡ʒ ɑː
लोग	1135.2930365971736	53942	l o ɡ	l̪ oː ɡ		l oː ɡ
कारण	1114.6042772820754	52959	k aː r ə ɳ	kː ɾ ə̃ ɳ		k ɑː ɾ ə ɳ
उन्हें	1107.7220552108272	52632	u n ɦ e n	ʊ̃ n̪ ɦː		ʊ n ɦ ẽː
थे	1100.5451814301064	52291	tʰ e	t̪ʰ eː		t̪ʰ eː
होती	1099.5349469976295	52243	ɦ o t iː	ɦ oː t̪ iː		ɦ oː t̪ iː
किसी	1071.0800104828659	50891	k i s iː	k ɪ s̪ iː		k ɪ s iː
सकता	1062.4298781547832	50480	s ə k t aː	s̪ ə k t̪ː		s ə k t̪ ɑː
दो	1058.0942887154035	50274	d o	d̪ oː		d̪ oː
स्थित	1049.7598546474699	49878	s tʰ i t	s̪ t̪ʰ ɪ t̪		s t̪ʰ ɪ t̪
the	1034.1433140454324	49136	t h e	tʰ ɛ		
लेकिन	1034.1222674947558	49135	l e k i n	l̪ eː k ɪ̃ n̪		l eː k ɪ n
शामिल	1030.586446981087	48967	ʃ aː m i l	ʃː m ɪ l̪		ʃ ɑː m ɪ l
जब	1028.1450471026014	48851	d͡ʒ ə b	z ə d͡ʒ b		d͡ʒ ə b
of	1017.7059579670076	48355	o f	ɔ f		
कहा	989.0195093948014	46992	k ə ɦ aː	k ə ɦː		k ə ɦ ɑː
जाती	938.6761601763735	44600	d͡ʒ aː t iː	d͡ʒː t̪ iː		d͡ʒ ɑː t̪ iː
वर्ष	937.5606929905136	44547	v ə r ʂ ə	ʋ ə ɾ ʃ		ʋ ə ɾ ʂ
प्रकार	931.8149846558017	44274	p r ə k aː r	p ɾ ə kː ɾ		p ɾ ə k ɑː ɾ
फिल्म	931.2677743382102	44248	pʰ i l m ə	pʰ ɪ l̪ m		pʰ ɪ l m
जैसे	903.9914446613361	42952	d͡ʒ æː s e	d͡ʒ ɛː s̪ eː		d͡ʒ ɛː s eː
बहुत	895.678057144079	42557	b ə ɦ u t	b ɛ ɦ ɔ t̪		b ə ɦ ʊ t̪
होते	865.7077689806002	41133	ɦ o t e	ɦ oː t̪ eː		ɦ oː t̪ eː
थी	862.0456691628717	40959	tʰ iː	t̪ʰ iː		t̪ʰ iː
गए	861.9825295108419	40956	ɡ ə e	ɡ eː		ɡ ə eː
उनकी	856.8892642471047	40714	u n k iː	ʊ̃ n̪ k iː		ʊ n k iː
प्राप्त	853.9217006017041	40573	p r aː p t ə	p ɾː p t̪		p ɾ ɑː p t̪
तहसील	852.7430937638144	40517	t ə ɦ s iː l	t̪ ɛ ɦ s̪ iː l̪		t̪ ə ɦ s iː l
भाषा	849.1020404967626	40344	b̤ aː ʂ aː	bʱː ʃː		bʱ ɑː ʂ ɑː
कम	846.8921526757196	40239	k ə m	k ə̃ m		k ə m
आधिकारिक	846.0502906486555	40199	aː d̤ i k aː r i k	d̪ʱ ɪ kː ɾ ɪ k		ɑː d̪ʱ ɪ k ɑː ɾ ɪ k
जिसमें	834.3484084724657	39643	d͡ʒ i s m e n	d͡ʒ ɪ s̪ mː		d͡ʒ ɪ s m ẽː
गई	833.2960809386358	39593	ɡ ə i	ɡ ə iː		ɡ ə iː
सभी	833.0645688811932	39582	s ə b̤ iː	s̪ ə bʱ iː		s ə bʱ iː
बीच	825.1089727254382	39204	b iː t͡ʃ	b iː t͡ʃ		b iː t͡ʃ
उसके	815.6590714716447	38755	u s k e	ʊ s̪ k eː		
जाने	805.8513788563489	38289	d͡ʒ aː n e	d͡ʒː n̪ eː		d͡ʒ ɑː n eː
इन	804.9884702786084	38248	i n	ɪ̃ n̪		ɪ n
द	803.0732341670378	38157	d ə	d̪ ə		d̪ ə
सिंह	790.9925140786692	37583	s i n ɦ ə	s̪ ɪ̃ ɦ		s ɪ ŋ ɡʱ
करना	773.3975977130312	36747	k ə r n aː	k ə ɾ n̪ː		k ə ɾ n ɑː
तरह	763.147927533527	36260	t ə r ə ɦ	t̪ ə ɾ ə ɦ		t̪ ə ɾ ɦ ə
ये	760.1382707867731	36117	j e	j eː		j eː
राष्ट्रीय	759.4647811651218	36085	r aː ʂ ʈ r iː j	ɾː ʃ ʈ ɾ iː j		
कोई	749.1098782322346	35593	k o iː	k oː iː		k oː iː
उपयोग	748.5837144653195	35568	u p j o ɡ	ʊ p j oː ɡ		ʊ p j oː ɡ
उसे	747.2788283233704	35506	u s e	ʊ s̪ eː		ʊ s eː
उस	743.5325423029354	35328	u s	ʊ s̪		ʊ s
इसका	737.344856404015	35034	i s k aː	ɪ s̪ kː		ɪ s k ɑː
लोगों	729.494493001643	34661	l o ɡ o n	l̪ oː ɡː		l oː ɡ õː
हुई	727.6634430927788	34574	ɦ u iː	ɦ ʊ iː		ɦ ʊ iː
काम	715.7090023084698	34006	k aː m	k̃ː m		k ɑː m
मुख्य	714.1094644570483	33930	m u kʰ j ə	m ʊ kʰ j		m ʊ kʰ j ə
अनुसार	711.9416697373584	33827	a n u s aː r	ə n̪ ʊ s̪ː ɾ		
चित्र	708.2585233689533	33652	t͡ʃ i t r ə	t͡ʃ ɪ t̪ ɾ		
प्रमुख	688.3274398782129	32705	p r ə m u kʰ	p ɾ ə m ʊ kʰ		p ɾ ə m ʊ kʰ
व	682.2660332833519	32417	v ə	ʋ ə		
