Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
benedikt	53.53026460291532	95			b e n e d i k t	
xvi	16.34081761562678	29			@ v i	
'benedikt	3.3808588170262306	6			@ b e n e d i k t	
łaćonsce	271.0321818316028	481			w a tʃ o n s ts e	
benedictus	2.2539058780174868	4			b e n e d i ts t u s	
pp	9.57909998157432	17			p p	
z	9127.755329501319	16199			z	
byrgarskim	21.412105841166127	38			b ɨ ʀ ɡ a ʀ s k i m	
mjenom	250.74702892944543	445			mʲ e n o m	
'josef	2.2539058780174868	4			@ j o s e f	
alois	16.904294085131152	30			a l o i s	
ratzinger	1.6904294085131153	3			ʀ a t z i n ɡ e ʀ	
apryla	657.5770399116018	1167			a p ʀ ɨ l a	
w	26061.9136675162	46252			w	
am	86.21189983416888	153			a m	
inn	3.3808588170262306	6			i n n	
decembra	628.2762634973744	1115			d e ts e m b ʀ a	
we	2726.0991594621505	4838			w e	
vatikanskim	2.8173823475218587	5			v a t i k a n s k i m	
měsće	194.39938197900824	345			m ɪ s tʃ e	
běše	627.7127870278701	1114			b ɪ ʃ e	b ɪ ʃ ɛ
wot	9690.668322536185	17198			w o t	
do	7471.6979856279695	13260			d o	
februara	509.94620490145644	905			f e b ʀ u a ʀ a	
bamž	148.19431147964977	263			b a m ʒ	
tym	556.7147518703192	988			t ɨ m	
nawoda	104.80662332781314	186			n a w o d a	
romsko-katolskeje	50.14940578588909	89			ʀ o m s k o k a t o l s k e j e	
cyrkwje	202.28805255206944	359			ts ɨ ʀ k wʲ e	
vatikana	1.1269529390087434	2			v a t i k a n a	
wón	947.2039452368489	1681			w ʊ n	
bě	2752.582553528856	4885			b ɪ	b ɪ
hakle	266.52437007556784	473			h a k l e	
třeći	46.76854696886286	83			t ʃ e tʃ i	t ʃ ɛ t͡ʃ i
cyrkwinskich	10.706052920583064	19			ts ɨ ʀ k w i n s k i x	
stawiznach	45.07811756034974	80			s t a w i z n a x	
kiž	436.1307873963837	774			k i ʒ	
wotstupi	14.650388207113664	26			w o t s t u p i	
wuzwoli	40.00682933481039	71			w u z w o l i	
so	9219.60199403053	16362			s o	
wobdźělenych	1.1269529390087434	2			w o b dʒ ɪ l e n ɨ x	
kardinalow	1.1269529390087434	2			k a ʀ d i n a l o w	
štwórtym	4.5078117560349735	8			ʃ t w ʊ ʀ t ɨ m	
