Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
og	33751.45409105288	428482		ɔː ɣ		ɔː ɣ
í	32566.913394778003	413444		iː		iː
á	19399.276073758807	246278		a uː		a uː
að	19165.329680093666	243308		aː ð		
sem	16018.632530553241	203360		s ɛː m		s ɛː m
er	15154.52750075304	192390		ɛː r		ɛː r
var	11938.906750385342	151567		v aː r		v aː r
til	10024.721123295578	127266		tʰ ɪː l		tʰ ɪː l
af	6877.630124607569	87313		aː v		aː v
við	6822.018624968649	86607		v ɪː ð		v ɪ ð
um	6730.960702047133	85451		ʏ m		
hann	6614.30258453263	83970		h a nː		h a nː
flokkur	6195.247091502815	78650		f l ɔ h k ʏ r		f l ɔ h k ʏ r
með	5958.6225236341	75646		m ɛː ð		
fyrir	5326.17956244305	67617		f ɪː r ɪ r		f ɪː r ɪ r
árið	5102.315706956069	64775		a uː r ɪ ð		
frá	4717.2100104480305	59886		f r a uː		f r a uː
eru	4562.348525617839	57920		ɛː r ʏ		
þar	3964.643059243734	50332		θ aː r		θ aː r
eftir	3602.380613295591	45733		ɛ f t ɪ r		ɛ h t ɪ r
það	3516.7578086107396	44646		θ aː ð		
því	3096.520768138171	39311		θ v iː		
ekki	2892.034290712344	36715		ɛ h c ɪ		ɪ cː ɪ
fyrsta	2881.4791335570817	36581		f ɪ r̥ s t a		
eða	2740.5599085513786	34792		ɛː ð a		ɛː ð a
voru	2714.5658648108074	34462		v ɔː r ʏ		
hún	2575.300806224959	32694		h uː n		h uː n
text	2400.904403674581	30480		tʰ ɛ x s t		
fontsize	2371.208177946716	30103		f ɔ n̥ t͡s ɪː s ɛː		
textcolor	2368.2936942545916	30066		tʰ ɛ x s t k ɔː l ɔ r		
pos	2367.348456300389	30054		pʰ ɔː s		
hefur	2344.8990548880774	29769		h ɛː v ʏ r		
the	2224.8538347043486	28245		tʰ ɛː		
verið	2089.9998865714456	26533		v ɛː r ɪː ð		
þegar	2062.036597092952	26178		θ ɛː ɣ a r		θ ɛː ɣ a r
þá	2061.09135913875	26166		θ a uː		θ a uː
úr	2056.5227090267704	26108		uː r		uː r
hans	1922.1413798709686	24402		h a n s		
út	1896.1473361303974	24072		uː t		uː t
hafa	1880.472140056538	23873		h aː v a		h aː v a
