Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
transfermarkt	3.6810573590174065	4003		t ɾ a n s f ɛ ɾ m a ɾ k t		
十両優勝	1.251541110572743	1361		d͡ʑ ɯ ɯ ɾ j o ɯ j ɯ ɯ ɕ o ɯ		
muscle	1.260736857160346	1371		m u s k l e		
tur	1.1163636357349818	1214		t u ɾ i		
wgl	1.336141979178689	1453		w ɯ ɡ ɯ lˠ		
ディフェンシブ	1.218436422857373	1325		d e i ɸ ɯ e ɴ ɕ i b ɯ		
ペイサーズ	1.53568968012967	1670		p e i s aː z ɯ		
日産ディーゼル	2.075480004821955	2257		n i sː a ɴ d e iː z e ɾ ɯ		
mastering	1.4759173273102517	1605		m a s t e r i ŋ		
trombone	2.3835375155066494	2592		t ɾ o m b o n e		
アクシズ	1.2432649386439005	1352		a k ɯ ɕ i z ɯ		
フルーネ	1.8998412449987414	2066		ɸ ɯ ɾ ɯː n e		
室生	1.0207278712239125	1110		ɕ i t͡s ɯ s e i		
入り前	4.63925415344562	5045		i ɾ i m a e		
リザーブチーム	1.283726223629353	1396		ɾ i z aː b ɯ t͡ɕ iː m ɯ		
スーペルコパ	1.091535119948454	1187		s ɯː p e ɾ ɯ k o p a		
ヨーロッパ予選	1.6018990555604102	1742		j oː ɾ o pː a j o s e ɴ		
スーペル	1.104409165171098	1201		s ɯː p e ɾ ɯ		
ナショナルズ	3.4649573142087404	3768		n a ɕ o n a ɾ ɯ z ɯ		
nym	1.3389007031549698	1456		n i m		
chc	2.180311515920627	2371		t͡ʃ o		
火車	1.1614227940142354	1263		k a ɕ a		
パッカーズ	1.623968847370657	1766		p a kː aː z ɯ		
ベンガルズ	1.0363606404228372	1127		b e ɴ ɡ a ɾ ɯ z ɯ		
アニメイトtv	1.2037232283172083	1309		a n i m e i t o t v e		
actors	1.369246666894059	1489		a k t o r s		
jfnc	1.1669402419667971	1269		i ɾ ɯ ɸ ɯ n e k i		
lantis	2.346754529156238	2552		l ɑ̃ t͡s i		
終業式	2.2262902488586414	2421		ɕ ɯ ɯ ɡ j o ɯ ɕ i k i		
リリースツアー	1.2717717530654693	1383		ɾ i ɾ iː s ɯ t͡s ɯ aː		
出場校	1.3729249655291003	1493		ɕ ɯ t͡s ɯ d͡ʑ o ɯ k o ɯ		
ジュニアグランプリ	1.3793619881404222	1500		d͡ʑ ɯ n i a ɡ ɯ ɾ a ɴ p ɯ ɾ i		
チバテレ	1.5825879877264444	1721		t͡ɕ i b a t e ɾ e		
シャンツェ	1.8796106025060153	2044		ɕ a ɴ t͡s ɯ e		
スハフ	1.0317627671290357	1122		s ɯ h a ɸ ɯ		
オハフ	2.2097379050009565	2403		o h a ɸ ɯ		
げきじょう	1.0998112918772966	1196		ɡ e k i d͡ʑ o ɯ		ɡ e̞ kʲ i ʑ o̞ː
ドスケベ	1.0621087308681252	1155		d o s ɯ k e b e		
ドアミラー	1.2487823865964622	1358		d o a m i ɾ aː		
新人公演	6.8416354611764945	7440		ɕ i ɴ d͡ʑ i ɴ k o ɯ e ɴ		
グリズリーズ	1.3434985764487712	1461		ɡ ɯ ɾ i z ɯ ɾ iː z ɯ		
フランカー	1.195447056388366	1300		ɸ ɯ ɾ a ɴ k aː		
jcn	1.4391343409598405	1565		d͡ʑ i k ɯ n e		
ウィングスパイカー	1.846505914790645	2008		ɯ i ɴ ɡ ɯ s ɯ p a i k aː		
ばいきんまん	2.7182626912953918	2956		b a i k i ɴ m a ɴ		
cinii	2.175713642626826	2366		s i n i j i		
mch	1.1972862057058864	1302		m a t͡ʃ i		
学芸学部	1.0473955363279606	1139		ɡ a k ɯ ɡ e i ɡ a k ɯ b ɯ		
別当寺	1.016129997930111	1105		b e tː o ɯ d͡ʑ i		
djcd	1.5504028746698346	1686		d͡ʑ i t͡s ɯ d e		
アッシュル	1.4087883772207512	1532		a ɕː ɯ ɾ ɯ		
フォールド	1.0869372466546527	1182		ɸ oː ɾ ɯ d o		
中書	1.47039987935769	1599		n a k a ɡ a k i		
stadt	1.538448404105951	1673		s t a t		
パイズリ	1.5035045670730602	1635		p a i z ɯ ɾ i		
プレイオフ	2.8267725010291054	3074		p ɯ ɾ e i o ɸ ɯ		
ももいろ	1.085098097337132	1180		m o m o i ɾ o		m o̞ m o̞ i ɾ o̞
ライトフライ級	2.5076800944392876	2727		ɾ a i t o ɸ ɯ ɾ a i k j ɯ ɯ		
fivb	1.9881204122397285	2162		f i v b e		
concacaf	1.1779751378719205	1281		k̯ k a k a f		
正八位	1.01337127395383	1102		s e i h a t͡ɕ i i		
エマニエル	1.055671708256803	1148		e m a n i e ɾ ɯ		
サントリーサンゴリアス	1.2101602509285303	1316		s a ɴ t o ɾ iː s a ɴ ɡ o ɾ i a s ɯ		
lightgrey	2.467218809453835	2683		l a j t ɡ ɾ e i		
darkgrey	2.437792420373506	2651		d a ɾ k ɡ ɾ e i		
sfondo	2.427677099127143	2640		s f o n d o		
クォーターバック	1.0575108575743237	1150		k ɯ oː t aː b a kː ɯ		
ブレイザーズ	1.8023663311701517	1960		b ɯ ɾ e i z aː z ɯ		
奈良県出	1.0271648938352345	1117		n a ɾ a k e ɴ ɕ ɯ t͡s ɯ		
リエッセ	1.1834925858244822	1287		ɾ i e sː e		
バスケ部	1.8897259237523785	2055		b a s ɯ k e b ɯ		
球技大会	1.1752164138956398	1278		k j ɯ ɯ ɡ i d a i k a i		
けんど	7.565340717620836	8227		k e ɴ d o		k ẽ̞ n d o̞
デスラー	1.2285517441037361	1336		d e s ɯ ɾ aː		
艦種	2.6373401213244874	2868		k a ɴ ɕ ɯ		
ふつおた	1.1586640700379547	1260		ɸ ɯ t͡s ɯ o t a		
天川	1.0832589480196115	1178		t e ɴ ɡ a ɰ a		
laca	1.7076501413178427	1857		l a k a		
サーヴァント	1.2561389838665444	1366		s aː v a ɴ t o		
roa	1.430858169030998	1556		ʐ o ɯ		
徳兵衛	1.0979721425597762	1194		t o k ɯ h e i e i		
ニミッツ	1.0050951020249876	1093		n i m i t͡sː ɯ		
vizl	1.5706335171625607	1708		v i z l		
オールミュージック	1.617531824759335	1759		oː ɾ ɯ m j ɯː d͡ʑ i kː ɯ		
あんさんぶるスターズ	1.6819020508725548	1829		a ɴ s a ɴ b ɯ ɾ ɯ s ɯ t aː z ɯ		
smackdown	1.1411921515215093	1241		s m a k d a w n		
wtb	1.453847535500005	1581		d o b e		
ijf	1.725122059834288	1876		ɯ i f		
技あり	2.4129639045869786	2624		ɰ a z a a ɾ i		
アタッカーズ	3.666344164477242	3987		a t a kː aː z ɯ		
ジムリーダー	1.342579001790011	1460		d͡ʑ i m ɯ ɾ iː d aː		
土木科	1.1016504411948171	1198		d o b o k ɯ k a		
郎中	1.016129997930111	1105		ɾ o ɯ t͡ɕ ɯ ɯ		
クリリン	1.0069342513425081	1095		k ɯ ɾ i ɾ i ɴ		
glad	1.1025700158535774	1199		ɡ l a d		
カンピオナート	3.705885874803934	4030		k a ɴ p i o n aː t o		
rsm	1.466721580722649	1595		ɾ ɯ s ɯ m e		
オハニ	1.2395866400088593	1348		o h a n i		
swe	2.9398801840566198	3197		s w e		
kicm	2.234566420787484	2430		k i k m		
エッグマン	1.1246398076638242	1223		e ɡː ɯ m a ɴ		
せんもん	1.3149917620272025	1430		s e ɴ m o ɴ		s ẽ̞ mː õ̞ ɴ
世界の艦船	2.9481563559854624	3206		s e k a i n o k a ɴ s e ɴ		
空佐	1.153146622085393	1254		k ɯ ɯ s a		
フェラチオ	2.5076800944392876	2727		ɸ ɯ e ɾ a t͡ɕ i o		
moodyz	8.506065593532604	9250		m o ɯ d ɨ z		
ダスッ	1.3186700606622437	1434		d a s ɯ		
oppai	1.1632619433317561	1265		ɔ p a i		
新十両	1.2818870743118322	1394		ɕ i ɴ d͡ʑ ɯ ɯ ɾ j o ɯ		
アリスjapan	2.6860775782387822	2921		a ɾ i s ɯ d͡ʑ a p a n i		
koda	1.689258648142637	1837		k o d a		
師管	2.765160998892166	3007		ɕ i k a ɴ		
別科	1.8088033537814736	1967		b e kː a		
クルーザー級	2.019385950637578	2196		k ɯ ɾ ɯː z aː k j ɯ ɯ		
スーパーミドル級	1.6773041775787534	1824		s ɯː p aː m i d o ɾ ɯ k j ɯ ɯ		
サイバトロン	2.039616593130304	2218		s a i b a t o ɾ o ɴ		
ベレーザ	1.365568368259018	1485		b e ɾ eː z a		
ゴッドタン	1.0639478801856457	1157		ɡ o dː o t a ɴ		
試製	1.3499355990600932	1468		ɕ i s e i		
区間賞	3.3316189886884997	3623		k ɯ k a ɴ ɕ o ɯ		
mgc	1.01337127395383	1102		m e ɡ e		
ケロロ	1.6929369467776783	1841		k e ɾ o ɾ o		
seb	1.9982357334860916	2173		s e b i		
出演メンバー	1.1982057803646466	1303		ɕ ɯ t͡s ɯ e ɴ m e ɴ b aː		
サマーリーグ	1.2800479249943117	1392		s a m aː ɾ iː ɡ ɯ		
tna	2.1867485385319494	2378		t n a		
ワンマッチ	3.459439866256179	3762		ɰ a ɴ m a t͡ɕː i		
ビームライフル	1.0078538260012684	1096		b iː m ɯ ɾ a i ɸ ɯ ɾ ɯ		
ビッグモーカル	1.473158603333971	1602		b i ɡː ɯ m oː k a ɾ ɯ		
ジャネス	1.6405211912283422	1784		d͡ʑ a n e s ɯ		
デリヘル	1.3389007031549698	1456		d e ɾ i h e ɾ ɯ		
手コキ	2.5463022301072193	2769		t e k o k i		
