Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
'ашз-м	10.153830532568412	2	' aː ʃ z - m		@ aː ʃ z m	
и	35340.40716860435	6961	j ə		j ə	
доллар	101.53830532568412	20	d a w l l aː r		d a w ɮ ɮ aː r	
официал	340.15332284104176	67	a w f j ə t͡s j ə aː l		a w f j ə ts j ə aː ɮ	
ашз-м	233.53810224907346	46	aː ʃ z - m		aː ʃ z m	
сомыр	10.153830532568412	2	s a w m ə r		s a w m ə r	
валутэр	10.153830532568412	2	v aː l w t a r		v aː ɮ w t a r	
зэрыкӏуэр	15.230745798852617	3	z a r ə kʷʼ a r		z a r ə kʷʼ a r	
аверс	15.230745798852617	3	aː v j a r s		aː v a r s	
реверс	15.230745798852617	3	r j a v j a r s		r a v a r s	
номинал	20.307661065136823	4	n a w m j ə n aː l		n a w m j ə n aː ɮ	
http	157.38437325481038	31	h t t p		@ @ @ @	
абазэ-адыгэбзэхэр	35.53840686398944	7	aː b aː z a - aː d ə ɣ a b z a x a r		aː b aː z a aː d ə ɣ a b z a x a r	
адыгэбзэ	147.23054272224198	29	aː d ə ɣ a b z a		aː d ə ɣ a b z a	aː d ə ɣ a b z a
абазэхэр	71.07681372797887	14	aː b aː z a x a r		aː b aː z a x a r	
убыхыбзэ	20.307661065136823	4	w b ə x ə b z a		w b ə x ə b z a	
классификациэр	30.461491597705233	6	k l aː s s j ə f j ə k aː t͡s j ə a r		k ɮ aː s s j ə f j ə k aː ts j ə a r	
бзэхэр	172.615119053663	34	b z a x a r		b z a x a r	
къэукъаз	45.69223739655785	9	q a w q aː z		q a w q aː z	
бзэхэм	142.15362745595775	28	b z a x a m		b z a x a m	
изы	25.38457633142103	5	j ə z ə		j ə z ə	j ə z ə
унагъуэ	197.999695385084	39	w n aː ʁʷ a		w n aː ʁʷ a	w n aː ʁʷ a
ишъхъэрэкъаукъаз	10.153830532568412	2	j ə ʃˠ χ a r a q aː w q aː z		j ə ʃ χ a r a q aː w q aː z	
азэгъуэхэм	15.230745798852617	3	aː z a ʁʷ a x a m		aː z a ʁʷ a x a m	
я	17144.742854241762	3377	j aː		j aː	
гугъэкӏэ	10.153830532568412	2	ɡʷ ʁ a kʲʼ a		ɡʷ ʁ a tʃʼ a	
хагъыхьа	10.153830532568412	2	x aː ʁ ə ħ aː		x aː ʁ ə ħ aː	
бзэ	411.23013656902066	81	b z a		b z a	b z a
хиубыдэхэр	55.846067929126264	11	x j ə w b ə d a x a r		x j ə w b ə d a x a r	
абазэбзэхэр	10.153830532568412	2	aː b aː z a b z a x a r		aː b aː z a b z a x a r	
абазэбзэ	45.69223739655785	9	aː b aː z a b z a		aː b aː z a b z a	
убыхыбзэр	25.38457633142103	5	w b ə x ə b z a r		w b ə x ə b z a r	
