Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
'ussuk	78.33614037836355	2			@ u s ː u k	
erignathus	117.50421056754534	3			i ʁ i ɣ n a t @ u s	
barbatus	117.50421056754534	3			@ a ʁ @ a t u s	
'kunngeqarfik	548.3529826485449	14			@ k u ŋ ː i q a ʁ v i k	
animalia	548.3529826485449	14			a n i m a l i a	
'siuleriit	548.3529826485449	14			@ s i u l i ʁ i ː t	
chordata	548.3529826485449	14			@ @ u ʁ @ a t a	
'inuiaqatigiinni	548.3529826485449	14			@ i n u i a q a t i ɣ i ː n ː i	
inissisimanerit	548.3529826485449	14			i n i s ː i s i m a n i ʁ i t	
mammalia	391.68070189181776	10			m a m ː a l i a	
miluumasut	78.33614037836355	2			m i l u ː m a s u t	
'tullerit	548.3529826485449	14			@ t u l ː i ʁ i t	
pinnipedia	78.33614037836355	2			p i n ː i p @ @ i a	
'ilatutariit	509.18491245936315	13			@ i l a t u t a ʁ i ː t	
phocidae	78.33614037836355	2			p @ @ @ i @ a @	
puisit	391.68070189181776	10			p u i s i t	
ilaqutariit	587.5210528377266	15			i l a q u t a ʁ i ː t	i l a q u t a r i i t
'kinguaarit	509.18491245936315	13			@ k i ŋ u a ː ʁ i t	
'pissuseqatigiit	470.01684227018137	12			@ p i s ː u s i q a t i ɣ i ː t	
e	235.00842113509069	6			@	
ussuk	78.33614037836355	2			u s ː u k	
latiinerisut	195.84035094590888	5			l a t i ː n i ʁ i s u t	
kalaallit	8577.80737143081	219			k a l a ː l ː i t	
ukiuni	705.025263405272	18			u k i u n i	
pingaarnersaraat	117.50421056754534	3			p i ŋ a ː ɴ i ʁ s a ʁ a ː t	
sulilu	156.6722807567271	4			s u l i l u	
nunaanni	2585.0926324859975	66			n u n a ː n ː i	
assigiinngitsut	665.8571932160902	17			a s ː i ɣ i ː ŋ ː i t s u t	
imaani	78.33614037836355	2			i m a ː n i	
tassami	117.50421056754534	3			t a s ː a m i	t a s s a m i
isumaqartoqarpoq	78.33614037836355	2			i s u m a q a ʁ t u q a ʁ p u q	
