Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
ny	88938.08148861084	817799			n i	
dia	44829.39375649119	412213			d̪ i a	
i	35406.708971577405	325570			i	
taona	29472.819910496295	271007			t̪ a u n a	
amin'ny	24111.62406268522	221710			a m i n n i	
andro	23181.894803238665	213161			a ⁿdʳ u	
ary	14476.109688259572	133110			a r i	
amin	12860.040347357031	118250			a m i n	
kaominina	9649.326003382217	88727			k a u m i n i n a	
tanàna	7549.740896015835	69421			t̪ a n a n a	
indrindra	6971.283774598565	64102			i ⁿdʳ i ⁿdʳ a	
ireo	5802.841715469568	53358			i r e u	
sy	5019.276466398047	46153			s i	
zavatra	4399.92822303062	40458			z a v a tʳ a	
metatra	4373.06623600485	40211			m e t̪ a tʳ a	
faritr	4324.671158164902	39766			f a r i tʳ	
toerana	4232.1223688574955	38915			t̪ u e r a n a	
sokajy	4210.806784011136	38719			s u k a dz i	
izay	4167.088084479318	38317			i z a i	
haavon'ny	3902.4920746262974	35884			h a a v u n n i	
faritr'ora	3804.614389107301	34984			f a r i tʳ u r a	
mponina	3534.471977074871	32500			ᵐp u n i n a	
tsy	3520.6603481183015	32373			ts i	t sʲ
tamin	3514.135169083702	32313			t̪ a m i n	
hoe	3510.655073598582	32281			h u e	
tamin'ny	3278.0324410151	30142			t̪ a m i n n i	
etazonia	3146.441330484005	28932			e t̪ a z u n i a	
ilay	3044.539784560339	27995			i l a i	
masoandro	3029.0968608451194	27853			m a s u a ⁿdʳ u	
kaodim-paositra	3019.6353512449496	27766			k a u d̪ i m p a u s i tʳ a	
araka	3005.60621632056	27637			a r a k a	
izany	2878.3652251458648	26467			i z a n i	
ho	2686.307455560812	24701			h u	
mizaka	2546.668624220377	23417			m i z a k a	
natao	2480.0030450835493	22804			n a t̪ a u	
any	2439.873194020761	22435			a n i	
izy	2424.5390232894515	22294			i z i	
ity	2397.8945422315023	22049			i t̪ i	
frantsa	2392.7831519877327	22002			f r a ⁿts a	
soratra	2357.6559381848037	21679			s u r a tʳ a	s u r a t͡ʂ a
ara-kainkintana	2322.746230349695	21358			a r a k a i ᵑk i ⁿt̪ a n a	
misy	2317.1998281702854	21307			m i s i	
mampiasa	2293.709183645726	21091			m a ᵐp i a s a	
manana	2262.1708183118276	20801			m a n a n a	
tao	2234.873819350418	20550			t̪ a u	
mpikambana	2188.4362952208503	20123			ᵐp i k a ᵐb a n a	
madinidinika	2167.3382163423107	19929			m a d̪ i n i d̪ i n i k a	
biôgrafia	2157.1154358547715	19835			b i @ ɡ r a f i a	
insee	2148.7414560937013	19758			i n s e e	
fanisana	2131.4497316520124	19599			f a n i s a n a	
departemantan	2115.6805489850626	19454			d̪ e p a r t̪ e m a ⁿt̪ a n	
fisiana	2113.287983339043	19432			f i s i a n a	
tranonkala	2106.110286400983	19366			tʳ a n u ᵑk a l a	
ben'ny	2104.370238658423	19350			b e n n i	
ambany	2102.6301909158633	19334			a ᵐb a n i	
ara-daharampehintany	2100.237625269843	19312			a r a d̪ a h a r a ᵐp e h i ⁿt̪ a n i	
ara-daharanjarahasin'ilay	2100.0201193020234	19310			a r a d̪ a h a r a ⁿdz a r a h a s i n i l a i	
mandritry	2096.6487768008133	19279			m a ⁿdʳ i tʳ i	
fivondronan	2095.2349880099837	19266			f i v u ⁿdʳ u n a n	
desimaly	2094.0387051869734	19255			d̪ e s i m a l i	
fivondronan-kaominin	2090.5586097018536	19223			f i v u ⁿdʳ u n a n k a u m i n i n	
isam-ponin	2090.5586097018536	19223			i s a m p u n i n	
avo	2033.137034197376	18695			a v u	
noho	2007.3625770107067	18458			n u h u	
fiteny	2003.229963622127	18420			f i t̪ e n i	
laharam-pehintaniny	1975.715458692898	18167			l a h a r a m p e h i ⁿt̪ a n i n i	
laharan-jarahasiny	1961.5775707845985	18037			l a h a r a n dz a r a h a s i n i	
ivelany	1868.4850165576418	17181			i v e l a n i	
rohy	1840.9705116284129	16928			r u h i	
an	1817.8061260555837	16715			a n	
azy	1699.700385529328	15629			a z i	
ka	1690.2388759291582	15542			k a	
injeniera	1637.9286906684501	15061			i ⁿdz e n i e r a	
faritany	1630.7509937303905	14995			f a r i t̪ a n i	
