Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
pīwari	238.83323861358176	137	p iː w a r i			
tino	345.17504558751233	198	t i n o			
rangatiratanga	22.663008043624547	13	r a ŋ a t i r a t a ŋ a			
ko	29336.392258316453	16828	k o			
ngā	11885.876064725551	6818	ŋ aː			
'māori	3.486616622096084	2	' m aː o r i			
te	120561.97286714945	69157	t e			
tangata	6424.091126212035	3685	t a ŋ a t a			
whenua	17440.056343724613	10004	f e n u a			
o	50923.77907402436	29211	o			
aotearoa	5995.237281694217	3439	a o t e a r o a			
koia	1110.487394137603	637	k o i a			
hoki	793.2052815268592	455	h o k i			
ingoa	1636.9665040741115	939	i ŋ o a			
tō	339.9451206543682	195	t oː			
rātou	547.3988096690853	314	r aː t o u			
reo	10986.32897622476	6302	r e o			
tikanga	254.52301341301416	146	t i k a ŋ a			
kupu	235.34662199148568	135	k u p u			
māori	1143.6102520475156	656	m aː o r i			
he	44569.42028025424	25566	h e			
otirā	24.40631635467259	14	o t i r aː			
i	24376.680113384773	13983	i			
roto	4794.097855382116	2750	r o t o			
kōrero	2376.1292279584814	1363	k oː r e r o			
pakiwaitara	17.43308311048042	10	p a k i w a i t a r a			
tuku	106.34180697393057	61	t u k u			
iho	284.15925470083084	163	i h o			
tana	373.067978564281	214	t a n a			
mahi	582.264975890046	334	m a h i			
hei	848.9911474803965	487	h e i			
whakarerekē	3.486616622096084	2	f a k a r e r e k eː			
tāngata	465.46331904982725	267	t aː ŋ a t a			
atua	122.03158177336294	70	a t u a			
rānei	6211.407512264174	3563	r aː n e i			
hononga	94.13864879659427	54	h o n o ŋ a			
ētahi	707.7831742855051	406	eː t a h i			
atu	2217.4881716531095	1272	a t u			
porinīhia	40.09609115410497	23	p o r i n iː h i a			
tauira	125.51819839545902	72	t a u i r a			
hawai	71.47564075296972	41	h a w a i			
tōna	641.5374584656795	368	t oː n a			
mea	6389.224959991075	3665	m e a			
taketake	67.98902413087364	39	t a k e t a k e			
iwi	2871.2287882961255	1647	i w i			
kuki	76.70556568611386	44	k u k i			
airani	40.09609115410497	23	a i r a n i			
e	26255.966472694563	15061	e			
mōhiotia	48.81263270934518	28	m oː h i o t i a			
ana	5395.53922269369	3095	a n a			
rarotonga	41.83939946515301	24	r a r o t o ŋ a			
māia	8.71654155524021	5	m aː i a			
whakaaro	153.41113137222771	88	f a k a a r o			
nui	12743.583753761188	7310	n u i			
ki	25773.070070534253	14784	k i			
hāpai	22.663008043624547	13	h aː p a i			
to	556.1153512243254	319	t o			
take	132.4914316396512	76	t a k e			
noho	1021.5786702741526	586	n o h o			
rāua	244.0631635467259	140	r aː u a			
pōuri	5.229924933144126	3	p oː u r i			
pipiri	1922.8690670859905	1103	p i p i r i			
rawa	507.30271851498026	291	r a w a			
tētahi	3762.059335241675	2158	t eː t a h i			
nō	1783.4044022021471	1023	n oː			
reira	1298.7646917307914	745	r e i r a			
kīhai	26.14962466572063	15	k iː h a i			
marama	170.8442144827081	98	m a r a m a			
ka	3490.1032387181804	2002	k a			
whakatika	27.892932976768673	16	f a k a t i k a			
tāne-mahuta	5.229924933144126	3	t aː n e - m a h u t a			
whawhai	55.785865953537346	32	f a f a i			
ōna	357.37820376484865	205	oː n a			
mātua	29.636241287816716	17	m aː t u a			
panga	10.459849866288252	6	p a ŋ a			
upoko	61.01579088668147	35	u p o k o			
raro	196.99383914842875	113	r a r o			
waewae	66.2457158198256	38	w a e w a e			
runga	402.7042198520977	231	r u ŋ a			
nā	887.3439303234534	509	n aː			
kātahi	95.88195710764232	55	k aː t a h i			
mawehe	5.229924933144126	3	m a w e h e			
rangi	338.20181234332017	194	r a ŋ i			
papa	118.54496515126687	68	p a p a			
aue	5.229924933144126	3	a u e			
heuea	3.486616622096084	2	h e u e a			
pō	156.8977479943238	90	p oː			
ā	991.9424289863359	569	aː			
kitea	134.23473995069924	77	k i t e a			
tini	34.86616622096084	20	t i n i			
huna	8.71654155524021	5	h u n a			
nei	908.2636300560299	521	n e i			
poho	125.51819839545902	72	p o h o			
kei	9699.767442671306	5564	k e i			
aroha	217.91353888100525	125	a r o h a			
tonu	7410.803630265227	4251	t o n u			
wahine	193.50722252633267	111	w a h i n e			
tāna	74.9622573750658	43	t aː n a			
tāne	123.77489008441098	71	t aː n e			
kohu	3.486616622096084	2	k o h u			
maunga	763.5690402390425	438	m a u ŋ a			
rere	132.4914316396512	76	r e r e			
roimata	10.459849866288252	6	r o i m a t a			
pāpā	15.689774799432378	9	p aː p aː			
anō	6694.303914424481	3840	a n oː			
hau	127.26150670650708	73	h a u			
āna	76.70556568611386	44	aː n a			
tamariki	116.80165684021883	67	t a m a r i k i			
ēnei	896.0604718786936	514	eː n e i			
hauāuru	221.40015550310136	127	h a u aː u r u			
tonga	1563.7475550100937	897	t o ŋ a			
marangai	17.43308311048042	10	m a r a ŋ a i			
uri	364.3514370090408	209	u r i			
tuākana	8.71654155524021	5	t u aː k a n a			
rārangi	2684.6947990139847	1540	r aː r a ŋ i			
'reo	170.8442144827081	98	' r e o			
ture	202.22376408157288	116	t u r e			
whakamana	34.86616622096084	20	f a k a m a n a			
motu	507.30271851498026	291	m o t u			
kaikōrero	50.55594102039322	29	k a i k oː r e r o			
ai	12774.963303360053	7328	a i			
tatauranga	50.55594102039322	29	t a t a u r a ŋ a			
tau	3816.101892884164	2189	t a u			
takiwā	15025.574332923075	8619	t a k i w aː			
kaha	245.80647185777394	141	k a h a			
mau	148.18120643908358	85	m a u			
hapori	47.069324398297134	27	h a p o r i			
tai-tokerau	1745.0516193590902	1001	t a i - t o k e r a u			
urewera	64.50240750877755	37	u r e w e r a			
tai-rāwhiti	148.18120643908358	85	t a i - r aː f i t i			
rāwhiti	1950.7620000627592	1119	r aː f i t i			
arā	275.44271314559063	158	a r aː			
ahu	80.19218230820994	46	a h u			
mai	1722.3886113154656	988	m a i			
moana-nui-a-kiwa	57.529174264585386	33	m o a n a - n u i - a - k i w a			
ōrite	45.326016087249094	26	oː r i t e			
tahiti	92.39534048554623	53	t a h i t i			
moutere	467.2066273608753	268	m o u t e r e			
tuamotu	26.14962466572063	15	t u a m o t u			
whanaunga	47.069324398297134	27	f a n a u ŋ a			
āhua	245.80647185777394	141	aː h u a			
tawhiti	118.54496515126687	68	t a f i t i			
hawaii	90.65203217449819	52	h a w a i i			
nuku	22.663008043624547	13	n u k u			
hiva	13.946466488384337	8	h i v a			
rapa	26.14962466572063	15	r a p a			
ahakoa	163.87098123851595	94	a h a k o a			
kotahi	355.6348954538006	204	k o t a h i			
mano	104.59849866288252	60	m a n o			
wehe	80.19218230820994	46	w e h e			
ērā	890.8305469455495	511	eː r aː			
aua	777.5155067274268	446	a u a			
tata	455.003469183539	261	t a t a			
taenga	48.81263270934518	28	t a e ŋ a			
kāpene	20.919699732576504	12	k aː p e n e			
rangatira	364.3514370090408	209	r a ŋ a t i r a			
tupaea	6.973233244192168	4	t u p a e a			
kaipuke	41.83939946515301	24	k a i p u k e			
tahi	196.99383914842875	113	t a h i			
mārama	34.86616622096084	20	m aː r a m a			
kore	216.17023056995723	124	k o r e			
raruraru	26.14962466572063	15	r a r u r a r u			
kaiwhakamāori	3.486616622096084	2	k a i f a k a m aː o r i			
kia	6659.437748203521	3820	k i a			
mōhio	62.75909919772951	36	m oː h i o			
taua	6042.306606092514	3466	t a u a			
wā	505.5594102039322	290	w aː			
mā	683.3768579308324	392	m aː			
ripanga	52.29924933144126	30	r i p a ŋ a			
whakamārama	33.1228579099128	19	f a k a m aː r a m a			
waenganui	271.9560965234946	156	w a e ŋ a n u i			
niue	8.71654155524021	5	n i u e			
hāmoa	101.11188204078644	58	h aː m o a			
tokerau	127.26150670650708	73	t o k e r a u			
whare	1044.2416783177773	599	f a r e			
