Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
нь	19080.78253729494	148606	nʲ			ə n
ангилал	10843.892502235738	84455	a n ɡ i ɮ a ɮ			
онд	9079.825968718282	70716	ɔ n t			
оны	7424.384537999847	57823	ɔ n iː			
улсын	5728.369191815112	44614	ʊ ɮ s iː n			
юм	5316.980504618814	41410	j u m			j ʊ m
байна	4784.5120633569395	37263	p a j n a			p æː n
сарын	4734.43666135739	36873	s a r iː n			
болон	4279.64929242815	33331	p ɔ ɮ ɔ n			p ɔ ɮ ɔ ŋ
байсан	4192.8519289622645	32655	p a j s a n			
их	3744.099287966303	29160	i x			
бөгөөд	3505.7917338351144	27304	p o ɡ oː t			p ɵ ɣ ɵː t
энэ	3371.6153361696556	26259	ɛ n ɛ			e n
аймгийн	3114.4332074386366	24256	a j m ɡ iː n			
ба	3057.2958897724843	23811	p a			p a
улс	2830.03060377453	22041	ʊ ɮ s			ʊ l ʊ s
олон	2807.1756767080687	21863	ɔ ɮ ɔ n			
гэж	2642.0552485762214	20577	ɡ ɛ t͡ʃ			
хүн	2606.6172717765403	20301	x u n			
нэг	2381.406361245234	18547	n ɛ ɡ			n e ɡ
байдаг	2350.3339323121804	18305	p a j t a ɡ			
төрсөн	2244.276798846468	17479	tʰ o r s o n			tʰ ɵ r s u ŋ
ч	2145.1531825806937	16707	t͡ʃʰ			t͡ɕʰ
монголын	2045.1307770482606	15928	m ɔ n ɡ ɔ ɮ iː n			
болсон	1962.0569691156747	15281	p ɔ ɮ s ɔ n			
мөн	1926.1053984493317	15001	m o n			m o ŋ
он	1892.3366017163023	14738	ɔ n			ɔ ŋ
дахь	1852.2762801166627	14426	t a xʲ			t a xʲ
газар	1837.8956518501257	14314	ɡ a t͡s a r			
тус	1802.9712689171065	14042	tʰ ʊ s			
үед	1767.40489365076	13765	u j t			
зэрэг	1740.5696141176682	13556	t͡s ɛ r ɛ ɡ			
байв	1685.743468851495	13129	p a j w			
бол	1654.0290475851136	12882	p ɔ ɮ			
хоёр	1648.6363119851624	12840	x ɔ j r			χ ɔ j ʊ r
дараа	1634.5124806519561	12730	t a r aː			
түүний	1631.3025189853183	12705	tʰ uː n iː			
буюу	1611.7859520521606	12553	p ʊ j u ʊ			
хамгийн	1579.5579369191173	12302	x a m ɡ iː n			
дэлхийн	1554.3918374526772	12106	t ɛ ɮ x iː n			
төв	1499.4372937198384	11678	tʰ o w			
багийн	1496.4841289865317	11655	p a ɡ iː n			
дээр	1488.0098301866078	11589	t ɛː r			t eː r
төрийн	1399.1580912540742	10897	tʰ o r iː n			
гэсэн	1385.6762522541956	10792	ɡ ɛ s ɛ n			
нэр	1330.2081146546948	10360	n ɛ r			n e r̥
х	1326.998152988057	10335	x			x
хаан	1292.7157623883656	10068	x aː n			
анхны	1284.4982605217729	10004	a n x n iː			
засгийн	1266.5224751886012	9864	t͡s a s ɡ iː n			
цэргийн	1259.7173564553293	9811	t͡sʰ ɛ r ɡ iː n			
the	1257.0209886553534	9790	t h e			
тэрээр	1253.4258315887191	9762	tʰ ɛ r ɛː r			
аварга	1249.0602837220918	9728	a w a r ɡ a			
о	1248.9318852554263	9727	ɔ			ɔ
байжээ	1245.9787205221196	9704	p a j t͡ʃ ɛː			
болох	1236.2204370555407	9628	p ɔ ɮ ɔ x			p ɔ ɮ ə x
гол	1209.8987513891109	9423	ɡ ɔ ɮ			ɢ ɔ ɮ
байгаа	1172.1496021894507	9129	p a j ɡ aː			
болж	1168.426046656151	9100	p ɔ ɮ t͡ʃ			
тоглогч	1145.3143226563589	8920	tʰ ɔ ɡ ɮ ɔ ɡ t͡ʃʰ			
жилийн	1131.4472882564837	8812	t͡ʃ i ɮ iː n			
хот	1129.26451432317	8795	x ɔ tʰ			x ɔ tʰ
гэдэг	1115.7826753232912	8690	ɡ ɛ t ɛ ɡ			
сумын	1088.048606523541	8474	s ʊ m iː n			
үйл	1080.4730969902757	8415	u j ɮ			u i ɮ
нас	1065.5788748570765	8299	n a s			
болно	1064.5516871237523	8291	p ɔ ɮ n ɔ			
шинэ	1054.2798097905115	8211	ʃ i n ɛ			ʃ i n
of	1051.0698481238737	8186	o f			
цол	1027.1877333240886	8000	t͡sʰ ɔ ɮ			
хотод	1011.3947219242308	7877	x ɔ tʰ ɔ t			
тэр	995.0881166577109	7750	tʰ ɛ r			tʰ e r
албан	979.1667067911875	7626	a ɮ p a n			
хүртэл	975.5715497245532	7598	x u r tʰ ɛ ɮ			
дээд	959.7785383246953	7475	t ɛː t			
оноос	959.5217413913643	7473	ɔ n ɔː s			
гэх	957.3389674580507	7456	ɡ ɛ x			
байх	956.3117797247265	7448	p a j x			p æː χ
