Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
martin-mercedes	1.4947371755497258	587	m ɑ r t ɪ n - m ɛ r s eː d ɛ s	m ɑ r t ɪ n͡m ɛ r s eː d ə s		
buhoma	1.3776027461199347	541	b yː h oː m aː	b y ɦ oː m aː		
karagwe	1.3648707429210445	536	k aː r ɑ x ʋ eː	k aː r ɑ x ʋ ə		
marker-size	1.5227475825872847	598	m ɑ r k ɛ r - s iː z eː	m ɑ r k ə r s i z ə		
wedstrijddetails	2.128790934854465	836	ʋ ɛ t s t r ɛ j t d eː t ɑ j l s	ʋ ɛ t͡s t r ɛ i̯ d ə t ɛ l s		
kiezelnaalden	17.063430687152835	6701	k iː ɛ z ɛ l n aː l d ɛ n	k i z ə l n aː l d ə n		
poecilosclerida	1.34449953780282	528	p uː ɛ s iː l ɔ s c l eː r iː d aː	p u s i l oː s k l eː r i d aː		
kug	1.19935470133547	471	k ʏ x	k ʏ x		
'zwolsche	1.685717223533081	662	' z ʋ ɔ l s x eː	z ʋ ɔ l s		
fissurellidae	2.441998213547167	959	f ɪ s s yː r ɛ j iː d ɑ eː	f ɪ s y r ɛ l i d aː		
calliostomatidae	2.2917605758002613	900	c ɑ j ɪ ɔ s t oː m aː t iː d ɑ eː	k ɑ l i oː s t oː m aː t i d aː		
fasciolariidae	2.857061517830992	1122	f ɑ s s ɪ oː l aː r iː ɪ d ɑ eː	f aː ʃ oː l aː r i i d aː		
mitridae	1.0058282527123368	395	m ɪ t r iː d ɑ eː	m i t r i d ɑ		
volutidae	1.6959028260921933	666	v oː l yː t iː d ɑ eː	v oː l y t i d ɛ		
cancellariidae	1.8486868644788774	726	c ɑ n s ɛ j aː r iː ɪ d ɑ eː	k ɑ n s ɛ l aː r i i d aː		
terebridae	1.988738899666671	781	t eː r ɛ p r iː d ɑ eː	t eː r ə b r i d aː		
p-l	3.8781681743819973	1523	p - l	p eː l		
euroleagues	4.4562011196116185	1750	øː ʏ r oː l ɛ aː ɣ ʏ ɛ s	øː r oː l eː aː ɣ ə s		
sparassidae	2.8952575274276633	1137	s p aː r ɑ s s iː d ɑ eː	s p aː r ɑ s i d ɛː		
grottensprinkhanen	2.6431638640896344	1038	x r ɔ t t ɛ n s p r ɪ n k h aː n ɛ n	ɣ r ɔ t ə n s p r ɪ ŋ k ɦ aː n ə n		
lunatipula	1.499829976829282	589	l yː n aː t iː p yː l aː	l y n aː t i p y l aː		
lasaeidae	1.420891556996162	558	l aː s ɑ ɛ j ɪ d ɑ eː	l aː s aː i̯ d aː		
kondr	1.0694882687067886	420	k ɔ n t r	k ɔ n t r		
ovulidae	1.2451899128514752	489	oː v yː l iː d ɑ eː	oː v y l i d ɑ		
ortea	2.4292662103482767	954	ɔ r t ɛ aː	ɔ r t i aː		
skeneidae	1.2961179256470365	509	s k eː n ɛ j ɪ d ɑ eː	s k eː n ɛ i̯ d aː		
cystiscidae	1.535479585786175	603	s j s t ɪ s s iː d ɑ eː	s i s t i s i d ɛ		
pyramidellidae	4.79741880534188	1884	p j r aː m iː d ɛ j iː d ɑ eː	p i r aː m i d ɛ l i d aː		
cerithiidae	1.3317675346039295	523	s eː r iː t iː ɪ d ɑ eː	s eː r i t i i d aː		
cerithiopsidae	2.971649546621005	1167	s eː r iː t ɪ ɔ p s iː d ɑ eː	s eː r i t i ɔ p s i d aː		
epitoniidae	3.8476113667046605	1511	eː p iː t oː n iː ɪ d ɑ eː	eː p i t oː n i i d aː		
rissoidae	4.685377177191645	1840	r ɪ s s ɔ j ɪ d ɑ eː	r ɪ s ʋ aː d aː		
tornidae	1.7544700408070888	689	t ɔ r n iː d ɑ eː	t ɔ r n i d ɑ		
triphoridae	3.2008256042010315	1257	t r ɪ f oː r iː d ɑ eː	t r i p oː r i d aː		
triviidae	1.0363850603896736	407	t r iː v iː ɪ d ɑ eː	t r i v i i d ɛ		
clausiliidae	2.7195558832829767	1068	c l a w ʏ s iː l iː ɪ d ɑ eː	k l ɑ w z i l i i d ɛ		
uno-x	1.1178698808625718	439	yː n ɔ - k s	y n ɔ k s		
chromodorididae	2.0243885086235642	795	x r oː m ɔ d oː r iː d ɪ d ɑ eː	k r oː m oː d oː r i d i d aː		
discodorididae	1.4157987557166059	556	d ɪ s c oː d ɔ r iː d ɪ d ɑ eː	d ɪ s k oː d oː r i d i d aː		
gosliner	1.5125619800281724	594	ɣ ɔ s l iː n ɛ r	ɣ ɔ s l i n ə r		
'idaea	1.051663464228342	413	' iː d ɑ ɛ aː	i d eː aː		
nachtkaardespinnen	3.1320727869270235	1230	n ɑ x t k aː r d ɛ s p ɪ n n ɛ n	n ɑ x t k aː r d ə s p ɪ n ə n		
amaurobiidae	2.169533345090914	852	aː m a w ʏ r oː b iː ɪ d ɑ eː	aː m ɑ w r oː b i i d aː		
damagaram	1.308849928845927	514	d aː m ɑ ɣ aː r ɑ m	d aː m aː ɣ aː r ɑ m		
canyon-sram	1.156065890459243	454	c ɑ n j ɔ n - s r ɑ m	k aː n i ɔ n s r ɑ m		
bukunzi	1.3623243422812663	535	b yː k ʏ n z iː	b y k ʏ n z i		
'mclaren-mercedes	1.0032818520725588	394	' m c l aː r ɛ n - m ɛ r s eː d ɛ s	m ə k l aː r ə n͡m ɛ r s eː d ə s		
cyclopidae	7.49914988414641	2945	s j c l oː p iː d ɑ eː	s i k l oː p i d ɛ		
hennemann	1.049117063588564	412	h ɛ n n eː m ɑ n n	ɦ ɛ n ə m ɑ n		
lmgte	3.8017761551886555	1493	l m x t eː	ɛ l ɛ m x t ə		
caligidae	1.4056131531574936	552	c aː l iː ɣ ɪ d ɑ eː	k aː l i ɣ i d ɛ		
chondracanthidae	1.235004310292363	485	x ɔ n t r ɑ c ɑ n t iː d ɑ eː	ʃ ɔ n d r aː k ɑ n t i d aː		
lernaeopodidae	1.6653460184148565	654	l ɛ r n ɑ ɛ oː p ɔ d iː d ɑ eː	l ɛ r n eː oː p oː d i d aː		
notodelphyidae	1.0593026661476763	416	n oː t ɔ d ɛ l f j iː d ɑ eː	n oː t oː d ɛ l f i d aː		
sinularia	1.2604683166901436	495	s iː n yː l aː r ɪ aː	s i n y l aː r i aː		
viltvliegen	1.2630147173299218	496	v ɪ l t v l iː ɛ ɣ ɛ n	v ɪ l t f l i ɣ ə n		
ischyroceridae	1.1866226981365797	466	ɪ s x j r oː s eː r iː d ɑ eː	i s x i r oː s eː r i d aː		
photidae	1.0796738712659009	424	f oː t iː d ɑ eː	f oː t i d ɛ		
aoridae	1.1076842783034595	435	ɑ oː r iː d ɑ eː	aː oː r i d aː		
topsent	2.745019889680757	1078	t ɔ p s ɛ n t	t ɔ p s ɛ n t		
lendenfeld	2.0422133131020104	802	l ɛ n d ɛ n f ɛ l t	l ɛ n d ə n f ɛ l t		
microcionidae	1.2069939032548043	474	m ɪ c r oː s ɪ oː n iː d ɑ eː	m i k r oː s i oː n i d ɛː		
india-mercedes	2.801040703755875	1100	ɪ n d ɪ ɑ - m ɛ r s eː d ɛ s	ɪ n d i aː m ɛ r s eː d ə s		
steencel	1.5023763774690602	590	s t eː n s ɛ l	s t eː n s ɛ l		
'plaatsingsronde	2.47764782250406	973	' p l aː t s ɪ n x s r ɔ n d eː	p l aː t͡s ɪ ŋ s r ɔ n d ə		
netwantsen	2.136430136773799	839	n ɛ t ʋ ɑ n t s ɛ n	n ɛ t ʋ ɑ n t͡s ə n		
anthicus	1.1331482847012402	445	ɑ n t ɪ c ʏ s	ɑ n t i k ʏ s		
dwergcelspinnen	1.644974813296632	646	t ʋ ɛ r ɣ s ɛ l s p ɪ n n ɛ n	d ʋ ɛ r x s ə l s p ɪ n ə n		
stadiontoeschouwers	2.4190806077891644	950	s t aː d ɪ ɔ n t uː s x ɑ w y w ɛ r s	s t aː d i ɔ n t u s x ɑ w ə r s		
ragonot	3.6133425078450783	1419	r aː ɣ oː n ɔ t	r aː ɣ oː n ɔ t		
niue-fekai	1.2706539192492559	499	n ɪ ʏ ɛ - f eː k ɑ j iː	n j y f ɛ k ɛ		
dendi	1.532933185146397	602	d ɛ n d iː	d ɛ n d i		
geledi	1.5609435921839556	613	ɣ eː l ɛ d iː	ɣ eː l eː d i		
igara	1.128055483421684	443	iː ɣ aː r aː	i ɣ aː r aː		
hororo	1.3292211339641515	522	h oː r ɔ r oː	ɦ oː r oː r oː		
kajara	1.1102306789432377	436	k aː j ɑ r aː	k aː j aː r aː		
mbunda	1.5583971915441777	612	m b ʏ n d aː	m b ʏ n d aː		
nshenyi	1.1076842783034595	435	n ʃ ɛ n j iː	n ʃ eː n i i		
obwera	1.0211066565510052	401	ɔ p ʋ eː r aː	ɔ b ʋ eː r aː		
rujumbura	1.1127770795830156	437	r yː j ʏ m b yː r aː	r y i ʏ m b y r aː		
rukiga	1.4463555633939427	568	r yː k iː ɣ aː	r y k i ɣ aː		
mutayr	1.3317675346039295	523	m yː t ɑ j r	m y t ɛ i̯ r		
opper-yafa	1.5252939832270627	599	ɔ p p ɛ r - j aː f aː	ɔ p ə r i aː f aː		
qasimiden	1.0898594738250131	428	k aː s iː m ɪ d ɛ n	k aː z i m i d ə n		
awsa	1.4412627621143865	566	ɑ ʋ s aː	ɑ w s aː		
coquillett	3.447826466259504	1354	c ɔ k ʋ ɪ j ɛ t t	k oː k i j ɛ t		
megaselia	4.85089321877722	1905	m eː ɣ aː s eː l ɪ aː	m eː ɣ aː s eː l i aː		
steltmug	27.870355002370953	10945	s t ɛ l t m ʏ x	s t ɛ l t m ʏ x		
nyl	2.5387614378587338	997	n j l	n i l		
mijtensoort	2.467462219944948	969	m ɛ j t ɛ n s oː r t	m ɛ i̯ t ə n s oː r t		
halacaridae	2.1593477425318017	848	h aː l ɑ c aː r iː d ɑ eː	h aː l aː k aː r i d aː		
wesolowska	2.2306469604455876	876	ʋ eː s oː l ɔ ʋ s k aː	ʋ ɛ s oː l ɑ w s k aː		
erséus	1.0185602559112272	400	ɛ r s ɛ ́ ʏ s	ɛ r s eː ʏ s		
scalpellidae	1.3292211339641515	522	s c ɑ l p ɛ j iː d ɑ eː	s k ɑ l p ɛ l i d aː		
lysianassidae	1.7672020440059792	694	l j s ɪ aː n ɑ s s iː d ɑ eː	l i z i aː n ɑ s i d aː		
hincks	1.4132523550768277	555	h ɪ n k s	h ɪ ŋ k s		
ferb	1.540572387065731	605	f ɛ r p	f ɛ r p		
thc	1.3063035282061488	513	t k	t eː s eː		
foods	1.3292211339641515	522	f oː t s	f oː t͡s		
'jeroen	1.051663464228342	413	' j eː r uː n	j ə r u n		
'mario	1.308849928845927	514	' m aː r ɪ oː	m aː r i oː		
stiens	1.1407874866205745	448	s t iː n s	s t i n s		
amarantenfamilie	1.1356946853410184	446	aː m ɑ r ɑ n t ɛ n f aː m iː l iː eː	aː m aː r ɑ n t ə n f aː m i l i		
frysk	1.1178698808625718	439	f r j s k	f r ɪ s k		
claro	1.349592339082376	530	c l aː r oː	k l aː r oː		
antioquia	1.3266747333243734	521	ɑ n t ɪ ɔ k ʋ ɪ aː	ɑ n t͡ʃ oː k i aː		
duzee	2.2281005598058092	875	d yː z eː eː	d y z eː		
'ducati	15.477023088571096	6078	' d ʏ c aː t iː	d y k aː t i		
dovizioso	2.1491621399726895	844	d oː v iː z ɪ oː s oː	d oː v i z i oː s oː		
'loris	1.5023763774690602	590	' l oː r ɪ s	l oː r ɪ s		
seizoensopener	1.0771274706261227	423	s ɛ j ɪ z uː n s oː p eː n ɛ r	s ɛ i̯ z u n s oː p ə n ə r		
bills	1.1025914770239034	433	b ɪ j s	b ɪ l s		
masetti	1.428530758915496	561	m aː s ɛ t t iː	m aː s ɛ t i		
anscheidt	1.9174396817528851	753	ɑ n s x ɛ j t t	ɑ n s x ɛ i̯ t		
velocette	3.666816921280418	1440	v eː l oː s ɛ t t eː	v eː l oː s ɛ t ə		
hartle	1.5991396017806268	628	h ɑ r t l eː	ɦ ɑ r t ə l		
camathias	1.2095403038945822	475	c aː m ɑ t ɪ ɑ s	k aː m aː t i ɑ s		
derbi	5.512957385119517	2165	d ɛ r b iː	d ɛ r b i		
bultaco	4.912006834131893	1929	b ʏ l t ɑ c oː	b ʏ l t aː k oː		
kalauch	1.0414778616692297	409	k aː l a w x	k aː l ɑ w x		
kneubühler	2.032027710542898	798	k n øː ʏ b ʏ̈ h l ɛ r	k n øː b y l ə r		
lazzarini	3.226289610598812	1267	l ɑ z z aː r iː n iː	l ɑ z aː r i n i		
rougerie	1.2299115090128068	483	r ɑ w ʏ ɣ eː r iː eː	r u ɣ ə r i		
steinhausen	1.0211066565510052	401	s t ɛ j n h a w ʏ s ɛ n	s t ɛ i̯ n ɦ ɑ w z ə n		
uncini	1.4438091627541645	567	ʏ n s iː n iː	u n s i n i		
kork	1.273200319889034	500	k ɔ r k	k ɔ r k		
ballington	1.8919756753551045	743	b ɑ j ɪ n x t ɔ n	b ɑ l ɪ ŋ t ɔ n		
ekerold	1.3597779416414884	534	eː k ɛ r ɔ l t	eː k ə r ɔ l t		
minarelli	1.1306018840614622	444	m iː n aː r ɛ j iː	m i n aː r ɛ l i		
waltisperg	2.2637501687627024	889	ʋ ɑ l t ɪ s p ɛ r x	ʋ ɑ l t ɪ s p ɛ r x		
dörflinger	2.997113553018786	1177	d ɔ̈ r f l ɪ ŋ ɛ r	d œ r f l ɪ ŋ ə r		
mamola	3.2568464182761487	1279	m aː m oː l aː	m aː m oː l aː		
lucchinelli	1.4947371755497258	587	l ʏ c x iː n ɛ j iː	l y k ʃ i n ɛ l i		
