Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
pa	12929.75679071015	2748	p a			
wikipedia	178.7957634814358	38	w i k i p e d i a			
encyclopedia	47.051516705641006	10	e n c j c ɽ o p e d i a			
yaulere	28.230910023384602	6	j a u ɽ e ɽ e			
imene	287.0142519044101	61	i m e n e			
alionse	108.21848842297432	23	a ɽ i o n s e			
anga	28.230910023384602	6	a ŋ ɡ a			
kukula	334.0657686100511	71	k u k u ɽ a			
pakali	28.230910023384602	6	p a k a ɽ i			
pano	329.36061693948704	70	p a n o			
tili	32.9360616939487	7	t i ɽ i			
ndi	46581.0015385846	9900	n d i			
nkhani	715.1830539257433	152	n kʰ a n i			ᵑkʰ á n i
zokwana	122.33394343466662	26	z o kʷ a n a			
mu	11998.136759938456	2550	m u			
chinenero	244.66788686933324	52	t͡ʃ i n e n e ɽ o			
chomwe	762.2345706313843	162	t͡ʃ o mʷ e			
chimalankhulidwa	42.34636503507691	9	t͡ʃ i m a ɽ a n kʰ u ɽ i dʷ a			
ku	17616.08785459199	3744	k u			
malawi	1900.8812749078966	404	m a ɽ a w i			
zambia	1585.6361129801019	337	z a m b i a			
yatsopano	155.2700051286153	33	j a t͡s o p a n o			
otter	9.410303341128202	2	o t t e ɽ			
cape	244.66788686933324	52	c a p e			
'dziko	14.115455011692301	3	' d͡z i k o			
la	9960.806086584202	2117	ɽ a			
malaŵi	178.7957634814358	38	m a ɽ a w i			
lomwe	1317.4424677579482	280	ɽ o mʷ e			
kale	649.3109305378459	138	k a ɽ e			
kuti	12186.34282676102	2590	k u t i			k u t í
nyasaland	301.12970691610246	64	ɲ a s a ɽ a n d			
dziko	3025.4125241727165	643	d͡z i k o			d͡z í k o
demokilase	14.115455011692301	3	d e m o k i ɽ a s e			
lili	296.42455524553833	63	ɽ i ɽ i			
anthu	6441.352637002254	1369	a n tʰ u			aⁿ tʰ u
ambiri	1924.407033260717	409	a m b i ɽ i			
ndipo	7904.654806547689	1680	n d i p o			ⁿd i p ó
cha	7500.011762879177	1594	t͡ʃ a			
mwera	18.820606682256404	4	mʷ e ɽ a			
kwa	9574.983649597945	2035	kʷ a			
africa	1284.5064060639995	273	a f ɽ i c a			
dzikoli	324.65546526892297	69	d͡z i k o ɽ i			
linayandikana	9.410303341128202	2	ɽ i n a j a n d i k a n a			
m'madzulo	9.410303341128202	2	m ' m a d͡z u ɽ o			
tanzania	94.10303341128201	20	t a n z a n i a			
mpoto	51.756668376205106	11	m p o t o			
kuzungulira	122.33394343466662	26	k u z u ŋ ɡ u ɽ i ɽ a			
kum	37.64121336451281	8	k u m			
mawa	47.051516705641006	10	m a w a			m á w ⁽ᵝ ⁾ a
kum'mwera	183.50091515199992	39	k u m ' mʷ e ɽ a			
chiyambi	117.62879176410252	25	t͡ʃ i j a m b i			
dzina	1289.2115577345635	274	d͡z i n a			d͡z í n a
loti	136.4493984463589	29	ɽ o t i			
sichidziwika	9.410303341128202	2	s i t͡ʃ i d͡z i w i k a			
bwino	1430.3661078514865	304	bʷ i n o			
koma	2150.254313447794	457	k o m a			k o m a
ofufuza	89.3978817407179	19	o f u f u z a			
amakhulupilira	47.051516705641006	10	a m a kʰ u ɽ u p i ɽ i ɽ a			
dzinali	32.9360616939487	7	d͡z i n a ɽ i			
linachokela	18.820606682256404	4	ɽ i n a t͡ʃ o k e ɽ a			
chilankhulo	197.61637016369224	42	t͡ʃ i ɽ a n kʰ u ɽ o			
chigawo	291.71940357497425	62	t͡ʃ i ɡ a w o			
limatanthauza	56.461820046769205	12	ɽ i m a t a n tʰ a u z a			
wa	12412.190106948097	2638	w a			
moto	225.84728018707682	48	m o t o			m ó t o
kwacha	28.230910023384602	6	kʷ a t͡ʃ a			kʷ a t͡ʃ a
kunena	70.57727505846151	15	k u n e n a			
dzuwa	145.85970178748713	31	d͡z u w a			d͡z ú w ⁽ᵝ ⁾ a
oyamba	277.60394856328196	59	o j a m b a			
anali	4719.267125575793	1003	a n a ɽ i			
chi	174.09061181087174	37	t͡ʃ i			
khoisan	14.115455011692301	3	kʰ o i s a n			
amene	2625.474632174768	558	a m e n e			
ankachita	56.461820046769205	12	a n k a t͡ʃ i t a			
komanso	5519.14290957169	1173	k o m a n s o			
zakudya	103.51333675241021	22	z a k u dʲ a			
zomera	164.68030846974352	35	z o m e ɽ a			z ó m e ɽ a
zokha	61.16697171733331	13	z o kʰ a			
chibantu	9.410303341128202	2	t͡ʃ i b a n t u			
anabwera	37.64121336451281	8	a n a bʷ e ɽ a			
nthawi	3891.1604315565114	827	n tʰ a w i			ⁿtʰ á w ⁽ᵝ ⁾ i
kusamuka	37.64121336451281	8	k u s a m u k a			
bantu	70.57727505846151	15	b a n t u			
