Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
kan	19684.037296888753	10131	k a n			
fi	18566.84043125742	9556	f i			
ta	11214.713579867917	5772	t a			
akka	10684.287937576868	5499	a kː a			
hin	9551.54746338023	4916	h i n			
keessatti	7620.2540991410215	3922	k eː sː a tː i			
u	7573.623273445105	3898	u			
yoo	7153.945842181856	3682	j oː			
tokko	5929.886667664048	3052	t o kː o			
yeroo	5910.457156957416	3042	j e r oː			
isaa	4927.323915201843	2536	i s aː			
ykn	4534.84779892788	2334	j k n			
irratti	4453.243853960026	2292	i rː a tː i			
gara	4424.0995879000775	2277	ɡ a r a			
kana	4412.441881476098	2271	k a n a			
irraa	4393.0123707694665	2261	i rː aː			
keessa	4373.582860062835	2251	k eː sː a			
waan	4251.176942611054	2188	w aː n			
e	4233.690382975085	2179	e			
itti	3979.163792718208	2048	i tː i			
keessaa	3942.2477223756073	2029	k eː sː aː			
bara	3916.989358456986	2016	b a r a			
kun	3901.4457498916804	2008	k u n			
dha	3545.885703960317	1825	ᶑ a			
ture	3439.023395073842	1770	t u r e			
danda	3233.070581583544	1664	d a n d a			
of	3233.070581583544	1664	o f			
qabu	2933.856116701413	1510	kʼ a b u			
ni	2650.1852603845878	1364	n i			
bakka	2624.9268964659664	1351	b a kː a			
jiru	2545.265902568776	1310	d͡ʒ i r u			
oromoo	2498.635076872859	1286	o r o m oː			
adda	2453.9472022476057	1263	a dː a			
isaanii	2442.2894958236266	1257	i s aː n iː			
afaan	2345.1419422904673	1207	a f aː n			
ee	2312.111774089193	1190	eː			
qaba	2282.9675080292454	1175	kʼ a b a			
isa	2228.5648780506763	1147	i s a			
nama	2203.3065141320544	1134	n a m a			
garuu	2168.333394860117	1116	ɡ a r uː			
irra	2055.6422327616524	1058	i rː a			
kunis	2022.6120645603783	1041	k u n i s			
booda	1981.8100920764512	1020	b oː d a			
naannoo	1826.3740064233962	940	n aː nː oː			
hanga	1824.431055352733	939	h a n ɡ a			
guddaa	1750.598914667532	901	ɡ u dː aː			
walitti	1750.598914667532	901	w a l i tː i			
malee	1731.1694039609001	891	m a l eː			
koo	1709.796942183605	880	k oː			
inni	1655.3943122050357	852	i nː i			
mana	1649.5654589930461	849	m a n a			
the	1647.622507922383	848	t h e			
wal	1645.6795568517198	847	w a l			
karaa	1548.5320033185603	797	k a r aː			
immoo	1521.3306883292757	783	i mː oː			
aanaa	1509.6729819052966	777	aː n aː			
jedhamu	1431.9549390787693	737	d͡ʒ e ᶑ a m u			
addaa	1418.354281584127	730	a dː aː			
an	1400.867721948158	721	a n			
osoo	1369.7805048175471	705	o s oː			
jira	1350.3509941109153	695	d͡ʒ i r a			
bishaan	1332.8644344749466	686	b i ʃ aː n			
isaan	1311.4919726976516	675	i s aː n			
argamu	1276.5188534257143	657	a r ɡ a m u			
akkasumas	1274.575902355051	656	a kː a s u m a s			
haa	1272.632951284388	655	h aː			
ol	1266.8040980723983	652	o l			
wajjin	1264.8611470017352	651	w a d͡ʒː i n			
baay	1249.3175384364295	643	b aː j			
ammoo	1243.48868522444	640	a mː oː			
qaama	1231.8309788004608	634	kʼ aː m a			
biyya	1208.5155659525026	622	b i jː a			
lafa	1191.029006316534	613	l a f a			
qaban	1185.2001531045444	610	kʼ a b a n			
maqaa	1177.4283488218916	606	m a kʼ aː			
guyyaa	1167.7135934685757	601	ɡ u jː aː			
waliin	1167.7135934685757	601	w a l iː n			
hunda	1142.4552295499543	588	h u n d a			
bu	1115.2539145606697	574	b u			
sirna	1115.2539145606697	574	s i r n a			
baayyee	1082.2237463593954	557	b aː jː eː			
jedhu	1068.623088864753	550	d͡ʒ e ᶑ u			
keenya	1056.965382440774	544	k eː ɲ a			
addunyaa	1045.3076760167949	538	a dː u ɲ aː			
ishee	1035.592920663479	533	i ʃ eː			
lama	1035.592920663479	533	l a m a			
haala	1027.8211163808262	529	h aː l a			
jechuun	1021.9922631688366	526	d͡ʒ e t͡ʃ uː n			
gosa	1008.3916056741944	519	ɡ o s a			
uu	1004.505703532868	517	uː			
sadarkaa	998.6768503208783	514	s a d a r k aː			
kanneen	985.076192826236	507	k a nː eː n			
erga	979.2473396142465	504	e r ɡ a			
amma	975.3614374729201	502	a mː a			
lafaa	975.3614374729201	502	l a f aː			
magaalaa	969.5325842609305	499	m a ɡ aː l aː			
abbaa	965.6466821196042	497	a bː aː			
qofa	965.6466821196042	497	kʼ o f a			
and	946.2171714129723	487	a n d			
biraa	946.2171714129723	487	b i r aː			
waggaa	946.2171714129723	487	w a ɡː aː			
ta'ee	926.7876607063405	477	t a eː			
itoophiyaa	917.0729053530245	472	i t oː pʼ i j aː			
kanaa	915.1299542823613	471	k a n aː			
kutaa	911.2440521410349	469	k u t aː			
ka	872.3850307277712	449	k a			
jedhama	862.6702753744553	444	d͡ʒ e ᶑ a m a			
nu	856.8414221624657	441	n u			
seelii	854.8984710918025	440	s eː l iː			
ummata	852.9555200211394	439	u mː a t a			
hojii	847.1266668091497	436	h o d͡ʒ iː			
jalqabaa	847.1266668091497	436	d͡ʒ a l kʼ a b aː			
natti	843.2407646678233	434	n a tː i			
namni	833.5260093145074	429	n a m n i			
akkuma	827.6971561025179	426	a kː u m a			
tokkoo	823.8112539611915	424	t o kː oː			
seenaa	821.8683028905283	423	s eː n aː			
jiran	819.9253518198651	422	d͡ʒ i r a n			
warra	814.0964986078756	419	w a rː a			
afrikaa	796.6099389719069	410	a f r i k aː			
baay'ee	786.895183618591	405	b aː j eː			
in	781.0663304066014	402	i n			
kanaan	777.1804282652749	400	k a n aː n			
turan	765.5227218412958	394	t u r a n			
ta'uu	759.6938686293063	391	t a uː			
dura	757.7509175586431	390	d u r a			
gadi	757.7509175586431	390	ɡ a d i			
humna	740.2643579226744	381	h u m n a			
je	711.1200918627267	366	d͡ʒ e			
namaa	701.4053365094106	361	n a m aː			
fakkeenyaaf	695.5764832974211	358	f a kː eː ɲ aː f			
biroo	693.6335322267579	357	b i r oː			
mootummaa	693.6335322267579	357	m oː t u mː aː			
tokkoon	693.6335322267579	357	t o kː oː n			
argama	691.6905811560947	356	a r ɡ a m a			
kanaaf	691.6905811560947	356	k a n aː f			
isaanis	689.7476300854315	355	i s aː n i s			
hedduu	680.0328747321156	350	h e dː uː			
jedhamuun	678.0899236614524	349	d͡ʒ e ᶑ a m uː n			
gidduu	676.1469725907892	348	ɡ i dː uː			
namoota	670.3181193787997	345	n a m oː t a			
ani	660.6033640254838	340	a n i			
jecha	656.7174618841574	338	d͡ʒ e t͡ʃ a			
lubbiyyoo	641.1738533188519	330	l u bː i jː oː			
hundaa	637.2879511775255	328	h u n d aː			
ittiin	629.5161468948727	324	i tː iː n			
waa'ee	629.5161468948727	324	w aː eː			
iddoo	625.6302447535463	322	i dː oː			
kiitii	623.6872936828831	321	k iː t iː			
oromiyaa	621.74434261222	320	o r o m i j aː			
garee	619.8013915415568	319	ɡ a r eː			
sababa	617.8584404708936	318	s a b a b a			
ji	615.9154894002304	317	d͡ʒ i			
kee	608.1436851175777	313	k eː			
jedhee	604.2577829762513	311	d͡ʒ e ᶑ eː			
mataa	604.2577829762513	311	m a t aː			
miti	602.3148319055881	310	m i t i			
taane	596.4859786935986	307	t aː n e			
lamaan	594.5430276229354	306	l a m aː n			
sochii	586.7712233402826	302	s o t͡ʃ iː			
ti	582.8853211989563	300	t i			
maal	571.2276147749772	294	m aː l			
