Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
oqt	1.349596878464255	597	o k t	ɔ k t͡ʃ i		
williams-mercedes	1.4942772808456826	661	w i l l i ɐ m s - m ɛ ɾ s ɛ d ɛ ʃ	w i l j ɐ m m e ʁ s e d͡ʒ i s		
'aderus	1.0579754424141898	468	' ɐ d ɛ ɾ u ʃ	a d e ɾ u s		
aderus	1.279517308560751	566	ɐ d ɛ ɾ u ʃ	a d e ɾ u s		
beechcraft	1.1529219564770017	510	b ɛ ɛ k k ɾ ɐ f t	b i ʃ k ɾ ɛ f t͡ʃ		
gfk	1.0670179675630291	472	ɡ f k	ɡ e f k i		
funvic	1.3586394036130942	601	f u n v i k	f v i k		
hoffenheim	1.0105021853827838	447	o f f ɛ n ɛ j̃	h o f e ɲ e		
presbiteral	1.1461400626153724	507	p ɾ ɛ ʃ b i t ɛ ɾ ɐ l	p ɾ e z b i t e ɾ a w		
zyd	1.9079728064050774	844	z j d	z a j d͡ʒ		
heels	1.1303156436049036	500	ɛ ɛ l ʃ	e w s		
eleitosem	4.301981339560263	1903	ɛ l ɛ j t o z ɛ̃	e l e j t o z j̃		
gotti	1.0466722859781408	463	ɡ o t t i	ɡ ɔ t͡ʃ i		
macerata	1.1868314257851489	525	m ɐ z ɛ ɾ ɐ t ɐ	m a s e ɾ a t ɐ		
mess	1.6231332642166416	718	m ɛ s ʃ	m ɛ s		
fist	1.6389576832271102	725	f i ʃ t	f i s t͡ʃ		
submetralhadora	1.2410865766781842	549	s u b m ɛ t ʁ ɐ l ɐ d o ɾ ɐ	s u b m e t ɾ a ʎ a d o ɾ a		s u b m e t ɾ a ʎ a d o ɾ ɐ
mnet	4.790277697597582	2119	m n ɛ t	m n ɛ t͡ʃ		
nowa	1.3631606661875137	603	n o w ɐ	n o w ɐ		
philippi	1.17326763806189	519	p i l i p p i	f i l i p i		
lgbtq	1.324729934304947	586	l ɡ b t k	e l ɡ i b i t e k i		
fimi	4.724719390268497	2090	f i m i	f i m i		
rihgb	1.0964061742967566	485	ʁ i ɡ b	ʁ i ɡ i b i		
campania	1.842414499075993	815	k ɐ m p ɐ n i ɐ	k ɐ̃ p ɐ n i ɐ		
dude	1.2908204649968	571	d u d ɛ	d u d͡ʒ i		
wilderness	1.2162196325188763	538	w i l d ɛ ɾ n ɛ s ʃ	w i w d e ʁ n ɛ s		
tuco	1.5281867501538298	676	t u k o	t u k u		
emsufrágio	3.5378879644833483	1565	ɛ m s u f ʁ a ʒ i o	s u f ɾ a ʒ j u		
nasc	1.2501291018270235	553	n ɐ ʃ k	n a s k i		
cev	3.311824835762368	1465	s ɛ v	s ɛ v		
dnf	14.558465489631159	6440	d n f	d e n e f		
singing	2.0481319462120853	906	s i n ʒ i n ɡ	s ʒ		
co-produzido	1.7067766218434046	755	k o - p ɾ o d u z i d o	k o p ɾ o d u z i d u		
dahlia	1.0376297608293015	459	d ɐ l i ɐ	d a ʎ ɐ		
told	1.8401538677887832	814	t o l d	t o w d͡ʒ		
daytime	1.4106339232189198	624	d ɐ j t i m ɛ	d e j t͡ʃ i m i		
dubladores	4.360757753027718	1929	d u b l ɐ d o ɾ ɛ ʃ	d u b l a d o ɾ i s		
aloud	1.501059174707312	664	ɐ l o w u d	a l o w d͡ʒ		
shazam	1.4648890741119551	648	s ɐ z ɐ̃	ʃ a z ɐ̃ w̃		
darkseid	1.0105021853827838	447	d ɐ ɾ k s ɛ j d	d a ʁ k s e j d͡ʒ		
all-american	2.181509192157464	965	ɐ l l - ɐ m ɛ ɾ i k ɐ̃	a l a m e ɾ i k ɐ̃		
showcase	2.663023656333153	1178	s o w k ɐ z ɛ	ʃ o w k e j z		
brainiac	1.5553143256003474	688	b ɾ a j n i ɐ k	b ɾ a j n i a k		
uncanny	1.1710070067746803	518	u n k ɐ n n j	k ɐ n i		
lantern	1.4219370796549688	629	l ɐ n t ɛ ɾ	l ɐ̃ t ɛ ʁ n		
spor	1.0489329172653505	464	s p o ɾ	s p o ʁ		
dauphiné	1.3315118281665765	589	d a w p i n e	d a w f i n ɛ		
icones	1.0828423865734977	479	i k o n ɛ ʃ	i k o n i s		
leutnant	3.379643774378662	1495	l e w t n ɐ n t	l e w t͡ʃ n ɐ̃		
oberstleutnant	2.606507874152908	1153	o b ɛ ɾ s t l e w t n ɐ n t	o b e ʁ s t l e w t͡ʃ n ɐ̃		
generalleutnant	3.5039784951752013	1550	ʒ ɛ n ɛ ɾ ɐ l l e w t n ɐ n t	ʒ e n e ɾ a l e w t͡ʃ n ɐ̃		
stab	1.853717655512042	820	s t ɐ b	s t a b i		
recipients	2.11142962225396	934	ʁ ɛ z i p i ɛ n t ʃ	ʁ e s i p i s		
feldwebel	1.3111661465816882	580	f ɛ l d w ɛ b ɛ l	f e w d w e b ɛ w		
co-estrela	1.1484006939025821	508	k o - ɛ ʃ t ɾ ɛ l ɐ	k o e s t ɾ ɛ l ɐ		
entertainer	1.0624967049886094	470	ɛ n t ɛ ɾ t a j n ɛ ɾ	t e ʁ t a j n e ʁ		
anuro	3.0925436009030163	1368	ɐ n u ɾ o	a n u ɾ u		a n u ɾ u
elbow	1.0737998614246584	475	ɛ l b o w	ɛ w b o w		
stampede	1.0986668055839663	486	s t ɐ m p ɛ d ɛ	s t ɐ̃ p e d͡ʒ i		
transfermarkt	1.1913526883595684	527	t ɾ ɐ n s f ɛ ɾ m ɐ ɾ k t	t ɾ ɐ̃ s f e ʁ m a ʁ k i t͡ʃ		
soccerway	2.93203877951112	1297	s o k s ɛ ɾ w ɐ j	s o k s e ʁ w e j		
endl	1.137097537466533	503	ɛ n d l	d u w		
griseb	1.0421510234037212	461	ɡ ɾ i z ɛ b	ɡ ɾ i z ɛ b i		
brassicaceae	1.1393581687537429	504	b ɾ ɐ ʃ s i k ɐ z ɛ ɐ ɛ	b ɾ a s i k a s i a j i		
iridaceae	1.1122305933072252	492	i ɾ i d ɐ z ɛ ɐ ɛ	i ɾ i d a s i a j i		
watching	1.0308478669676722	456	w ɐ t k i n ɡ	w a t͡ʃ		
avex	1.7112978844178242	757	ɐ v ɛ s	a v ɛ k s		
ucm	2.452784946622641	1085	u k	k i m i		
telefilmes	6.255166771709537	2767	t ɛ l ɛ f i l m ɛ ʃ	t e l e f i w m i s		
luv	1.865020811948091	825	l u v	l u v		
pasiones	1.0263266043932526	454	p ɐ z i o n ɛ ʃ	p a z j o n i s		
dublês	1.5214048562922002	673	d u b l e ʃ	d u b l e j s		
masquerade	1.1054486994455959	489	m ɐ ʃ kʷ ɛ ɾ ɐ d ɛ	m a s k e ɾ a d͡ʒ i		
'it	1.0647573362758191	471	' i t	i t͡ʃ		
girlfriend	1.7339041972899223	767	ʒ i ɾ l f ɾ i ɛ n d	ʒ i ʁ l f ɾ i d͡ʒ		
hungry	1.2749960459863314	564	u n ɡ ɾ j	ɡ ɾ i		
undercover	1.3202086717305275	584	u n d ɛ ɾ k o v ɛ ɾ	d e ʁ k o v e ʁ		
gym	1.2659535208374921	560	ʒ j̃	ɡ		
lbs	1.2749960459863314	564	l b ʃ	ɛ l b i s		
wesson	1.794941242044587	794	w ɛ ʃ s õ	w e s		
'caso	1.1800495319235194	522	' k ɐ z o	k a z u		
kinoshita	1.0037202915211545	444	k i n o ʃ i t ɐ	k i n o ʃ i t ɐ		
finest	1.1755282693490998	520	f i n ɛ ʃ t	f i n ɛ s t͡ʃ i		
vamps	1.0986668055839663	486	v ɐ m p ʃ	v ɐ̃ p i s		
'dns	7.8150023598843035	3457	' d n ʃ	d e n s		
syfy	1.2252621576677156	542	s j f j	s a j f i		
bellator	6.9423986830213185	3071	b ɛ l l ɐ t o ɾ	b e l a t o ʁ		
chrono	1.069278598850239	473	k ɾ o n o	k ɾ o n u		
masterchef	1.0511935485525603	465	m ɐ ʃ t ɛ ɾ k ɛ f	m a s t e ʁ ʃ ɛ f		
muppet	1.3563787723258844	600	m u p p ɛ t	m u p e t͡ʃ		
gingrich	1.1664857442002605	516	ʒ i n ɡ ɾ i k	ʒ ɡ ɾ i ʃ		
pré-show	2.287758862656325	1012	p ɾ e - s o w	p ɾ ɛ ʃ o w		
co-consagradores	3.354776830219354	1484	k o - k o n s ɐ ɡ ʁ ɐ d o ɾ ɛ ʃ	k o k s a ɡ ɾ a d o ɾ i s		
pectore	1.7836380856085379	789	p ɛ k t o ɾ ɛ	p ɛ k t o ɾ i		
sépala	1.7271223034282928	764	s e p ɐ l ɐ	s ɛ p a l ɐ		s ɛ p a l ɐ
'mike	1.4106339232189198	624	' m i k ɛ	m i k i		
aubl	1.2478684705398135	552	a w b l	a w b u		
juss	3.0721979193181284	1359	ʒ u s ʃ	ʒ u s		
rhymes	1.9102334376922872	845	ʁ j m ɛ ʃ	ʁ a j m i s		
ipswich	2.072998890371393	917	i p s w i k	i p s w i ʃ		
spell	1.1913526883595684	527	s p ɛ l l	s p ɛ w		
