Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
c	93.78528829893342	222			@	
nisqaqa	4842.193578749437	11462			n i s q a q a	
latin	226.8590081825552	537			l a t i n	
siq	91.67300703093943	217			s i q	
i	1529.7140942812518	3621			i	
llumpapi	3.8021062823891927	9			ʎ u m p a p i	
kimsa	353.17342800859615	836			k i m s a	
kaq	2237.3283190592406	5296			k a q	
sanampam	4.647018789586792	11			s a n a m p a m	
qhichwa	3908.987714549689	9253			qʰ i tʃ w a	
simipiqa	9.294037579173583	22			s i m i p i q a	
'ch	8.871581325574784	21			@ tʃ	
nisqa	1009.2479898475314	2389			n i s q a	
t'inkisqa	39.288431584688325	93			tʼ i n k i s q a	
urin	571.5833111191753	1353			u ɾ i n	
wanka	40.97825659908352	97			w a n k a	
kashamarka	545.3910233960498	1291			k a ʃ a m a ɾ k a	
inkawasi	35.486325302299136	84			i n k a w a s i	
rimaykunapitaq	1.689825014395197	4			ɾ i m a j k u n a p i t a q	
waki	54.9193129678439	130			w a k i	
romanu	19.010531411945966	45			ɾ u m a n u	
e	456.67521014030194	1081			i	
y	2898.89481219496	6862			j	
ñawpanpi	4.224562535987992	10			ɲ a w p a n p i	
hinam	122.93476979725057	291			h i n a m	
rimanku	563.5566423007981	1334			ɾ i m a n k u	
manataq	16.05333763675437	38			m a n a t a q	
chayrayku	49.00492541746071	116			tʃ a j ɾ a j k u	
simipi	7193.162630026754	17027			s i m i p i	
wamaq	10.98386259356878	26			w a m a q	
rimaykunamanta	8.449125071975985	20			ɾ i m a j k u n a m a n t a	
hap'isqa	14.785968875957971	35			h a pʼ i s q a	
simikunataqa	1.2673687607963977	3			s i m i k u n a t a q a	
's	511.17206685454704	1210			@ s	
qillqanchik	6.759300057580788	16			q i ʎ q a n tʃ i k	
katiguriya	25452.566823074052	60249			k a t i @ u ɾ i j a	
sanampa	9.716493832772382	23			s a n a m p a	
o	604.5348988998817	1431			u	
chunka	339.2323716398358	803			tʃ u n k a	
pichqayuq	25.347375215927954	60			p i tʃ q a j u q	
hanllallipaq	1.2673687607963977	3			h a n ʎ a ʎ i p a q	
simipitaq	4.224562535987992	10			s i m i p i t a q	
simikunallapim	1.689825014395197	4			s i m i k u n a ʎ a p i m	
qshks	19.432987665544765	46			q ʃ k s	
runakunataq	5.49193129678439	13			ɾ u n a k u n a t a q	
pichqantin	29.149481498317144	69			p i tʃ q a n t i n	
nispa	202.3565454738248	479			n i s p a	
u	425.83590362758963	1008			u	
kunkapaq	2.5347375215927954	6			k u n k a p a q	
rimasqa	43.93545037427512	104			ɾ i m a s q a	
huk	8946.778538715369	21178			h u k	
rimay	2321.8195697790006	5496			ɾ i m a j	
hinalla	8.026668818377185	19			h i n a ʎ a	
kaptinpas	24.502462708730356	58			k a p t i n p a s	
ahinataq	193.48496414825004	458			a h i n a t a q	
allinta	52.384575446251105	124			a ʎ i n t a	
qillqasqa	86.60353198775384	205			q i ʎ q a s q a	
urqu	1849.9359345091418	4379			u ɾ q u	
p'uchqu	27.45965648392195	65			pʼ u tʃ q u	
mosoq	3.379650028790394	8			m u s u q	
icha	2960.150968966786	7007			i tʃ a	
musuq	377.2534344637277	893			m u s u q	
kay	4330.176599387692	10250			k a j	
qillqaqa	2.5347375215927954	6			q i ʎ q a q a	
rimaykunapim	1.2673687607963977	3			ɾ i m a j k u n a p i m	
aymara	1850.3583907627406	4380			a j m a ɾ a	
ay	14.785968875957971	35			a j	
ja	6.759300057580788	16			@ a	
ca	188.83794535866323	447			@ a	
cymraeg	1.2673687607963977	3			@ j m ɾ a i @	
cy	1.689825014395197	4			@ j	
es	217.5649706033816	515			i s	
guaraní	5.069475043185591	12			@ u a ɾ a n @	
gn	1.2673687607963977	3			@ n	
náhuatl	3.8021062823891927	9			n @ h u a t l	
nah	1.689825014395197	4			n a h	
simple	46.89264414946671	111			s i m p l i	
norsk	2.5347375215927954	6			n u ɾ s k	
polski	2.112281267993996	5			p u l s k i	
pt	4.224562535987992	10			p t	
quechua	241.64497705851315	572			q u i tʃ u a	
qu	8.026668818377185	19			q u	
italiano	29.571937751915943	70			i t a l i a n u	
la	6609.328087553214	15645			l a	
traduce	2.5347375215927954	6			t ɾ a @ u @ i	
esta	65.90317556141268	156			i s t a	
página	92.09546328453823	218			p @ @ i n a	
ñawpaqtaqa	17.32070639755077	41			ɲ a w p a q t a q a	
kaypim	6.3368438039819885	15			k a j p i m	
rikuchisqa	18.588075158347166	44			ɾ i k u tʃ i s q a	
meta	20.277900172742363	48			m i t a	
list	20.700356426341163	49			l i s t	
of	1921.331041367339	4548			u @	
articles	7.181756311179587	17			a ɾ t i @ l i s	
all	84.06879446616104	199			a ʎ	
languages	12.673687607963977	30			l a n @ u a @ i s	
should	2.9571937751915947	7			ʃ u u l @	
have	27.03720023032315	64			h a @ i	
kaypiqa	5.49193129678439	13			k a j p i q a	
tukuy	352.75097175499735	835			t u k u j	
imatachus	2.9571937751915947	7			i m a t a tʃ u s	
ñuqanchikpa	2.112281267993996	5			ɲ u q a n tʃ i k p a	
lliw	104.76915089250221	248			ʎ i w	
wikipidiyapaq	1.689825014395197	4			w i k i p i @ i j a p a q	
tiyananmi	1.689825014395197	4			t i j a n a n m i	
kaypipas	1561.8207695547608	3697			k a j p i p a s	
qhawariy	13.518600115161576	32			qʰ a w a ɾ i j	
allin	244.17971458010595	578			a ʎ i n	
qillqay	32.10667527350874	76			q i ʎ q a j	
debería	3.8021062823891927	9			@ i @ i ɾ @ a	
haber	9.294037579173583	22			h a @ i ɾ	
al	490.0492541746071	1160			a l	
menos	11.828775100766379	28			m i n u s	
tres	140.67793244840013	333			t ɾ i s	
frases	8.449125071975985	20			@ ɾ a s i s	
por	963.2002582052622	2280			p u ɾ	
cada	20.700356426341163	49			@ a @ a	
artículo	38.86597533108953	92			a ɾ t @ @ u l u	
biográfico	4.224562535987992	10			@ i u @ ɾ @ @ i @ u	
siendo	6.759300057580788	16			s i i n @ u	
unas	2.112281267993996	5			u n a s	
cien	8.871581325574784	21			@ i i n	
biografías	12.673687607963977	30			@ i u @ ɾ a @ @ a s	
completar	1.2673687607963977	3			@ u m p l i t a ɾ	
'se	2.112281267993996	5			@ s i	
usa	252.20638339848313	597			u s a	
pagina	4.647018789586792	11			p a @ i n a	
como	520.4661044337206	1232			@ u m u	
modelo	15.20842512955677	36			m u @ i l u	
todas	21.96772518713756	52			t u @ a s	
las	885.890763796682	2097			l a s	
'wikipidiya	3.8021062823891927	9			@ w i k i p i @ i j a	
runamanta	5.914387550383189	14			ɾ u n a m a n t a	
qillqakunapaq	7.181756311179587	17			q i ʎ q a k u n a p a q	
taki	190.52777037305844	451			t a k i	
kapchiqkuna	4.224562535987992	10			k a p tʃ i q k u n a	
músicos	4.224562535987992	10			m @ s i @ u s	
antonio	546.6583921568462	1294			a n t u n i u	
vivaldi	13.096143861562776	31			@ i @ a l @ i	
franz	113.2182759644782	268			@ ɾ a n @	
joseph	97.16493832772382	230			@ u s i pʰ	
haydn	9.294037579173583	22			h a j @ n	
frédéric	13.941056368760375	33			@ ɾ @ @ @ ɾ i @	
chopin	8.026668818377185	19			tʃ u p i n	
georg	23.657550201532757	56			@ i u ɾ @	
friedrich	52.8070316998499	125			@ ɾ i i @ ɾ i tʃ	
johann	46.470187895867916	110			@ u h a n n	
sebastian	24.924918962329155	59			s i @ a s t i a n	
bach	21.96772518713756	52			@ a tʃ	
ludwig	25.769831469526753	61			l u @ w i @	
van	117.02038224686738	277			@ a n	
beethoven	14.363512622359174	34			@ i i tʰ u @ i n	
piotr	2.9571937751915947	7			p i u t ɾ	
ilich	2.9571937751915947	7			i l i tʃ	
tchaikovsky	3.379650028790394	8			t tʃ a i k u @ s k j	
richard	136.45336991241214	323			ɾ i tʃ a ɾ @	
wagner	30.83930651271234	73			w a @ n i ɾ	
wolfgang	38.86597533108953	92			w u l @ @ a n @	
amadeus	19.010531411945966	45			a m a @ i u s	
mozart	25.769831469526753	61			m u @ a ɾ t	
félix	50.69475043185591	120			@ @ l i @	
mendelssohn	6.3368438039819885	15			m i n @ i l s s u h n	
bartholdy	1.2673687607963977	3			@ a ɾ tʰ u l @ j	
roald	3.8021062823891927	9			ɾ u a l @	
amundsen	3.8021062823891927	9			a m u n @ s i n	
jacques	37.17615031669433	88			@ a @ q u i s	
cartier	5.914387550383189	14			@ a ɾ t i i ɾ	
cristóbal	72.66247561899347	172			@ ɾ i s t @ @ a l	
colón	46.04773164226911	109			@ u l @ n	
james	168.9825014395197	400			@ a m i s	
cook	11.828775100766379	28			@ u u k	
hernán	22.81263769433516	54			h i ɾ n @ n	
cortés	19.432987665544765	46			@ u ɾ t @ s	
francis	43.51299412067632	103			@ ɾ a n @ i s	
drake	8.871581325574784	21			@ ɾ a k i	
vasco	26.614743976724352	63			@ a s @ u	
da	250.09410213048912	592			@ a	
gama	25.347375215927954	60			@ a m a	
edmund	11.828775100766379	28			i @ m u n @	
hillary	4.647018789586792	11			h i ʎ a ɾ j	
fernando	224.32427066096238	531			@ i ɾ n a n @ u	
magallanes	18.588075158347166	44			m a @ a ʎ a n i s	
marco	70.97265060459827	168			m a ɾ @ u	
polo	22.81263769433516	54			p u l u	
zheng	6.3368438039819885	15			@ h i n @	
he	36.331237809496734	86			h i	
francisco	439.77695999635	1041			@ ɾ a n @ i s @ u	
pizarro	50.69475043185591	120			p i @ a ɾ ɾ u	
diego	105.191607146101	249			@ i i @ u	
almagro	12.673687607963977	30			a l m a @ ɾ u	
tarina	2.5347375215927954	6			t a ɾ i n a	
kamaqkuna	1.2673687607963977	3			k a m a q k u n a	
yachaqkuna	24.924918962329155	59			j a tʃ a q k u n a	
científicos	4.224562535987992	10			@ i i n t @ @ i @ u s	
marie	51.9621191926523	123			m a ɾ i i	
charles	128.84915734763376	305			tʃ a ɾ l i s	
