Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
ruoŧagillii	345.9237655591142	116		r u o̯ θ a k i l l i j		
sverige	71.57043425360983	24		s v eː r iː k e		
dahjege	969.1829638509665	325		t a h j e k e		t a j̥ e k e
'ruoŧa	14.910507136168716	5		r u o̯ θ a		
gonagasriika	169.97978135232336	57		k o n a k a s r i j k a		
lea	27909.487257480603	9359		l e a̯		l e a̯
riika	530.8140540476063	178		r i jː k a		r i jː k a
eurohpás	122.26615851658346	41		e w r o h p aː s		
dat	3733.5909868966464	1252		t a h t		t a h t
gullá	867.7915153250192	291		k u lː l aː		
davviriikkaide	17.892608563402458	6		t a v v iː r i j k k a j t e		
ja	30438.309267774817	10207		j a		j a
skandinávias	17.892608563402458	6		s k a nː t iː n aː v i a s		
dan	5212.713294804583	1748		t a n		
rádjeriikkat	178.9260856340246	60		r aː ɟ ɟ e r i j k k a h t		
leat	11018.86477362868	3695		l e a̯ h t		l e a̯ h t
suopma	298.2101427233743	100		s u o̯ p m a		s u o̯ p m a
norga	265.40702702380315	89		n o rː k a		
ruoŧas	569.581372601645	191		r u o̯ θ a s		
maiddái	2039.7573762278803	684		m a jː t t aː j		m a jː t t aː j
dánmárkui	14.910507136168716	5		t aː n͡m aː rː k u j		
orrot	199.8007956246608	67		o r r o h t		
miljovnna	250.4965198876344	84		m i ʎ o v n n a		
olbmo	650.0981111369559	218		o lː p m o		
geográfalaččat	14.910507136168716	5		k e o̯ k r aː f a l a t t͡ʃ a h t		
viđat	20.8747099906362	7		v i ð a h t		
stuorimus	247.51441846040066	83		s t u o̯ r iː m u s		
ruoŧa	700.7938353999297	235		r u o̯ θ a		
oaivegávpot	724.6506468177996	243		o ɑ̯ jː v e k aː v p o h t		
stockholbma	32.80311569957117	11		s t o t͡s k h o lː p m a		
man	1344.9277436824182	451		m a n		
olmmošlohku	1485.086510762404	498		o l m m o ʃ l o h k uː		
statistihkalaš	11.928405708934973	4		s t a t i s t i h k a l a ʃ		
guovddášdoaimmahaga	5.964202854467486	2		k u o̯ vː t t aː ʃ t o ɑ̯ j m m a h a k a		
statistiska	5.964202854467486	2		s t a t i s t i s k a		
meroštallama	5.964202854467486	2		m e r o ʃ t a l l a m a		
mielde	2657.052371665265	891		m i e̯ lː t e		m i̯ e lː t e
namalassii	80.51673853531106	27		n a m a l a s s i j		
eanet	345.9237655591142	116		e a̯ n e h t		e̯ a n e h t
go	5024.840904888857	1685		k oː		k o
ássi	617.2949954373848	207		aː sː s iː		aː sː s iː
gávdnojit	328.03115699571174	110		k aː vː t n o j i h t		
lassin	581.5097783105799	195		l a s s iː n		
golbma	450.2973155122952	151		k o lː p m a		k o lː p m a
göteborg	11.928405708934973	4		k ø t e p o rː k		
malmö	17.892608563402458	6		m a l m ø		
uppsala	101.39144852594727	34		u p p s a l a		
sullii	1210.7331794568997	406		s u l l i j		s u l l i j
riikka	465.20782264846395	156		r i j k k a		
olbmuin	95.42724567147978	32		o lː p m u j n		
báikegottiin	5.964202854467486	2		p aː jː k e k o t t i j n		
dát	778.3284725080069	261		t aː h t		t aː h t
lohku	53.67782569020738	18		l o h k uː		l o h k uː
stuorru	35.785217126804916	12		s t u o̯ r r uː		
vuollegaš	35.785217126804916	12		v u o̯ l l e k a ʃ		
čoahkkisvuohta	26.83891284510369	9		t͡ʃ o ɑ̯ hː k iː s v u o̯ h t a		
njealjehaskilomehteris	5.964202854467486	2		ɲ e a̯ ʎ ʎ e h a s k i l o m e h t e r i s		
alit	95.42724567147978	32		a l iː h t		a l iː h t
lulli-ruoŧas	8.946304281701229	3		l u l l iː r u o̯ θ a s		
ruoŧŧa	253.47862131486815	85		r u o̯ θ θ a		r u o̯ θ θ a
konstitutionála	5.964202854467486	2		k o n s t iː t uː t i o n aː l a		
monarkiija	20.8747099906362	7		m o n a rː k i j j a		
parlamentáralaš	47.71362283573989	16		p a r l a m e n t aː r a l a ʃ		
demokratiija	26.83891284510369	9		t e m o k r a t i j j a		
miellahttu	65.60623139914235	22		m i e̯ l l a hː t uː		
ovttastuvvan	799.2031824986432	268		o v t t a s t u v v a n		
našuvnnain	8.946304281701229	3		n a ʃ uː v n n a j n		
jagi	4455.259532287212	1494		j a k iː		j a k iː
rájes	1085.4849195130826	364		r aː j e s		r aˑ j e s
eurohpá	381.7089826859191	128		e w r o h p aː		
uniovnnas	11.928405708934973	4		u n i o̯ v n n a s		
davvi-eurohpás	23.856811417869945	8		t a v v iː e w r o h p aː s		
nuortameara	14.910507136168716	5		n u o̯ rː t a m e a̯ r a		
oarjjábealde	11.928405708934973	4		o ɑ̯ r j j aː p e a̯ lː t e		
njárgga	14.910507136168716	5		ɲ aː rː k k a		
nuortaoassi	5.964202854467486	2		n u o̯ rː t a o̯ a s s iː		
dáinna	95.42724567147978	32		t aː j n n a		
lágiin	220.675505615297	74		l aː k i j n		
guhkes	187.87238991572582	63		k u h k e s		k u h k e s
riddu	68.58833282637609	23		r i dː d uː		r i dː d uː
oarjin	158.05137564338838	53		o ɑ̯ rː j iː n		
skánddat	23.856811417869945	8		s k aː nː t t a h t		
várreviđji	8.946304281701229	3		v aː r r e v i ð j iː		
mii	3939.3559853757747	1321		m i j		m i j
ráhkada	131.2124627982847	44		r aː h k a t a		
norgga	2346.913823232956	787		n o rː k k a		
riikaráji	8.946304281701229	3		r i jː k a r aː j iː		
riikarádji	5.964202854467486	2		r i jː k a r aː ɟ ɟ iː		
gaskkas	459.24361979399646	154		k a sː k a s		k a s k a s
guhkimus	44.73152140850615	15		k u h k iː m u s		k u h k iː m u s
dánmárku	110.3377528076485	37		t aː n͡m aː rː k uː		
meara	38.76731855403866	13		m e a̯ r a		m e a̯ r a
bokte	405.5657941037891	136		p o kː t e		p o kː t e
dánmárkku	125.2482599438172	42		t aː n͡m aː r k k uː		
dehálaš	241.55021560593318	81		t e h aː l a ʃ		t e h aː l a ʃ
oktavuohta	56.65992711744112	19		o kː t a v u o̯ h t a		
eará	2150.0951290355288	721		e a̯ r aː		e a̯ r aː
riikkaide	14.910507136168716	5		r i j k k a j t e		
alimus	235.58601275146572	79		a l iː m u s		a l iː m u s
báiki	128.23036137105095	43		p aː jː k iː		p aː jː k iː
giebmegáisi	5.964202854467486	2		k i e̯ p m e k aː j s iː		
vuolimus	32.80311569957117	11		v u o̯ l iː m u s		
jávri	89.4630428170123	30		j aː vː r iː		j aː vː r iː
eanangotti	98.40934709871352	33		e a̯ n a ŋː k o t t iː		
landskap	5.964202854467486	2		l a nː t͡s k a p		
muhto	2087.47099906362	700		m uː h t o		m u h t o
dán	858.845211043318	288		t aː n		
dušše	852.8810081888505	286		t u ʃ ʃ e		t u ʃ ʃ e
kultuvrralaš	56.65992711744112	19		k u lː t u v r r a l a ʃ		
historjjálaš	122.26615851658346	41		h i sː t o r j j aː l a ʃ		
geográfalaš	23.856811417869945	8		k e o̯ k r aː f a l a ʃ		
vuođđu	71.57043425360983	24		v u o̯ ð ð uː		v u o̯ ð ð uː
poláragierddu	14.910507136168716	5		p o l aː r a k i e̯ rː t t uː		
davábealde	65.60623139914235	22		t a v aː p e a̯ lː t e		
vuovdi	44.73152140850615	15		v u o̯ vː t iː		v u o̯ vː t iː
gokčá	77.53463710807732	26		k o kː t͡ʃ aː		
viidodagas	38.76731855403866	13		v i jː t o t a k a s		
leanat	92.44514424424604	31		l e a̯ n a h t		
stockholmma	53.67782569020738	18		s t o t͡s k h o l m m a		
leatna	1672.9589006781298	561		l e a̯ t n a		
c	241.55021560593318	81		t͡s		
d	247.51441846040066	83		t͡s eː		
södermanlándda	68.58833282637609	23		s ø t e r m a n l aː nː d d a		
e	423.45840266719154	142		eː		
östergötlándda	53.67782569020738	18		ø s t e rː k ø t l aː nː t t a		
jönköpinga	104.37354995318101	35		j ø ŋ k ø p i ŋ k a		
g	304.1743455778418	102		k eː		
kronobergga	357.8521712680492	120		k r o n o p e rː k k a		
kalmara	32.80311569957117	11		k a lː m a r a		
i	2138.166723326594	717		iː		
gotlándda	14.910507136168716	5		k o t l aː nː t t a		
blekinge	14.910507136168716	5		p l eː k iː ŋ k e		
skåne	14.910507136168716	5		s k oː n e		
n	307.15644700507556	103		n		
hallándda	14.910507136168716	5		h a l l aː nː t t a		
o	429.422605521659	144		o		
oarje-götalándda	11.928405708934973	4		w ɑ ɑ̯ r j eː k o t a l aː nː d a		
värmlándda	20.8747099906362	7		v e r m l aː nː t t a		
t	280.31753415997184	94		t		
örebro	32.80311569957117	11		ø r eː p r o		
u	316.10275128677677	106		uː		
västmanlándda	77.53463710807732	26		v e s t m a n l aː nː t t a		
w	146.1229699344534	49		v uː		
dalarna	41.7494199812724	14		t a l a r n a		
x	250.4965198876344	84		k s		
gävleborgga	20.8747099906362	7		k e vː l e p o rː k k a		
y	328.03115699571174	110		iː		
oarje-norrlándda	47.71362283573989	16		w a ɾ j e n o r r l aː nː t a		
z	235.58601275146572	79		t͡s		
jämtlándda	71.57043425360983	24		j æ m t l aː nː t t a		
ac	8.946304281701229	3		a t͡s		
västerbottena	113.31985423488224	38		v e s t e rː p o t t e n a		
bd	5.964202854467486	2		bː t		
norrbottena	110.3377528076485	37		n o r r p o t t e n a		
máilmmi	650.0981111369559	218		m aː j l m m iː		
riikkat	512.9214454842038	172		r i j k k a h t		r i j k k a h t
gieldat	32.80311569957117	11		k i e̯ lː t a h t		
kategoriija	13899.574752336477	4661		k a t e k o r i j j a		
davviriikkat	32.80311569957117	11		t a v v iː r i j k k a h t		
'norga	5.964202854467486	2		n o rː k a		
'norgga	56.65992711744112	19		n o rː k k a		
girjedárogillii	14.910507136168716	5		k i r j e t aː r o k i l l i j		
kongeriket	14.910507136168716	5		k o ŋː k e r iː k e h t		
norge	89.4630428170123	30		n o rː k e		
ođđadárogillii	17.892608563402458	6		o ð ð a t aː r o k i l l i j		
noreg	131.2124627982847	44		n o r e k		
stáhta	339.9595627046467	114		s t aː h t a		
norggas	447.3152140850615	150		n o rː k k a s		
eananrádji	14.910507136168716	5		e a̯ n a n r aː ɟ ɟ iː		
nuortan	44.73152140850615	15		n u o̯ rː t a n		
ruoŧain	20.8747099906362	7		r u o̯ θ a j n		
lullin	193.8365927701933	65		l uː l l iː n		
suomain	5.964202854467486	2		s u o̯ m a j n		
finnmárkku	524.8498511931388	176		f i n n͡m aː r k k uː		
nuortaoasis	11.928405708934973	4		n u o̯ rː t a o̯ a s i s		
maid	3405.559829900935	1142		m a j t		m a j t
ruoššain	11.928405708934973	4		r u o̯ ʃ ʃ a j n		
davviriikkaid	53.67782569020738	18		t a v v iː r i j k k a j t		
goalmmádin	50.695724262973634	17		k o ɑ̯ l m m aː t i n		
stuorámus	855.8631096160842	287		s t u o̯ r aː m u s		
viidodaga	77.53463710807732	26		v i jː t o t a k a		
ektui	241.55021560593318	81		e kː t u j		
njealjádin	17.892608563402458	6		ɲ e a̯ ʎ ʎ aː t i n		
olmmošlogu	59.642028544674865	20		o l m m o ʃ l o k u		
vuođđuduvvui	295.2280412961406	99		v u o̯ ð ð uː t u v v u j		
guovtte	62.6241299719086	21		k u o̯ vː t t e		
álbmoga	80.51673853531106	27		aː lː p m o k a		
guvlui	286.28173701443933	96		k u vː l u j		
dáža	539.7603583293075	181		t aː t͡ʃ a		t aː t͡ʃ a
sámi	3325.0430913656237	1115		s aː m iː		s aː m iː
norgii	41.7494199812724	14		n o rː k i j		
gullet	670.9728211275922	225		k uː l l e h t		k uː lː l e h t
svalbárda	17.892608563402458	6		s v a lː p aː r t a		
jan	161.03347707062213	54		j a n		
mayen	23.856811417869945	8		m a j e n		
bjørnøya	11.928405708934973	4		p j ø r n œ j a		
gávpot	1640.1557849785586	550		k aː v p o h t		k aː vː p o h t
oslo	289.2638384416731	97		o sː l o		
kárta	125.2482599438172	42		k aː rː t a		kʰ aː rː t a
skagerrak	8.946304281701229	3		s k a k e r r a k		
davvin	196.81869419742705	66		t a v v iː n		
stuorra	527.8319526203725	177		s t u o̯ r r a		s t u o̯ rː r a
gávpogat	310.1385484323093	104		k aː vː p o k a h t		
bergen	38.76731855403866	13		p e rː k e n		
trondheim	17.892608563402458	6		t r o nː t h e j m		
stavanger	44.73152140850615	15		s t a v a ŋː k e r		
kristiansand	20.8747099906362	7		k r i s t i a̯ n s a n t		
romsa	83.4988399625448	28		r o mː s a		
viidodat	1312.124627982847	440		v i jː t o t a h t		
várit	89.4630428170123	30		v aː r iː h t		
váldooassi	44.73152140850615	15		v aː lː t o o̯ a s s iː		
várri	152.0871727889209	51		v aː r r iː		v aː r r iː
galdhøpiggen	11.928405708934973	4		k a lː t h ø p i kː ɡ e n		
historjá	98.40934709871352	33		h i sː t o rː j aː		
ovtta	453.27941693952897	152		o v t t a		
