Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
u	41143.99571951615	2949345	u	u		u
je	34449.97128697077	2469494	j e	jː		j e
i	24744.16527042456	1773748	i	i		i
se	13582.082400151165	973611	s e	sː		s e
od	10158.211476464907	728176	o d	d		ô d
kategorija	8881.557586102293	636661	k a t e g o r i j a	k a t e ɡ r i j a		k a t e ɡ ǒ r i j a
iz	6521.585829706801	467490	i z	z		i z
godine	6342.283721278339	454637	g o d i n e	ɡ d i n e		
za	6207.468847252613	444973	z a	zː		z a
stanovnika	5771.413038861043	413715	s t a n o v n i k a	s t n oː ʋ n i k a		
da	5696.319033596093	408332	d a	dː		
naselje	5659.811321952329	405715	n a s e ʎ e	nː s e ʎ e		n ǎː s eː ʎ e
prema	4047.7524216351926	290157	p r e m a	p r m a		p r ê m a
kao	3824.5908384616064	274160	k a o	k o		k â o
the	3813.542268487644	273368	t x e	t x		
sa	3768.1622203496386	270115	s a	sː		
of	3728.1251044086375	267245	o f	f		
nalazi	3677.988033087398	263651	n a l a z i	nː l a z i		
opštini	3450.278679949782	247328	o p ʃ t i n i	p ʃ t i n iː		
koji	3427.972286782653	245729	k o j i	k j iː		k ǒ j iː
naselja	3223.880646985843	231099	n a s e ʎ a	nː s e ʎ a		
meksiku	2985.917886107239	214041	m e k s i k u	m k s i k u		
visini	2899.3986550737595	207839	v i s i n i	ʋː s i n iː		
nadmorskoj	2879.477748605554	206411	n a d m o r s k o j	n d m o r s k o j		
živelo	2867.5782155401625	205558	ʒ i v e l o	ʒ ʋ e l o		
and	2753.088804206436	197351	a n d	n d		
naselju	2613.781961075135	187365	n a s e ʎ u	nː s e ʎ u		
proceni	2501.789638157241	179337	p r o t͡s e n i	p r t͡s e n iː		
gradova	2489.2344450050105	178437	g r a d o v a	ɡ r d o ʋ a		
do	2414.5310457492405	173082	d o	dː		d ôː
državi	2393.4801718973345	171573	d r ʒ a v i	d ʒ a ʋ i		
saveznoj	2268.0537923065544	162582	s a v e z n o j	sː ʋ e z n o j		
italy	2202.0832273988913	157853	i t a l y	t aː l i		
color	2175.2011638385047	155926	t͡s o l o r	k l oː r		
from	2103.1901560031574	150764	f r o m	f rː m		
što	2101.990437546389	150678	ʃ t o	ʃ t		ʃ t ô
bio	2079.614293306192	149074	b i o	b o		b î o
history	1991.7697918844208	142777	x i s t o r y	x s t o r i		
ili	1881.5212457932255	134874	i l i	l i		î l i
spisak	1852.169994246234	132770	s p i s a k	s p s a k		s p î s a k
koja	1833.2395530155934	131413	k o j a	k j a		k ǒ j aː
popis	1782.600273968265	127783	p o p i s	p p i s		p ǒ p i s
o	1775.053207862313	127242	o	o		o
sad	1675.323123589764	120093	s a d	sː d		s âː d
te	1633.0958239544298	117066	t e	t		
to	1596.5741620960532	114448	t o	tː		t ôː
meksiko	1556.8718513057784	111602	m e k s i k o	m k s i k o		
nakon	1556.6765483011882	111588	n a k o n	nː k o n		n ǎ k o n
koje	1553.0913431454958	111331	k o j e	k j e		k ǒ j eː
meksika	1517.4485448077755	108776	m e k s i k a	m k s i k a		
provinciji	1505.0189035870676	107885	p r o v i n t͡s i j i	p r ʋ iː n t͡s i j iː		
administrativna	1499.536469243927	107492	a d m i n i s t r a t i v n a	a d m i n i s t r t iː ʋ n a		
podjela	1494.6120434853299	107139	p o d j e l a	p d j e l a		p ô d j e l a
italian	1469.9480640485044	105371	i t a l i a n	i t l i a n		
opština	1380.3597858000346	98949	o p ʃ t i n a	o p ʃ t n a		ô p ʃ t i n a
by	1309.1718406268892	93846	b y	bː		
blue	1288.4697221403228	92362	b l u e	b l e		
jezik	1283.5034457378852	92006	j e z i k	j z i k		j ě z i k
points	1264.7683075118348	90663	p o i n t s	p i n t͡s		
in	1231.6923486630149	88292	i n	n		
broj	1192.4503949549885	85479	b r o j	b rː j		b r ôː j
broju	1189.9393563245426	85299	b r o j u	b rː j u		
at	1133.3293854225976	81241	a t	t		
država	1112.0553081368741	79716	d r ʒ a v a	d r ʒ a ʋ a		d ř ʒ a ʋ a
romania	1086.9867724762544	77919	r o m a n i a	r o m n i a		
ne	1085.7591535902586	77831	n e	n		n e
francuske	1074.2223261048205	77004	f r a n t͡s u s k e	f r n t͡s u s k eː		
oko	1054.1061166320249	75562	o k o	k o		ô k o
bi	1050.9254677001265	75334	b i	bː		
nije	1048.5120805719755	75161	n i j e	n i jː		
kako	1030.3768015743096	73861	k a k o	k k o		k ǎ k o
godina	1025.103620450373	73483	g o d i n a	ɡ d i n a		ɡ ô d i n a
galaksija	1005.1827139821676	72055	g a l a k s i j a	ɡ a l k s i j a		
kod	999.0306693375747	71614	k o d	k d		k ôː d
grad	997.2171414378082	71484	g r a d	ɡ rː d		ɡ r âː d
bila	987.3264392767735	70775	b i l a	b l a		
ima	961.0860855886123	68894	i m a	m a		
ic	940.4676683897275	67416	i t͡s	t͡s		
zbog	924.285419437964	66256	z b o g	z b ɡ		z b ô ɡ
ga	902.690487216128	64708	g a	ɡː		
ngc	895.8827824846965	64220	n g t͡s	n ɡ t͡s		
gradovi	892.7997850550933	63999	g r a d o v i	ɡ r d o ʋ iː		
okrugu	884.4436065015533	63400	o k r u g u	o k rː ɡ u		
popisu	860.0446811423859	61651	p o p i s u	p p i s u		
više	851.0188922873937	61004	v i ʃ e	ʋ ʃ e		ʋ î ʃ eː
pod	826.5920664989991	59253	p o d	pː d		p ô d
regiji	820.7608767905188	58835	r e g i j i	rː ɡ i j iː		
italiji	814.162425278291	58362	i t a l i j i	i tː l i j iː		
united	808.3870364282652	57948	u n i t e d	u n t eː d		
italijanski	807.1454673276558	57859	i t a l i j a n s k i	i t a l j aː n s k iː		i t a l ǐ j aː n s k iː
national	798.1057282580499	57211	n a t i o n a l	n a t i n aː l		
states	794.1159668785634	56925	s t a t e s	s t t e s		
list	776.9990535476895	55698	l i s t	l s t		l îː s t
države	767.2478535327907	54999	d r ʒ a v e	d r ʒ a ʋ e		
maps	756.2132337734416	54208	m a p s	m p s		
prvi	751.3446088732991	53859	p r v i	p rː ʋ iː		
stanovništva	749.1544251789655	53702	s t a n o v n i ʃ t v a	s t a n ʋ n iː ʃ t ʋ a		
on	740.6866449085169	53095	o n	o n		ôː n
sve	740.1565367532005	53057	s v e	s ʋ		s ʋ ê
cia	739.8635822463152	53036	t͡s i a	t͡s a		
italijani	739.1242208717949	52983	i t a l i j a n i	i t l i j a n iː		
documents	736.0551736568053	52763	d o t͡s u m e n t s	d o t͡s m e n t͡s		
factbook	735.4134637845802	52717	f a t͡s t b o o k	f a t͡s t b o k		
