Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
je	37983.078451119174	2457168		jː		j ɛ́
in	26805.609789769765	1734085		n		
so	10944.917434807863	708039		sː		s ɔ́
se	9860.889259875732	637912		sː		s ɛ
za	9322.160012587818	603061		zː		z a
ki	9286.436409520978	600750		kː		k i
kategorija	7812.97304113889	505430		k a t ɛ ɡː r i j a		k a t ɛ ɡ ɔ r íː j a
leta	7192.656092861458	465301		lː t a		
z	6483.996266381092	419457		z		z
kot	5118.05924284233	331093		kː t		k ɔ t
da	5011.924124427396	324227		zː		
pa	4591.820117267094	297050		pː		p a
tudi	4233.687518455971	273882		tː d i		t úː d i
iz	4187.916168961853	270921		s		i s
od	3841.9799885063057	248542		ɔ t		
bil	3837.265276721197	248237		bː l		
med	3086.157586103429	199647		mː t		m ɛ t
pri	3075.1359811762736	198934		p rː		p r i
do	2943.417754550342	190413		zː		d ɔ
bila	2777.490815857378	179679		bː l a		
ga	2059.4324819496487	133227		ɡː		
mba	1832.090625478862	118520		m bː		
bi	1777.8791689858283	115013		bː		
ko	1755.3567589172937	113556		kː		k ɔ
še	1659.3003030724942	107342		ʃː		ʃ ɛ́
ni	1637.5817127181422	105937		nː		
o	1607.9331317219521	104019		ɔ		
lahko	1605.18159500802	103841		lː x k ɔ		l a x k óː
to	1534.0435503028755	99239		tː		t óː
tako	1523.408397161385	98551		tː k ɔ		t a k óː
ter	1506.2499378778755	97441		tː r		
sta	1496.6659335933928	96821		s tː		s t á
the	1429.4696971020273	92474		tː		
bilo	1390.329860249914	89942		bː l ɔ		
zaradi	1369.2759669669051	88580		z a rː d i		
seznam	1360.897692253696	88038		s ɛ z nː m		s ɛ z n áː m
več	1348.9640611123723	87266		ʋː t͡ʃ		ʋ ɛ́ t͡ʃ
ne	1334.2170609714103	86312		nː		n ɛ́
del	1247.4818221968414	80701		dː ʋ		d éː ʋ
mesto	1235.6100233412242	79933		mː s t ɔ		m èː s t ɔ
jih	1199.9327944886659	77625		jː x		
nova	1167.177141135732	75506		nː ʋ a		
pod	1166.7597732072143	75479		pː t		p ɔ́ t
jo	1165.2139660645557	75379		jː		
of	1128.8874982120808	73029		ɔ f		
kjer	1115.5317244995113	72165		k jː r		k j éː r
tem	1094.6014957879152	70811		t ɛ m		
slovenski	1030.9451576532379	66693		s l ɔ ʋː n s k i		s l ɔ ʋ èː n s k i
ima	983.3961299450622	63617		m a		
mehika	981.1237934453542	63470		m ɛ xː k a		
linear	969.6384463754015	62727		l i nː a r		
socorro	963.3160951619282	62318		s ɔ t͡sː r ɔ		
pred	951.8152900205489	61574		p rː t		p r ɛ t
bili	947.0232878783075	61264		bː l i		
kar	927.855279309342	60024		kː r		
vendar	889.3492233857186	57533		ʋ ɛː n d a r		ʋ ə́ n d a r
le	864.8327221031548	55947		l ɛ		l ɛ́
stoletja	815.0731901809773	52728		s t ɔ lː t j a		
proti	809.4464521817005	52364		p rː t i		
ta	794.8385746835776	51419		tː		t áː
št	791.283218255463	51189		ʃ ə t		
že	786.6148806846343	50887		ʒː		ʒ ɛ́
letih	750.7057807606772	48564		l ɛ tː x		
color	747.2740889039753	48342		k ɔː l ɔ r		
let	745.233623475666	48210		l ɛ t		l ɛ́ t
ime	718.1356242648625	46457		m ɛ		i m éː
prvi	714.5493516938947	46225		p ə r ʋ i		p ə́ r ʋ i
veliko	705.2745088379437	45625		ʋ ɛ lː k ɔ		ʋ ɛ l ìː k ɔ
vse	704.331566480922	45564		ʋ sː		
vojne	680.263349269729	44007		ʋː j n ɛ		
slika	677.8209739843286	43849		s lː k a		s l íː k a
saj	658.0037264154465	42567		sː j		
tega	655.2831058443676	42391		tː ɡ a		
druge	652.7634402018342	42228		d rː ɡ ɛ		
naj	650.011903487902	42050		n j		
okoli	646.3328824883748	41812		ɔ kː l i		
drugi	636.2696779896679	41161		d rː ɡ i		d r úː ɡ i
ljubljana	631.4467597045734	40849		l jː b l j a n a		
zelo	625.1553246339532	40442		zː l ɔ		z ɛ l óː
nekaj	612.0314219927825	39593		nː k a j		n éː k a j
nato	589.3544312099823	38126		nː t ɔ		
zato	588.9988955671707	38103		zː t ɔ		
mesta	587.8549982816035	38029		mː s t a		
strani	585.9691135675602	37907		s t rː n i		
svoje	582.2746344966063	37668		s ʋː j ɛ		
stoletju	579.8168011397793	37509		s t ɔ lː t j u		
september	578.9356910684639	37452		s ɛ p tː m b ə r		s ɛ p t ɛ̀ː m b ə r
času	577.9000002828827	37385		t͡ʃː s u		
mu	573.4635337834528	37098		mː		
ker	570.0782161410307	36879		kː r		k ɛ r
pr	569.7072224267927	36855		p ə r		
naselje	562.3028062134583	36376		n a sː l j ɛ		
ii	556.7224424284611	36015		iː i		
nad	554.2646090716341	35856		n t		n a t
kasneje	552.4405566432971	35738		k a s nː j ɛ		
and	547.153896215405	35396		a n t		
slovenije	543.4748752158778	35158		s l ɔ ʋː n i j ɛ		
postal	540.0740995020291	34938		p ɔ s tː l		
zda	528.52692014637	34191		z dː		
