Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
kwaziwai	3.4218333498721947	4	k w a z i w a i			
duramazwi	76.13579203465633	89	d u r a m a z w i			
re	1205.3407974924805	1409	r e			
mahara	23.952833449105363	28	m a h a r a			
munhu	1587.7306743406982	1856	m u n h u			
anogona	100.08862548376169	117	a n o ɡ o n a			
kuuya	58.17116694782731	68	k u u j a			
achiwedzera	3.4218333498721947	4	a t͡ʃ i w e d͡z e r a			
ruzivo	94.10041712148535	110	r u z i ʋ o			
kana	14851.612196782793	17361	k a n a			
kushandura	30.796500148849752	36	k u ʃ a n d u r a			
mazanhi	3.4218333498721947	4	m a z a n h i			
emimwe	12.83187506202073	15	e m i m w e			
mitauro	5368.0010676120055	6275	m i t a u r o			
kuisa	51.32750024808292	60	k u i s a			
muchishona	94.10041712148535	110	m u t͡ʃ i ʃ o n a			
parizvino	63.3039169726356	74	p a r i zʷ i n o			
tine	15.398250074424876	18	t i n e			
zvinyorwa	99.23316714629364	116	zʷ i ɲ o r w a			
zvakanyorwa	17.96462508682902	21	zʷ a k a ɲ o r w a			
ne	1728.8813000229263	2021	n e			
chishona	464.5138772451504	543	t͡ʃ i ʃ o n a			
kuona	98.37770880882559	115	k u o n a			
wikipedhiya	1.7109166749360973	2	w i k i p e d̤ i j a			
yedu	30.796500148849752	36	j e d u			
here	164.24800079386534	192	h e r e			
pano	4154.961145082312	4857	p a n o			
taramhenyu	7.699125037212438	9	t a r a m̤ e ɲ u			
chinamato	67.58120865997584	79	t͡ʃ i n a m a t o			
masvomhu	52.18295858555096	61	m a sʷ o m̤ u			
nhoroondo	136.01787565741972	159	n h o r o o n d o			
tarachisi	9.410041712148535	11	t a r a t͡ʃ i s i			
nzanga	42.77291687340243	50	n z a ŋ ɡ a			
mutauro	738.260545234926	863	m u t a u r o			
useza	26.519208461509507	31	u s e z a			
sainzi	35.07379183619	41	s a i n z i			
ruambarueza	14.542791736956827	17	r u a m b a r u e z a			
uvaki	10.265500049616584	12	u ʋ a k i			
file	475.634835632235	556	f i l e			
