Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
deh-e	1.4977527891826987	403	d eː h - eː	z e h e		
agromyza	2.1704407664583028	584	ɐ ɡ r uː m yː s ɑː	a ɡ r o m ɨ z a		
cerodontha	3.1627484456438624	851	s eː r uː d ɔ n t h ɑː	k e r o d o n θ a		
chromatomyia	1.2264476933754107	330	ɧ r uː m ɑː t uː m yː iː ɑː	χ r o m a t o m j i a		
melanagromyza	4.110458026888498	1106	m eː l ɑː n ɐ ɡ r uː m yː s ɑː	m e l a n a ɡ r o m ɨ z a		
ophiomyia	3.0921347905707326	832	ɔ p h iː uː m yː iː ɑː	o f i o m y i a		
phytobia	1.066637842420433	287	p h yː t uː b iː ɑː	f ə t o b i a		
phytoliriomyza	1.2933448402867969	348	p h yː t uː l iː r iː uː m yː s ɑː	f ə t o l i r i o m ə z a		
phytomyza	6.57450293812455	1769	p h yː t uː m yː s ɑː	f ə t o m ə z a		
pseudonapomyza	1.0963699077143825	295	p s eː ʉː d uː n ɑː p uː m yː s ɑː	p s e w d o n a p o m ɨ z a		
dacnusa	1.7839239176369612	480	d ɐ k n ʉː s ɑː	d a k n ɨ s a		
dohrniphora	2.575540156088363	693	d ɔ h r n ɪ p h uː r ɑː	d o r n i f o r a		
megaselia	17.5233359826214	4715	m eː ɡ ɑː s eː l iː ɑː	m e ɡ a s e l i a		
melaloncha	1.8545375727100908	499	m eː l ɑː l ɔ n ɧ ɑː	m e l a l o n t͡ʃ a		
puliciphora	1.2747622994780785	343	p ʉː l iː s ɪ p h uː r ɑː	p u l i s i f o r a		
triphleba	1.1149524485231008	300	t r ɪ p h l eː b ɑː	t r i f l e b a		
linchang	1.0369057771264836	279	l ɪ n ɧ ɐ ŋ	l i n t͡ʃ a ŋ		
tolmie	1.0777873669056641	290	t ɔ l m iː eː	t o l m i		
albitarsis	1.3639584953599266	367	ɐ l b iː t ɐ r s iː s	a l b i t a r s i s		
'cissus	1.0257562526412527	276	' s ɪ s ʉː s	s i s y		
dicranella	1.32679341374249	357	d ɪ k r ɑː n ɛ l ɑː	d i k r a n ɛ ɬ a		
albolineata	1.166983562787512	314	ɐ l b uː l iː n eː ɑː t ɑː	a l b o l i n a t a		
stigmatica	1.4011235769773633	377	s t ɪ ɡ m ɑː t iː k ɑː	s t i ɡ m a t i k a		
sheykh	1.4940362810209549	402	s h eː ʏ k h	ʃ e j x		
tropicus	1.2264476933754107	330	t r uː p iː k ʉː s	t r o p i k u s		
phyllanthus	10.766724144571409	2897	p h ʏ l ɐ n t h ʉː s	f ə ɬ a n θ ɪ̈ s		
dendropsophus	1.0257562526412527	276	d ɛ n d r ɔ p s ɔ p h ʉː s	d ɛ n d r ɔ p s ɔ f y s		
bombylius	3.79827134130203	1022	b ɔ m b yː l iː ʉː s	b o m b ə l j u s		
amyema	1.0480553016117147	282	ɑː m yː eː m ɑː	a m j e m a		
psittacanthus	1.4866032646974676	400	p s ɪ t ɑː k ɐ n t h ʉː s	p s i t a k a n θ u s		
struthanthus	1.2078651525666924	325	s t r ɵ t h ɐ n t h ʉː s	s t r ɨː θ a n θ ɪ̈ s		
'saknade	2.4082972888098975	648	' s ɐ k n ɑː d eː	s a k n a d		
eublemma	2.7539325478520587	741	eː ɵ b l ɛ m ɑː	e u b l m a		
brullé	1.1149524485231008	300	b r ɵ l eː	b r ʏ l e		
chevrolat	1.7467588360195245	470	ɧ ɛ v r uː l ɑː t	ʃ e v r o l a t		
onosma	2.8691443008661124	772	uː n ɔ s m ɑː	o n o s m a		
fikonsteklar	5.128781263206263	1380	f iː k ɔ n s t ɛ k l ɑː r	f i k ɔ n s t e k l a r		
giglio-tos	2.6907519091024166	724	j ɪ ɡ l iː uː - t uː s	ɡ i ɡ l i ɔ t o s		
stackelbergi	1.6538461319759328	445	s t ɑː k ɕ ɛ l b ɛ r j iː	s t a k e l b ɛ r ɡ i		
fwv	1.1744165791109995	316	f v v	v e v e		
marumba	1.3193603974190025	355	m ɑː r ɵ m b ɑː	m a r u ɓ a		
bredlårsteklar	7.6783058621624205	2066	b r ɛ d l ɔ r s t ɛ k l ɑː r	b r e d l o r s t e k l a r		
pictipes	1.2636127749928474	340	p ɪ k t iː p eː s	p i k t i p e s		
fuscicornis	1.3193603974190025	355	f ɵ s iː k ɔ r n iː s	f u ʃ i k ɔ r n i s		
'drosophila	6.147104499524029	1654	' d r uː s ɔ p h iː l ɑː	d r o s o f i l a		
mikania	1.7058772462403442	459	m iː k ɑː n iː ɑː	m i k a n i a		
obscuripennis	1.3416594463894644	361	ɔ b s k ʉː r iː p ɛ n iː s	ɔ p s k ʏ r ɪ p e n ɪ s		
bequaerti	1.8136559829309105	488	b eː q ʉː ɑː ɛ r t iː	b e k v a ɛ r t i		
iridescens	1.349092462712952	363	iː r iː d ɛ s ɛ n s	i r i d e s n s		
'megachile	5.57104573445376	1499	' m eː ɡ ɐ ɧ iː l eː	m e ɡ a t͡ʃ i l		
varipes	2.404580780648154	647	v ɑː r iː p eː s	v a r i p e s		
fuscipennis	3.9246326188013145	1056	f ɵ s iː p ɛ n iː s	f u s t͡ʃ i p e n i s		
fenestrata	2.4417458622655905	657	f eː n ɛ s t r ɑː t ɑː	f e n e s t r a t a		
káto	1.7244597870490626	464	k ɑː ́ t uː	k a t o		
hydropsyche	2.9174589069687804	785	h ʏ d r ɔ p s ʏ ɧ eː	h ə d r ɔ p s ə χ e		
halictus	1.222731185213667	329	h ɑː l ɪ k t ʉː s	h a l i k t u s		
bivittata	2.2187553725609703	597	b iː v ɪ t ɑː t ɑː	b i v i t a t a		
'ejido	1.1186689566848445	301	' eː j iː d uː	e ʄ i d o		
flavicornis	2.9137423988070363	784	f l ɑː v iː k ɔ r n iː s	f l a v i k ɔ r n i s		
millidge	1.9883318665328629	535	m ɪ l ɪ j eː	m i l i d͡ʒ		
lyneborg	1.3119273810955152	353	l yː n eː b ɔ r ɡ	l ə n ə b ɔ r ɡ		
bezzi	5.645375897688633	1519	b ɛ z iː	b e z i		
kostermans	4.20337073093209	1131	k ɔ s t ɛ r m ɐ n s	k ɔ s t ə r m a n s		
bembidion	4.560155514459482	1227	b ɛ m b iː d iː uː n	b e m b i d j o n		
darlingtoni	1.0963699077143825	295	d ɐ r l ɪ ŋ t uː n iː	d a r l i ŋ t o n i		
ceraclea	1.449438183080031	390	s eː r ɐ k l eː ɑː	k e r a k l e a		
liolaemus	2.0180639318268123	543	l iː uː l ɑː eː m ʉː s	l i o l e m u s		
eriogonum	2.906309382483549	782	eː r iː uː ɡ uː n ʉː m	e r i o ɡ o n u m		
baccharis	1.7913569339604485	482	b ɐ k ɧ ɑː r iː s	b a k a r i s		
ashmead	6.537337856507114	1759	ɐ s h m eː ɑː d	a ʃ m e a d		
chlorops	3.1404493966734	845	ɧ l uː r ɔ p s	k l o r o p s		
femorata	1.8025064584456796	485	f eː m uː r ɑː t ɑː	f e m o r a t a		
pleuralis	1.2524632505076165	337	p l eː ʉː r ɑː l iː s	p l ø r a l i s		
zapotal	1.2673292831545913	341	s ɑː p uː t ɑː l	z a p o t a l		
sabellidae	2.0477959971207618	551	s ɑː b ɛ l iː d ɑː eː	s a b e l i d a e		
serpulidae	2.504926501015233	674	s ɛ r p ʉː l iː d ɑː eː	s e r p u l i d a e		
spionidae	2.081244570576455	560	s p iː uː n iː d ɑː eː	s p i o n i d a e		
ampharetidae	1.0480553016117147	282	ɐ m p h ɑː r eː t iː d ɑː eː	a m f a r e t i d a e		
tachina	3.50466719652428	943	t ɐ ɧ iː n ɑː	t a t͡ʃ i n a		
phasia	1.7021607380786004	458	p h ɑː s iː ɑː	f a s i a		
sarcophaga	10.922817487364643	2939	s ɐ r k ɔ p h ɑː ɡ ɑː	s a r k o f a ɡ a		
rohdendorf	1.3788245280069011	371	r ɔ h d ɛ n d ɔ r f	r o d e n d ɔ r v		
oeneis	1.8099394747691668	487	uː eː n eː iː s	w e n e i s		
coelorinchus	1.3528089708746955	364	k uː eː l uː r ɪ n ɧ ʉː s	k o e l o r i n k ɨ s		
oxyopes	3.2036300354230427	862	uː k s yː uː p eː s	ɔ k s j o p e s		
cinara	2.8059636621164703	755	s iː n ɑː r ɑː	k i n a r a		
'gentiana	1.505185805506186	405	' j ɛ n t iː ɑː n ɑː	d͡ʒ e n t i a n a		
bladmossart	52.536559374408505	14136	b l ɐ d m ɔ s ɐ r t	b l a d m ɔ s a r t		
lasioglossum	8.793258310685522	2366	l ɑː s iː ɔ ɡ l ɔ s ʉː m	l a s j o ɡ l ɔ s ʏ m		
cockerelli	1.3528089708746955	364	k uː k ɕ eː r ɛ l iː	k ɔ k e r ɛ l i		
provinsparker	3.523249737332998	948	p r uː v ɪ n s p ɑː r ɕ eː r	p r o v i n s p a r k e r		
evenhuis	1.8508210645483472	498	eː v ɛ n h ʉː iː s	e v e n h u i s		
femoratus	1.3193603974190025	355	f eː m uː r ɑː t ʉː s	f e m o r a t u s		
xylotrechus	2.044079488959018	550	k s yː l ɔ t r ɛ ɧ ʉː s	k s i l ɔ t r e k i s		
chlorophorus	2.627571270352774	707	ɧ l uː r ɔ p h uː r ʉː s	k l o r o f o r u s		
mesosa	1.3565254790364392	365	m eː s uː s ɑː	m e s o s a		
exocentrus	3.932065635124802	1058	eː k s uː s ɛ n t r ʉː s	e k s o s e n t r u s		
oberea	3.2222125762317613	867	uː b eː r eː ɑː	o b e r e a		
jättekrabbspindlar	7.603975698927547	2046	j ɛ t ɛ k r ɐ b s p ɪ n d l ɑː r	j t e k r a b s p ɪ n d l a r		
pysslingsteklar	2.2596369623401507	608	p ʏ s l ɪ ŋ s t ɛ k l ɑː r	p ə s l i ŋ s t ɛ k l a r		
trefåresteklar	2.281936011310613	614	t r eː f oː r ɛ s t ɛ k l ɑː r	t r e f ɔ r ə s t ə k l a r		
växtlussteklar	8.343560823114537	2245	v ɛ k s t l ɵ s t ɛ k l ɑː r	v k s t l ʏ s t e k l a r		
sköldlussteklar	29.014779218732823	7807	s ɕ œ l d l ɵ s t ɛ k l ɑː r	s k œ l d l ʏ s t ɛ k l a r		
finglanssteklar	31.631200964600367	8511	f ɪ ŋ l ɐ n s t ɛ k l ɑː r	f i ŋ l a n s s t e k l a r		
hoppglanssteklar	5.496715571218886	1479	h ɔ p ɡ l ɐ n s t ɛ k l ɑː r	h ɔ p ɡ l a n s t ɛ k l a r		
