Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
wa	41725.805042188906	433568	w a	w a		
katika	16567.502822666484	172151	k a t i k a	k a t i k a		
jamii	15301.777981546133	158999	ʄ a m i i	ʄ a m i i		
kwa	15271.174233106634	158681	k w a	k w a		
ni	11771.856946916163	122320	n i	n i		
la	10310.864792639395	107139	l a	l a		
za	10276.4115160943	106781	z a	z a		
mwaka	6723.8745038439465	69867	m w a k a	m w a k a		
kama	5470.853105472066	56847	k a m a	k a m a		
cha	5438.132116574489	56507	t͡ʃ a	t͡ʃ a		
yake	4403.763914600529	45759	j a k e	j a k e		
lugha	4201.278736246118	43655	l u ɣ a	l u ɠ h a		
mto	3976.3700566766024	41318	m t o	m t o		
the	3935.6612969599123	40895	θ e	t h e		
kuwa	3767.7256333532355	39150	k u w a	k u w a		
orodha	3461.59191075562	35969	o ɾ o ð a	o ɾ o ɗ h a		
kwenye	3423.674058915488	35575	k w e ɲ e	k w e ɲ e		
of	3310.305456205651	34397	o f	o f		
mito	3305.974737086854	34352	m i t o	m i t o		
kutoka	3098.966363208366	32201	k u t o k a	k u t o k a		
nchini	3068.843805782068	31888	n t͡ʃ i n i	n t͡ʃ i n i		
mkoa	2959.2284929751886	30749	m k o a	m k o a		
watu	2933.821607478247	30485	w a t u	w a t u		
kati	2739.32419994295	28464	k a t i	k a t i		
afrika	2692.5524334599445	27978	a f ɾ i k a	a f ɾ i k a		
vya	2682.543660385392	27874	v j a	v j a		
pia	2633.6546534443073	27366	p i a	p i a		
wilaya	2534.6255429278203	26337	w i l a j a	w i l a j a		
tanzania	2521.0559563555903	26196	t a n z a n i a	t a z a n i a		
zaidi	2250.337892329469	23383	z a i ɗ i	z a i ɗ i		
alikuwa	2226.1821034668465	23132	a l i k u w a	a l i k u w a		
mnamo	2116.9517434705267	21997	m n a m o	m n a m o		
wakati	2085.19313659935	21667	w a k a t i	w a k a t i		
mji	2082.305990520152	21637	m ʄ i	m ʄ i		
watakatifu	2036.6890824688255	21163	w a t a k a t i f u	w a t a k a t i f u		
kenya	1980.4859721271068	20579	k e ɲ a	k e ɲ a		
wake	1911.0019898210778	19857	w a k e	w a k e		
bahari	1894.6414953722897	19687	ɓ a h a ɾ i	ɓ a h a ɾ i		
kwanza	1862.5941738931933	19354	k w a n z a	k w a z a		
nchi	1845.8487266338457	19180	n t͡ʃ i	n t͡ʃ i		
pamoja	1812.4540703177902	18833	p a m o ʄ a	p a m o ʄ a		
hadi	1722.2788744441762	17896	h a ɗ i	h a ɗ i		
miaka	1703.41618672675	17700	m i a k a	m i a k a		
kusini	1694.5622720838767	17608	k u s i n i	k u s i n i		
wakazi	1686.0933102515628	17520	w a k a z i	w a k a z i		
and	1663.7660472390992	17288	a n d	a ɗ		
marekani	1621.61371448281	16850	m a ɾ e k a n i	m a ɾ e k a n i		
baada	1612.182370624097	16752	ɓ a a ɗ a	ɓ a a ɗ a		
kata	1589.9513458142733	16521	k a t a	k a t a		
maji	1569.8375614625281	16312	m a ʄ i	m a ʄ i		
lakini	1560.598694009095	16216	l a k i n i	l a k i n i		
huko	1542.3134355075083	16026	h u k o	h u k o		
mara	1534.0369500804743	15940	m a ɾ a	m a ɾ a		
mwa	1516.0404061868076	15753	m w a	m w a		
juu	1504.395583667376	15632	ʄ u u	ʄ u u		
tarehe	1483.7043700997913	15417	t a ɾ e h e	t a ɾ e h e		
uganda	1451.464572215415	15082	u ɠ a n d a	u ɠ a ɗ a		
kazi	1402.9605180848905	14578	k a z i	k a z i		k ɑ z i
jina	1397.7636551423343	14524	ʄ i n a	ʄ i n a		
ndiyo	1380.633255072427	14346	n d i j o	ɗ i j o		
eneo	1335.0163470211005	13872	e n e o	e n e o		
hii	1328.2796728363053	13802	h i i	h i i		
sehemu	1327.509767215186	13794	s e h e m u	s e h e m u		
hiyo	1321.2542840435906	13729	h i j o	h i j o		
ilikuwa	1305.471218810642	13565	i l i k u w a	i l i k u w a		
moja	1253.69506579036	13027	m o ʄ a	m o ʄ a		
ndani	1252.443969156041	13014	n d a n i	ɗ a n i		ⁿd ɑ n i
in	1247.6320590240446	12964	i n	i n		
ambayo	1242.916387094688	12915	a m b a j o	a ɓ a j o		
idadi	1207.2120139152742	12544	i ɗ a ɗ i	i ɗ a ɗ i		
mkuu	1206.153393686235	12533	m k u u	m k u u		
kaunti	1166.2145395906643	12118	k a u n t i	k a u n t i		
kuhusu	1147.8330428864379	11927	k u h u s u	k u h u s u		
mashariki	1130.6064046138904	11748	m a ʃ a ɾ i k i	m a ʃ a ɾ i k i		
kaskazini	1126.5644001030134	11706	k a s k a z i n i	k a s k a z i n i		
waliozaliwa	1073.0559594352126	11150	w a l i o z a l i w a	w a l i o z a l i w a		
sensa	1064.4907594002589	11061	s e n s a	s e n s a		
hivyo	1055.7330829600253	10970	h i v j o	h i v j o		
nyingi	1048.8039323699504	10898	ɲ i n ɡ i	ɲ i ɡ i		
kale	1047.2641211277116	10882	k a l e	k a l e		
