Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
гурӯҳ	36568.14670283317	366492	ɡ u r ɵ h		ɡ u r ɵ h	
дар	33269.95713999919	333437	d æ r		d a r	d æ r
ва	22799.464985858845	228500	v æ		v a	v ä
аз	21592.839471311836	216407	æ z		a z	ä z
ба	16120.069865143909	161558	b æ		b a	b ä
бозингарони	12482.732024467767	125104	b ɔ z i n ɡ æ r ɔ n i		b ɔ z i n ɡ a r ɔ n i	
бф	12219.415665178132	122465	b f		b f	
ки	11794.856700124175	118210	k i		k i	
соли	9036.570441616157	90566	s ɔ l i		s ɔ l i	
ноҳияи	7808.791812946604	78261	n ɔ h i я i		n ɔ h i j a i	
бо	6365.091774082745	63792	b ɔ		b ɔ	b ɔ
аст	6085.5114638403975	60990	æ s t		a s t	
деҳа	5663.6465274718585	56762	d e h æ		d e h a	
дорад	5652.171960848778	56647	d ɔ r æ d		d ɔ r a d	
маҳаллаҳои	5637.803807859878	56503	m æ h æ l l æ h ɔ i		m a h a l l a h ɔ i	
ин	5411.804734805304	54238	i n		i n	
тоҷикистон	5277.402637054967	52891	t ɔ d͡ʒ i k i s t ɔ n		t ɔ dʒ i k i s t ɔ n	
аҳолинишини	5242.579821824925	52542	æ h ɔ l i n i ʃ i n i		a h ɔ l i n i ʃ i n i	
рӯи	4785.39317602534	47960	r ɵ i		r ɵ i	
русия	4386.078257542158	43958	r u s i я		r u s i j a	
зодагони	4336.987068163416	43466	z ɔ d æ ɡ ɔ n i		z ɔ d a ɡ ɔ n i	
он	4249.2814676270045	42587	ɔ n		ɔ n	ɔː n
мешавад	4104.103255134994	41132	m e ʃ æ v æ d		m e ʃ a v a d	
қарор	4010.1115876659383	40190	q æ r ɔ r		q a r ɔ r	
мебошад	3730.531277423591	37388	m e b ɔ ʃ æ d		m e b ɔ ʃ a d	
вилояти	3569.68778702007	35776	v i l ɔ я t i		v i l ɔ j a t i	
алифбо	3396.172383911061	34037	æ l i f b ɔ		a l i f b ɔ	ä l i f b ɔ
яке	3340.196454558471	33476	я k e		j a k e	
ҳайати	3037.4674533895623	30442	h æ j æ t i		h a j a t i	
як	3004.9395514841353	30116	я k		j a k	
дохил	2945.471362724521	29520	d ɔ χ i l		d ɔ χ i l	
то	2911.446778216084	29179	t ɔ		t ɔ	t ɔː
аҳолинишин	2845.293407163023	28516	æ h ɔ l i n i ʃ i n		a h ɔ l i n i ʃ i n	
футболбозони	2762.876085157249	27690	f u t b ɔ l b ɔ z ɔ n i		f u t b ɔ l b ɔ z ɔ n i	
барои	2757.8871431472144	27640	b æ r ɔ i		b a r ɔ i	
коди	2609.2166712481785	26150	k ɔ d i		k ɔ d i	
федератсияи	2555.4358763800037	25611	f e d e r æ t s i я i		f e d e r a t s i j a i	
маҳалҳои	2516.721686382134	25223	m æ h æ l h ɔ i		m a h a l h ɔ i	
шудааст	2492.3756493731644	24979	ʃ u d æ æ s t		ʃ u d a a s t	
футбол	2323.350294073187	23285	f u t b ɔ l		f u t b ɔ l	f u t b ɔ l
шуд	2287.7292481215386	22928	ʃ u d		ʃ u d	
ӯ	2258.394269102534	22634	ɵ		ɵ	ɵ
буд	2157.8171981802334	21626	b u d		b u d	
футболбози	2098.947682461823	21036	f u t b ɔ l b ɔ z i		f u t b ɔ l b ɔ z i	
july	2007.6500436781873	20121	j u l y		@ @ @ @	
retrieved	2004.9560149927686	20094	r e t r i e v e d		@ @ @ @ @ @ @ @ @	
номи	1939.999990022116	19443	n ɔ m i		n ɔ m i	
феҳристи	1899.390002060433	19036	f e h r i s t i		f e h r i s t i	
ҷумҳурии	1868.1592250776155	18723	d͡ʒ u m h u r i i		dʒ u m h u r i i	
карда	1806.6954595139873	18107	k æ r d æ		k a r d a	
метр	1760.9967507020688	17649	m e t r		m e t r	
бонди	1637.570325373809	16412	b ɔ n d i		b ɔ n d i	
шаҳри	1562.636416383087	15661	ʃ æ h r i		ʃ a h r i	
фурудгоҳҳои	1500.075083577251	15034	f u r u d ɡ ɔ h h ɔ i		f u r u d ɡ ɔ h h ɔ i	
ё	1461.760008940184	14650	ë		j ɔ	j ɔ
солҳои	1434.7199432457958	14379	s ɔ l h ɔ i		s ɔ l h ɔ i	
кард	1367.2694472701257	13703	k æ r d		k a r d	
маркази	1349.2094771938	13522	m æ r k æ z i		m a r k a z i	
вологда	1333.4444204420902	13364	v ɔ l ɔ ɡ d æ		v ɔ l ɔ ɡ d a	
кишвари	1267.5903859096313	12704	k i ʃ v æ r i		k i ʃ v a r i	
давлатии	1259.9074152141777	12627	d æ v l æ t i i		d a v l a t i i	
нафар	1257.8120595699631	12606	n æ f æ r		n a f a r	
мекунад	1257.4129442091603	12602	m e k u n æ d		m e k u n a d	
миллии	1211.4148988766399	12141	m i l l i i		m i l l i i	
онҳо	1202.1354667379753	12048	ɔ n h ɔ		ɔ n h ɔ	
and	1193.9536018415183	11966	a n d		@ @ @	
амрико	1174.7960645229848	11774	æ m r i k ɔ		a m r i k ɔ	
иёлоти	1162.4234883380987	11650	i ë l ɔ t i		i j ɔ l ɔ t i	
с	1154.9400753230464	11575	s		s	
де	1126.602884706049	11291	d e		d e	
муттаҳидаи	1122.1128368970178	11246	m u t t æ h i d æ i		m u t t a h i d a i	
клуб	1116.6250006859796	11191	k l u b		k l u b	
воқеъ	1112.9331835985538	11154	v ɔ q e ʔ		v ɔ q e ʔ	
донишгоҳи	1089.285598470989	10917	d ɔ n i ʃ ɡ ɔ h i		d ɔ n i ʃ ɡ ɔ h i	
сатҳи	1082.0017431363383	10844	s æ t h i		s a t h i	
aircraft	1080.80439705393	10832	a i r c r a f t		@ @ @ @ @ @ @ @	
фурудгоҳи	1077.7112530077084	10801	f u r u d ɡ ɔ h i		f u r u d ɡ ɔ h i	
бар	1064.8397826218188	10672	b æ r		b a r	b ä r
кардааст	1053.5647736791402	10559	k æ r d æ æ s t		k a r d a a s t	
world	1037.600159247029	10399	w o r l d		@ @ @ @ @	
airport	1034.4072363606067	10367	a i r p o r t		@ @ @ @ @ @ @	
душанбе	1026.0258137837484	10283	d u ʃ æ n b e		d u ʃ a n b e	d u ʃ ä n b e
фурудгоҳ	1016.0479297636788	10183	f u r u d ɡ ɔ h		f u r u d ɡ ɔ h	
км	1014.2519106400663	10165	k m		k m	
information	1006.6687187848134	10089	i n f o r m a t i o n		@ @ @ @ @ @ @ @ @ @ @	
aeronautical	1003.9746900993947	10062	a e r o n a u t i c a l		@ @ @ @ @ @ @ @ @ @ @ @	
database	1003.4757958983912	10057	d a t a b a s e		@ @ @ @ @ @ @ @	
фурудгоҳҳо	1003.2762382179898	10055	f u r u d ɡ ɔ h h ɔ		f u r u d ɡ ɔ h h ɔ	
иото	1002.4780074963843	10047	i ɔ t ɔ		i ɔ t ɔ	
икао	1001.9791132953808	10042	i k æ ɔ		i k a ɔ	
клубе	982.3226817758439	9845	k l u b e		k l u b e	
бразилия	975.9368360029994	9781	b r æ z i l i я		b r a z i l i j a	
низ	968.4534229879472	9706	n i z		n i z	
баландии	963.4644809779124	9656	b æ l æ n d i i		b a l a n d i i	
дигар	952.3890297156353	9545	d i ɡ æ r		d i ɡ a r	
баҳр	941.8124726543616	9439	b æ h r		b a h r	b ä h r
забони	915.5706376815788	9176	z æ b ɔ n i		z a b ɔ n i	
худ	912.6770513157586	9147	χ u d		χ u d	
ҳавогардҳо	902.6991672956891	9047	h æ v ɔ ɡ æ r d h ɔ		h a v ɔ ɡ a r d h ɔ	
тӯли	899.9053597700696	9019	t ɵ l i		t ɵ l i	
худро	898.3088983268585	9003	χ u d r ɔ		χ u d r ɔ	
'фурудгоҳи	892.6215044354188	8946	' f u r u d ɡ ɔ h i		@ f u r u d ɡ ɔ h i	
испания	889.1292450283945	8911	i s p æ n i я		i s p a n i j a	
и	888.2312354665883	8902	i		i	
шуда	888.031677786187	8900	ʃ u d æ		ʃ u d a	
-и	883.9407453379584	8859	- i		i	
ҷамоати	879.0515821681244	8810	d͡ʒ æ m ɔ æ t i		dʒ a m ɔ a t i	
умумӣ	860.8918332515979	8628	u m u m i ̄		u m u m i	
тоҷик	856.4017854425665	8583	t ɔ d͡ʒ i k		t ɔ dʒ i k	t ɔː d ʒ i k
пас	852.0115164737359	8539	p æ s		p a s	
фуруди	843.7298727370783	8456	f u r u d i		f u r u d i	
ду	816.6898070426898	8185	d u		d u	
деҳаҳои	808.0090479452294	8098	d e h æ h ɔ i		d e h a h ɔ i	
асри	805.8139134608141	8076	æ s r i		a s r i	
шӯрои	784.8603570186681	7866	ʃ ɵ r ɔ i		ʃ ɵ r ɔ i	
ноҳияҳои	780.0709726890348	7818	n ɔ h i я h ɔ i		n ɔ h i j a h ɔ i	
сол	764.605252457927	7663	s ɔ l		s ɔ l	
ниммуҳофизатгарони	761.4123295715048	7631	n i m m u h ɔ f i z æ t ɡ æ r ɔ n i		n i m m u h ɔ f i z a t ɡ a r ɔ n i	
кор	753.0309069946463	7547	k ɔ r		k ɔ r	k ɔ r
буда	752.7315704740442	7544	b u d æ		b u d a	
эрон	745.3479362991928	7470	э r ɔ n		e r ɔ n	
давлатӣ	744.1505902167845	7458	d æ v l æ t i ̄		d a v l a t i	
мекунанд	741.7558980519678	7434	m e k u n æ n d		m e k u n a n d	
футболи	740.7581096499608	7424	f u t b ɔ l i		f u t b ɔ l i	
ҳамагона	706.9330828219252	7085	h æ m æ ɡ ɔ n æ		h a m a ɡ ɔ n a	
тими	700.5472370490808	7021	t i m i		t i m i	
истифода	698.3521025646654	6999	i s t i f ɔ d æ		i s t i f ɔ d a	
в	697.2545353224577	6988	v		v	
ҳамчун	694.8598431576411	6964	h æ m t͡ʃ u n		h a m tʃ u n	
анҷом	692.7644875134265	6943	æ n d͡ʒ ɔ m		a n dʒ ɔ m	
атлетико	682.5870458129556	6841	æ t l e t i k ɔ		a t l e t i k ɔ	
вай	681.78881509135	6833	v æ j		v a j	v ä j
дод	677.6978826431215	6792	d ɔ d		d ɔ d	
иванов	676.5005365607132	6780	i v æ n ɔ v		i v a n ɔ v	
бораи	667.719998623052	6692	b ɔ r æ i		b ɔ r a i	
дода	661.9328258914117	6634	d ɔ d æ		d ɔ d a	
the	654.6489705567609	6561	t h e		@ @ @	
ибни	647.0657787015081	6485	i b n i		i b n i	
онро	644.6710865366914	6461	ɔ n r ɔ		ɔ n r ɔ	
мешаванд	643.3739616140824	6448	m e ʃ æ v æ n d		m e ʃ a v a n d	
нахустин	631.400500789999	6328	n æ χ u s t i n		n a χ u s t i n	
шаҳр	614.6376556362821	6160	ʃ æ h r		ʃ a h r	
инчунин	608.2518098634376	6096	i n t͡ʃ u n i n		i n tʃ u n i n	
ҳам	604.9591081368147	6063	h æ m		h a m	
муҳофизатгарони	603.6619832142057	6050	m u h ɔ f i z æ t ɡ æ r ɔ n i		m u h ɔ f i z a t ɡ a r ɔ n i	
таърихи	594.1829933951396	5955	t æ ʔ r i χ i		t a ʔ r i χ i	
