Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
ng	62613.0221602171	904560		ŋ		ŋ a
sa	56893.84560701358	821936		s ɐ		s a
ang	40707.60135351445	588096		ʔ a ŋ		ʔ a ŋ
mga	31403.556557543572	453682		m ɡ a ʔ		m a ŋ a
ay	23062.69850801231	333183		ʔ a ɪ̯		ʔ e
at	22494.061848148747	324968		ʔ a t		ʔ a t
isang	11871.596789192927	171507		ʔ i s ɐ ŋ		
noong	7086.742528726881	102381		n o ʔ o ŋ		
ito	6275.146078708589	90656		ʔ i t o		ʔ i t o
ni	5152.547253429558	74438		n ɪ		
o	4861.618479064792	70235		ʔ o		
bilang	4814.203249362231	69550		b ɪ l a ŋ		b i l a ŋ
may	4192.959911288528	60575		m a ɪ̯		m e j
kategorya	4141.1838648396	59827		k͡x ɐ t e ɰ o ɾ j ɐ		k a t e ɡ o ɾ j a
mula	4089.4770377041064	59080		m u l ɐ		m u l a ʔ
the	3391.6079196585274	48998		t e		
siya	3155.154744966631	45582		ʃ ɐ		
of	3119.22992129418	45063		ʔ o f		
kanyang	2893.021204990574	41795		k͡x ɐ ɲ a ŋ		
hindi	2664.1821547764616	38489		h ɪ n d i		h i n d i ʔ
km	2395.7496572778746	34611		k͡x ɐ m		
kung	2233.2919286473475	32264		k͡x ʊ ŋ		k u ŋ
nito	2080.040368703595	30050		n i t o		n i t o
lungsod	1903.3234615055824	27497		l ʊ ŋ s o d		l u ŋ s o d
upang	1785.3737514133718	25793		ʔ ʊ p a ŋ		ʔ u p a ŋ
unang	1585.4683742148368	22905		ʔ ʊ n a ŋ		
nang	1491.1916693171895	21543		n ɐ ŋ		n a ŋ
isa	1480.80877230203	21393		ʔ i s ɐ		ʔ i s a
dahil	1451.598222032715	20971		d ɐ h i l		d a h i l
bayan	1408.8206863302585	20353		b a j ɐ n		b a j a n
from	1390.9621034641843	20095		f ɾ o m		
niya	1361.889991821738	19675		ɲ ɐ		n i a
hanggang	1356.8369819410273	19602		h ɐ ŋ ɡ a ŋ		h a ŋ ɡ a ŋ
san	1355.3141570454704	19580		s ɐ n		s a n
and	1353.1683583290041	19549		ʔ a n d		
text	1348.3230063885965	19479		t e k s t		
rin	1325.9651681492867	19156		ɾ i n		ɾ i n
fontsize	1309.9755067459412	18925		f o n t͡ʃ i s e		
kanilang	1283.7413869543052	18546		k͡x ɐ n i l ɐ ŋ		
naging	1244.0787203563964	17973		n a ɰ ɪ ŋ		n a ɡ i ŋ
shift	1229.7503224754764	17766		ʃ ɪ f t		
saan	1188.9109275491828	17176		ʔ e ʔ ɐ n		s a ʔ a n
xs	1176.1053545638197	16991		ʔ ɪ k s e s		
bahagi	1170.9831253696743	16917		b ɐ h a ɰ ɪ ʔ		b a h a ɡ i ʔ
taon	1140.3881888316714	16475		t ɐ ʔ o n		t a ʔ o n
din	1139.41911844359	16461		d ɪ n		d i n
tao	1120.937561756606	16194		t a ʊ̯		t a ʔ o
lalawigan	1067.77712903899	15426		l ɐ l ɐ w i ɰ ɐ n		l a l a w i ɡ a n
kasama	1054.0024856655455	15227		k͡x ɐ s a m ɐ		k a s a m a
panahon	1047.1497736355402	15128		p ɐ n ɐ h o n		p a n a h o n
pamamagitan	1046.04226462059	15112		p ɐ m ɐ m ɐ ɰ i t ɐ n		
ibang	1039.8125264114942	15022		ʔ ɪ b a ŋ		
pang	1021.8847242319857	14763		p ɐ ŋ		
matatagpuan	1006.7256945898531	14544		m ɐ t ɐ t ɐ ɡ p u ʔ ɐ n		
in	1004.5798958733868	14513		ʔ ɪ n		
kay	1003.6800447987397	14500		k a ɪ̯		k a j
ngunit	998.8346928583319	14430		ŋ ʊ n i t		ŋ u n i t
ilang	970.5932129770985	14022		ʔ ɪ l a ŋ		ʔ i l a ŋ
pa	963.0483078127493	13913		p ɐ		p a
iba	959.5873421410295	13863		ʔ i b ɐ		ʔ i b a ʔ
nasa	937.4371618420229	13543		n a s ɐ		n a s a ʔ
munisipalidad	910.6492875429117	13156		m ʊ n ɪ s ɪ p ɐ l ɪ d a d		
dalawang	895.9055737813853	12943		d ɐ l a w ɐ ŋ		
