Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
төркем	30442.82060181124	1265820		t œ r k e m	t ø r k e m	
торак	18366.990460638677	763704		t o r ɑ q	t o r ɑ k	
урнашкан	12818.875270269558	533012		u r n ɑ ʃ q ɑ n	u r n ɑ ʃ k ɑ n	
һәм	12704.301636303411	528248		h æ m	h a m	
буенча	12633.931683955605	525322		b u e n ɕ ɑ	b u e n ɕ ɑ	
пунктлары	9659.61072814214	401649		p u n q t lˠ ɑ r ɯ	p u n k t l ɑ r ɤ	
әлифба	8399.709602494666	349262		æ l i f b ɑ	a l i f b ɑ	
isbn	7470.013345519568	310605		i s b n	@ @ @ @	
пунктлар	6975.908536570261	290060		p u n q t lˠ ɑ r	p u n k t l ɑ r	
of	5324.980392733117	221414		ɔ f	@ @	
уртача	5318.583124337862	221148		u r t ɑ ɕ ɑ	u r t ɑ ɕ ɑ	
энциклопедия	5105.861925255038	212303		e n t͡s i q lˠ o p e d i j æ	e n @ i k l o p e d i j ɑ	
т	4982.3898352503775	207169		e t	t	
и	4882.582828331924	203019		i	i	
в	4675.152603109837	194394		w e	w	
авыл	4590.064123476707	190856		ɑ w ɯ lˠ	ɑ w ɤ l	
италия	4469.526118976638	185844		i t ɑ lˠ i j æ	i t ɑ l i j ɑ	
с	4431.647556109996	184269		e s	s	
ред	4200.720596969999	174667		r e d	r e d	
диңгез	3903.2476165906373	162298		d i ŋ ɣ e z	d i ŋ ɡ e z	
җәй	3705.0044459812852	154055		ʑ æ j	ʑ a j	
кыш	3667.318282164125	152488		q ɯ ʃ	k ɤ ʃ	
елга	3611.1618095967538	150153		e lˠ ʁ ɑ	j e l ɡ ɑ	
белән	3530.9073560818433	146816		b e l æ n	b e l a n	
большая	3423.0195890851733	142330		b o lˠ ʔ ʃ ɑ j ɑ	b o l ʔ ʃ ɑ j ɑ	
йомшак	3143.151121733356	130693		j o m ʃ ɑ q	j o m ʃ ɑ k	
су	3092.237523264352	128576		s u	s u	
төркия	2965.5908489432495	123310		t œ r k i j æ	t ø r k i j ɑ	
елда	2881.2960153892304	119805		e lˠ d ɑ	j e l d ɑ	
авыллары	2841.0124644040716	118130		ɑ w ɯ lˠ lˠ ɑ r ɯ	ɑ w ɤ l l ɑ r ɤ	
өлкәсе	2806.043937160835	116676		œ l k æ s e	ø l k a s e	
and	2766.000884987528	115011		a n d	@ @ @	
җылы	2715.063236637339	112893		ʑ ɯ lˠ ɯ	ʑ ɤ l ɤ	
the	2712.4658494693404	112785		t e	@ @ @	
халык	2602.3654934036344	108207		x ɒ lˠ ɯ q	x ɑ l ɤ k	
елның	2588.416562316236	107627		e lˠ n ɯ ŋ	j e l n ɤ ŋ	
дәрәҗәсе	2568.7197096255827	106808		d æ r æ ʑ æ s e	d a r a ʑ a s e	
өстеннән	2550.5620493307797	106053		œ s t e n n æ n	ø s t e n n a n	
биеклектә	2544.4533795097464	105799		b i e k l e k t æ	b i e k l e k t a	
советская	2487.5273107444505	103432		s o w e t͡s q ɑ j ɑ	s o w e t s k ɑ j ɑ	
словарь	2484.8818238140816	103322		s lˠ o w ɑ r ʔ	s l o w ɑ r ʔ	
төбәге	2377.6915033717814	98865		t œ b æ ɣ e	t ø b a ɡ e	
гл	2338.9952445448434	97256		ɣ e e l	ɡ l	
шәһәрләре	2320.6692350817443	96494		ʃ æ h æ r l æ r e	ʃ a h a r l a r e	
мәйданы	2293.637168629614	95370		m æ j d ɑ n ɯ	m a j d ɑ n ɤ	
климаты	2280.5540332648816	94826		k l i m ɑ t ɯ	k l i m ɑ t ɤ	
урта	2246.379152100756	93405		u r t ɑ	u r t ɑ	
российская	2188.467038206868	90997		r o s s i j s q ɑ j ɑ	r o s s i j s k ɑ j ɑ	
ур	2182.911515653094	90766		u r	u r	
encyclopedia	2174.6624064065804	90423		e n s i k l o p e d i a	@ @ @ @ @ @ @ @ @ @ @ @	
routledge	2173.147263891915	90360		r u t l ɛ d͡ʒ	@ @ @ @ @ @ @ @ @	
italian	2173.0029646048038	90354		i t a l j a n	@ @ @ @ @ @ @	
хас	2126.9233922540193	88438		x ɒ s	x ɑ s	
воеводалыгы	2089.5498768922657	86884		w o e w o d ɑ lˠ ɯ ʁ ɯ	w o e w o d ɑ l ɤ ɡ ɤ	
булып	2089.1410289121177	86867		b u lˠ ɯ p	b u l ɤ p	
явым-төшем	2000.469116982398	83180		j ɑ w ɯ m t œ ʃ e m	j ɑ w ɤ m t ø ʃ e m	
мм	1987.7707797166283	82652		e m e m	m m	
коммуналары	1923.7740458828923	79991		q o m m u n ɑ lˠ ɑ r ɯ	k o m m u n ɑ l ɑ r ɤ	
керә	1887.122026956694	78467		k e r æ	k e r a	
торган	1869.1808155925578	77721		t o r ʁ ɑ n	t o r ɡ ɑ n	
коды	1867.930221770929	77669		q o d ɯ	k o d ɤ	
дәүләт	1840.3209581703543	76521		d æ w l æ t	d a y l a t	
бассейны	1826.20367791466	75934		b ɒ s s e j n ɯ	b ɑ s s e j n ɤ	
бу	1802.5866945908233	74952		b u	b u	
климат	1791.042751621942	74472		k l i m ɑ t	k l i m ɑ t	
коммуна	1717.8830130566564	71430		q o m m u n ɑ	k o m m u n ɑ	
районы	1693.4723836537094	70415		r ɒ j o n ɯ	r ɑ j o n ɤ	
россия	1689.5522530205267	70252		r o s s i j æ	r o s s i j ɑ	
пункт	1678.801956130756	69805		p u n q t	p u n k t	
караган	1674.2084288243886	69614		q ɒ r ɒ ʁ ɑ n	k ɑ r ɑ ɡ ɑ n	
биредә	1666.58461648869	69297		b i r e d æ	b i r e d a	
гө	1655.1849728069196	68823		ɣ œ	ɡ ø	
температурасы	1654.1748777971425	68781		t e m p e r ɑ t u r ɑ s ɯ	t e m p e r ɑ t u r ɑ s ɤ	
ук	1598.3791534475492	66461		u q	u k	
под	1596.1184646161432	66367		p o d	p o d	
коры	1590.2743434881472	66124		q o r ɯ	k o r ɤ	
бер	1580.461991964598	65716		b e r	b e r	
гыйнварның	1562.3524314321653	64963		ʁ ɯ j n w ɑ r n ɯ ŋ	ɡ ɤ j n w ɑ r n ɤ ŋ	
центр	1505.2820633797583	62590		t͡s e n t r	@ e n t r	
чагыштырмача	1479.4043912245158	61514		ɕ ɒ ʁ ɯ ʃ t ɯ r m ɑ ɕ ɑ	ɕ ɑ ɡ ɤ ʃ t ɤ r m ɑ ɕ ɑ	
өчен	1438.8081917839497	59826		œ ɕ e n	ø ɕ e n	
өлешендә	1427.095899646772	59339		œ l e ʃ e n d æ	ø l e ʃ e n d a	
италиянең	1424.1858640233668	59218		i t ɑ lˠ i j æ n e ŋ	i t ɑ l i j ɑ n e ŋ	
история	1392.9691182450167	57920		i s t o r i j æ	i s t o r i j ɑ	
ә	1372.8153178118446	57082		æ	a	
кадәр	1368.7989876539214	56915		q ɒ d æ r	k ɑ d a r	
ул	1366.46614917896	56818		u lˠ	u l	
мексика	1363.9649615357023	56714		m e k s i q ɑ	m e k s i k ɑ	
саны	1355.3791539525969	56357		s ɒ n ɯ	s ɑ n ɤ	
америки	1350.713477002674	56163		ɒ m e r i k i	ɑ m e r i k i	
таба	1332.7963155197226	55418		t ɒ b ɒ	t ɑ b ɑ	
тарафыннан	1316.82719441277	54754		t ɒ r ɒ f ɯ n n ɑ n	t ɑ r ɑ f ɤ n n ɑ n	
районында	1311.4640709084772	54531		r ɒ j o n ɯ n d ɑ	r ɑ j o n ɤ n d ɑ	
тора	1310.5020756610704	54491		t o r ɑ	t o r ɑ	
i	1290.1077764160468	53643		i	@	
югары	1248.9103299458513	51930		j u ʁ ɑ r ɯ	ɯ ɡ ɑ r ɤ	
итә	1240.4207218874867	51577		i t æ	i t a	
прохоров	1238.2802824620064	51488		p r o x o r o w	p r o x o r o w	
кызу	1221.73396420661	50800		q ɯ z u	k ɤ z u	
штатында	1216.346790821132	50576		ʃ t ɒ t ɯ n d ɑ	ʃ t ɑ t ɤ n d ɑ	
шәһәр	1211.801363277135	50387		ʃ æ h æ r	ʃ a h a r	
еллык	1198.886577080699	49850		e lˠ lˠ ɯ q	j e l l ɤ k	
польша	1176.2796887666395	48910		p o lˠ ʔ ʃ ɑ	p o l ʔ ʃ ɑ	
составына	1163.7497006691663	48389		s o s t ɑ w ɯ n ɑ	s o s t ɑ w ɤ n ɑ	
өязендә	1133.494950138223	47131		œ j æ z e n d æ	ø j ɑ z e n d a	
reference	1124.7648432680066	46768		r e f e r ɛ n s e	@ @ @ @ @ @ @ @ @	
мәгълүматы	1121.3257102585274	46625		m æ ɣ ʔ l y m ɑ t ɯ	m a ɡ ʔ l y m ɑ t ɤ	
ага	1112.9563516060884	46277		ɒ ʁ ɒ	ɑ ɡ ɑ	
елгалары	1110.647563012312	46181		e lˠ ʁ ɑ lˠ ɑ r ɯ	j e l ɡ ɑ l ɑ r ɤ	
шул	1107.3286794087587	46043		ʃ u lˠ	ʃ u l	
new	1103.7211972309833	45893		n j u	@ @ @	
world	1102.3744038846137	45837		w ɔ r l d	@ @ @ @ @	
елларда	1101.701007211429	45809		e lˠ lˠ ɑ r d ɑ	j e l l ɑ r d ɑ	
simon	1101.2200095877256	45789		s i m o n	@ @ @ @ @	
эссе	1092.9709003412124	45446		e s s e	e s s e	
баш	1092.874700816472	45442		b ɒ ʃ	b ɑ ʃ	
осипов	1090.4937625791401	45343		o s i p o w	o s i p o w	
биредәге	1089.79631602477	45314		b i r e d æ ɣ e	b i r e d a ɡ e	
culture	1089.074819589215	45284		k u l t u r e	@ @ @ @ @ @ @	
җирләргә	1088.9545701832892	45279		ʑ i r l æ r ɣ æ	ʑ i r l a r ɡ a	
century	1088.6659716090671	45267		s ɛ n t u r i	@ @ @ @ @ @ @	
contemporary	1086.8622305201795	45192		k o n t e m p o r a r i	@ @ @ @ @ @ @ @ @ @ @ @	
renaissance	1086.669831470698	45184		ʁ ə n a j s ɑ̃ s	@ @ @ @ @ @ @ @ @ @ @	
catherine	1086.2609834905502	45167		k a t e r i n e	@ @ @ @ @ @ @ @ @	
schuster	1086.1407340846245	45162		ʃ u s t e r	@ @ @ @ @ @ @ @	
gino	1085.9964347975133	45156		d͡ʒ i n o	@ @ @ @	
кваркуш	1085.924285153958	45153		q w ɒ r q u ʃ	k w ɑ r k u ʃ	
avery	1085.9002352727728	45152		a v e r i	@ @ @ @ @	
moliterno	1085.9002352727728	45152		m o l i t ɛ r n o	@ @ @ @ @ @ @ @ @	
алу	1085.804035748032	45148		ɒ lˠ u	ɑ l u	
булган	1070.8690595320418	44527		b u lˠ ʁ ɑ n	b u l ɡ ɑ n	
изд	1070.3640120271532	44506		i z d	i z d	
энциклопедический	1059.2289170384197	44043		e n t͡s i q lˠ o p e d i ɕ e s k i j	e n @ i k l o p e d i ɕ e s k i j	
июльдә	1057.8821236920503	43987		i j y l ʔ d æ	i ɯ l ʔ d a	
иле	1050.0659123068701	43662		i l e	i l e	
җилләр	1049.488715158426	43638		ʑ i l l æ r	ʑ i l l a r	
z	1041.6484538920608	43312		z e	@	
мәхәлләләре	1040.9750572188761	43284		m æ x æ l l æ l æ r e	m a x a l l a l a r e	
польшаның	1038.2093208825816	43169		p o lˠ ʔ ʃ ɑ n ɯ ŋ	p o l ʔ ʃ ɑ n ɤ ŋ	
характерлана	1037.6080738529524	43144		x ɒ r ɒ q t e r lˠ ɑ n ɑ	x ɑ r ɑ k t e r l ɑ n ɑ	
брокгауза	1036.5017793184345	43098		b r o q ʁ ɑ w z ɑ	b r o k ɡ ɑ u z ɑ	
ефрона	1036.429629674879	43095		e f r o n ɑ	j e f r o n ɑ	
башкаласы	1034.9144871602134	43032		b ɒ ʃ q ɒ lˠ ɑ s ɯ	b ɑ ʃ k ɑ l ɑ s ɤ	
воеводство	1033.0626463089552	42955		w o e w o d s t w o	w o e w o d s t w o	
olsztyn	1033.0385964277702	42954		o l z z t i n	@ @ @ @ @ @ @	
miasta	1033.014546546585	42953		m j a s t a	@ @ @ @ @ @	
powiatu	1033.014546546585	42953		p o w j a t u	@ @ @ @ @ @ @	
мякотин	1033.014546546585	42953		m j ɑ q o t i n	m j ɑ k o t i n	
көньяк	1025.7274325474787	42650		k œ n ʔ j æ k	k ø n ʔ j ɑ k	
км	1021.2060548846667	42462		q ɒ e m	k m	
барлыкка	1017.6466724692617	42314		b ɒ r lˠ ɯ q q ɑ	b ɑ r l ɤ k k ɑ	
йолдыз	1014.0632401726714	42165		j o lˠ d ɯ z	j o l d ɤ z	
акш	1007.906470589268	41909		ɒ q ʃ	ɑ k ʃ	
dictionary	1007.8343209457125	41906		d i k s j o n a r i	@ @ @ @ @ @ @ @ @ @	
names	1006.1508292627507	41836		n a m e s	@ @ @ @ @	
springer	1006.1267793815655	41835		s p r i n d͡ʒ e r	@ @ @ @ @ @ @ @	
minor	1005.9584302132693	41828		m i n o r	@ @ @ @ @	
planet	1005.9343803320842	41827		p l a n ɛ t	@ @ @ @ @ @	
asteroids	1005.2850335400846	41800		a s t e r ɔ j d s	@ @ @ @ @ @ @ @ @	
lutz	1004.9723850846774	41787		l u t͡s	@ @ @ @	
schmadel	1004.9483352034922	41786		ʃ m a d ɛ l	@ @ @ @ @ @ @ @	
җөмһүриятенең	990.9513043537236	41204		ʑ œ m h y r i j æ t e n e ŋ	ʑ ø m h y r i j ɑ t e n e ŋ	
римнан	990.2057580369833	41173		r i m n ɑ n	r i m n ɑ n	
турция	983.2312924932842	40883		t u r t͡s i j æ	t u r @ i j ɑ	
франция	963.2698911095935	40053		f r ɒ n t͡s i j æ	f r ɑ n @ i j ɑ	
илчесе	961.2497010900393	39969		i l ɕ e s e	i l ɕ e s e	
бүлгесе	955.814427942191	39743		b y l ɣ e s e	b y l ɡ e s e	
илчесенә	955.1650811501913	39716		i l ɕ e s e n æ	i l ɕ e s e n a	
nedir	954.7321832888583	39698		n e d i r	@ @ @ @ @	
mahalle	954.6359837641176	39694		m a h a l l e	@ @ @ @ @ @ @	
dizini	954.6119338829325	39693		d i d d͡z i n i	@ @ @ @ @ @	
