Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
азий	8.01761469949479	8			ɑ z i j	
диптиң	27.059449610794918	27			d i p t i ŋ	
төвү	354.7794504526445	354			t ø ʋ y	
азия	150.3302756155273	150			ɑ z i @	
чоогундан	8.01761469949479	8			cç o ː ɡ u n d ɑ n	
хаанның	150.3302756155273	150			x ɑ ː n n ɯ ŋ	
аңнаашкыны	2.0044036748736973	2			ɑ ŋ n ɑ ː ç k ɯ n ɯ	
азы	1667.6638574949163	1664			ɑ z ɯ	a z ɯ
хаан	417.91816621116595	417			x ɑ ː n	
биле	2602.718171823496	2597			b i l e	b ɪ l e
кадынның	9.01981653693164	9			k ɑ d ɯ n n ɯ ŋ	
аңнап	32.07045879797916	32			ɑ ŋ n ɑ p	
турары	170.37431236426428	170			t u r ɑ r ɯ	
деп	8031.645525218906	8014			d e p	
бөлүктү	19.041834911300125	19			b ø l y k t y	
кызылдың	209.46018402430138	209			k ɯ z ɯ l d ɯ ŋ	
база	6760.853595348982	6746			b ɑ z ɑ	b ɐ z ɐ
тыва	4860.678911568716	4850			t ɯ ʋ ɑ	
россияның	892.9618371562323	891			r o s s i @ n ɯ ŋ	
демнежилгезиниң	6.013211024621093	6			d e m n e ʝ i l ɡ e z i n i ŋ	
чыл	2127.67450087843	2123			cç ɯ l	
оюнга	108.23779844317967	108			o @ n ɡ ɑ	
тураскаадып	42.09247717234765	42			t u r ɑ s k ɑ ː d ɯ p	
төвүнүң	82.1805506698216	82			t ø ʋ y n y ŋ	
чоогунга	44.09688084722134	44			cç o ː ɡ u n ɡ ɑ	
тургускан	337.742019216218	337			t u r ɡ u s k ɑ n	
путин	26.057247773358068	26			p u t i n	
владимир	380.8366982260025	380			ʋ l ɑ d i m i r	
төвүнде	23.05064226104752	23			t ø ʋ y n d e	
обелиск	4.008807349747395	4			o b e l i s k	
'азий	2.0044036748736973	2			@ ɑ z i j	
тываның	1389.0517466874724	1386			t ɯ ʋ ɑ n ɯ ŋ	
турар	6254.741667443373	6241			t u r ɑ r	
төвүн	16.03522939898958	16			t ø ʋ y n	
демдеглээн	82.1805506698216	82			d e m d e ɡ l e ː n	
