Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
va	26118.25311636879	1290467	v a		@ @	
bilan	8532.153879365113	421562	b i l a n		@ @ @ @ @	
turkum	7411.074333457482	366171	t̪ u r k u m		@ @ @ @ @ @	
u	6880.802554598462	339971	u		@	
uchun	5670.588775328421	280176	u t͡ʃ u n		@ @ @ @ @	
joylashgan	3636.814348976229	179690	d͡ʒ ɒ j l a ʃ ɡ a n		@ @ @ @ @ @ @ @ @ @	
bu	3506.6144118235547	173257	b u		@ @	
bir	3501.7771997950317	173018	b i r		@ @ @	
boʻlgan	3422.4793055366486	169100	b o l ɡ a n		@ @ @ @ @ @ @	
aholi	2870.9561767615232	141850	a h ɒ l i		@ @ @ @ @	
ham	2836.9337775148815	140169	h a m		@ @ @	
uning	2635.956725451139	130239	u n i ŋ		@ @ @ @ @	
birinchi	2515.066903499806	124266	b i r i n t͡ʃ i		@ @ @ @ @ @ @ @	
tomonidan	2434.4129707229663	120281	t̪ ɒ m ɒ n i d̪ a n		@ @ @ @ @ @ @ @ @	
edi	2399.3381236709556	118548	e d̪ i		@ @ @	
boʻlib	2392.2138616038424	118196	b o l i b		@ @ @ @ @ @	
qiladi	2169.074687484732	107171	q i l a d̪ i		@ @ @ @ @ @	
nafar	2129.951964258225	105238	n a ɸ a r		@ @ @ @ @	
sifatida	2078.9284850786985	102717	s i ɸ a t̪ i d̪ a		@ @ @ @ @ @ @ @	
yoki	2074.718693857222	102509	j ɒ k i		@ @ @ @	
o	1930.067838761596	95362	ɒ		@	
yil	1886.6341274092504	93216	j i l		@ @ @	
yangi	1828.4863861626106	90343	j a ŋ i		@ @ @ @ @	
deb	1715.9351891307401	84782	d̪ e b		@ @ @	
har	1616.3574352381304	79862	h a r		@ @ @	
tashkil	1614.5966091022244	79775	t̪ a ʃ k i l		@ @ @ @ @ @ @	
kiradi	1590.9772516240382	78608	k i r a d̪ i		@ @ @ @ @ @	
the	1551.1259106861219	76639	t̪ h e		@ @ @	
tarkibiga	1549.911547833773	76579	t̪ a r k i b i ɡ a		@ @ @ @ @ @ @ @ @	
boshqa	1521.6168933740437	75181	b ɒ ʃ q a		@ @ @ @ @ @	
ushbu	1510.2018825619639	74617	u ʃ b u		@ @ @ @ @	
ta	1502.1263695938437	74218	t̪ a		@ @	
maydoni	1499.778601412636	74102	m a j d̪ ɒ n i		@ @ @ @ @ @ @	
esa	1482.0691431492144	73227	e s a		@ @ @	
boʻyicha	1466.424101734786	72454	b o j i t͡ʃ a		@ @ @ @ @ @ @ @	
oʻz	1422.2212939092863	70270	o z		@ @ @	
milliy	1377.7351347515714	68072	m i l l i j		@ @ @ @ @ @	
shuningdek	1375.7314360451958	67973	ʃ u n i ŋ d̪ e k		@ @ @ @ @ @ @ @ @ @	
