Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
און	26515.840484838685	86594			@ @ @	
איז	24105.977623489394	78724			@ @ @	i z
א	21433.69386351541	69997			@	
דער	18835.20641225619	61511			@ @ @	
האט	15019.539180328171	49050			@ @ @	
ער	9791.943402824347	31978			@ @	ɛ ʁ
וואס	8537.406154673388	27881			@ @ @ @	
מיט	6859.075996724791	22400			@ @ @	
רבי	6420.585066934171	20968			@ @ @	ʁ ɛ b ə
זיין	6404.049794442066	20914			@ @ @ @	
זיך	6143.772357066348	20064			@ @ @	
געווען	5957.903645905101	19457			@ @ @ @ @ @	ɡ ə v ɛ n
קאַטעגאָריע	5475.931073635243	17883			@ @ @ @ @ @ @ @ @ @ @	
אויף	5017.2303663542725	16385			@ @ @ @	ɔ ɪ̯ f
זענען	4689.587004010722	15315			@ @ @ @ @	z ɛ n ə n
נישט	4675.501401517448	15269			@ @ @ @	
האבן	4664.7840952725655	15234			@ @ @ @	
געווארן	4367.45539916454	14263			@ @ @ @ @ @ @	
עס	4324.279965435157	14122			@ @	ɛ s
פאר	4120.038729282682	13455			@ @ @	
ווי	4114.526971785313	13437			@ @ @	v ɪ
הרב	3792.701575688985	12386			@ @ @	
זיי	3599.7900632811	11756			@ @ @	z ɛ ɪ̯
יאר	2910.820376110083	9506			@ @ @	
אויך	2831.8185186478067	9248			@ @ @ @	ɔ ɪ̯ χ
קיין	2800.5852261627206	9146			@ @ @ @	k ɛ n
נאך	2691.8811199646266	8791			@ @ @	
ווען	2576.7466300196033	8415			@ @ @ @	v ɛ n
רב	2535.1022400394886	8279			@ @	
דורך	2486.7212575625904	8121			@ @ @ @	d ʊ ʁ χ
וועלכע	2460.081096325311	8034			@ @ @ @ @ @	
ר	2365.4625926204917	7725			@	
ווערט	2174.3883327117296	7101			@ @ @ @ @	
ד	2118.9645489881946	6920			@	
אבער	2104.266528995213	6872			@ @ @ @	
פונעם	2092.630596500769	6834			@ @ @ @ @	
אים	1962.1856690630564	6408			@ @ @	ɪ m
אַ	1877.6720541034115	6132			@ @	
ס	1842.4580478702262	6017			@	
וועלט	1732.835315422571	5659			@ @ @ @ @	v ɛ ɫ t
זי	1624.437417974331	5305			@ @	z i
זון	1609.1269804816418	5255			@ @ @	
אלע	1580.343357995386	5161			@ @ @	
זייער	1522.4699042730206	4972			@ @ @ @ @	z ɛ ɪ̯ ə r
שטאט	1406.416788078436	4593			@ @ @ @	
ב	1402.129865580483	4579			@	
ה	1399.373986831799	4570			@	
וועט	1388.6566805869165	4535			@ @ @ @	v ɛ t
ט	1381.920088090133	4513			@	
צוויי	1358.035805601538	4435			@ @ @ @ @	t͡s v ɛ ɪ̯
קאטעגאריע	1309.0424056249321	4275			@ @ @ @ @ @ @ @ @	
