Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
siyakwamukela	9.922948306400798	6	s i j a k w a m u k e l a			
yesizulu	23.153546048268527	14	j e s i z u l u			
umthombo	74.42211229800598	45	u m tʰ o m b o			ú m̩ tʰ ôː m b o
obalulekile	46.307092096537055	28	o ɓ a l u l e k i l e			
yiwo	3.307649435466933	2	j i w o			
wonke	998.9101295110137	604	w o ŋ k e			
umuntu	807.0664622539316	488	u m u n t u			u m úː n t u
manje	459.76327152990365	278	m a ɲ d͡ʒ e			m aːː n d͡ʒ e
i-	1724.9391805960054	1043	i -			
ngesizulu	77.72976173347291	47	ŋ e s i z u l u			
isihloko	201.7666155634829	122	i s i ɬ o k o			í s i ɬ ôː ɠ o
esisha	79.38358645120638	48	e s i ʃ a			
amazwe	368.80291205456297	223	a m a z w e			
izilimi	254.6890065309538	154	i z i l i m i			
ubuciko	143.88275044281156	87	u ɓ u ǀ i k o			ú ɓ u ǀ îː ɠ o
ubuchwepheshe	117.4215549590761	71	u ɓ u ǀʰ w e pʰ e ʃ e			
amaholide	8.269123588667332	5	a m a h o l i d e			
imidlalo	196.8051414102825	119	i m i ɮ a l o			
izilwane	185.22836838614822	112	i z i l w a n e			
imvelo	66.15298870933866	40	i m v e l o			í m v eː l o
ukudla	348.95701544176137	211	u k u ɮ a			ú ɠ uː ɮʱ á
izinkolo	76.07593701573946	46	i z i ŋ k o l o			
isayensi	81.03741116893985	49	i s a j e n s i			
umculo	370.45673677229644	224	u m ǀ u l o			u ḿ̩ ǀ uː l o
imibhalo	140.57510100734464	85	i m i b a l o			
uthi	188.53601782161516	114	u tʰ i			ûː tʰ í
ukuthi	5831.385954728202	3526	u k u tʰ i			
amaqiniso	19.845896612801596	12	a m a ǃ i n i s o			
izifundo	201.7666155634829	122	i z i f u n d o			
izithombe	365.495262619096	221	i z i tʰ o m b e			
ezilungiwe	3.307649435466933	2	e z i l u ŋ i w e			
ngokubhala	13.230597741867731	8	ŋ o k u b a l a			
ukuba	1576.0949559999933	953	u k u ɓ a			
ufundele	8.269123588667332	5	u f u n d e l e			
ukuhlela	57.883865120671324	35	u k u ɬ e l a			
amanye	312.5728716516251	189	a m a ɲ e			
ama-wikipedia	8.269123588667332	5	a m a - w i k i p e d i a			
amancane	181.9207189506813	110	a m a ŋ ǀ a n e			
ngezilimi	46.307092096537055	28	ŋ e z i l i m i			
isibhunu	864.9503273746029	523	i s i b u n u			
chishona	3.307649435466933	2	ǀʰ i ʃ o n a			
chitumbuka	3.307649435466933	2	ǀʰ i t u m b u k a			
isixhosa	570.5695276180459	345	i s i ǁʰ o s a			
kinyarwanda	3.307649435466933	2	k i ɲ a r w a n d a			
kirundi	3.307649435466933	2	k i r u n d i			
kongo	3.307649435466933	2	k o ŋ o			
malagasy	4.961474153200399	3	m a l a ɡ a s j			
isisuthu	327.4572941112263	198	i s i s u tʰ u			
setswana	6.615298870933866	4	s e t s w a n a			
siswati	3.307649435466933	2	s i s w a t i			
isivenda	34.73031907240279	21	i s i v e n d a			
xitsonga	4.961474153200399	3	ǁ i t s o ŋ a			
uma	1237.0608888646327	748	u m a			úː m a
udinga	33.07649435466933	20	u d i ŋ a			
amakhulu	257.99665596642075	156	a m a kʰ u l u			
bheka	94.26800891080758	57	b e k a			
amaphrojekthi	23.153546048268527	14	a m a pʰ r o d͡ʒ e k tʰ i			
afanayo	44.65326737880359	27	a f a n a j o			
wikibooks	3.307649435466933	2	w i k i ɓ o o k s			
wikiquote	3.307649435466933	2	w i k i ǃ u o t e			
wikisource	3.307649435466933	2	w i k i s o u r ǀ e			
uhlu	294.380799756557	178	u ɬ u			úː ɬ u
lwawo	21.499721330535063	13	l w a w o			
list	18.19207189506813	11	l i s t			
of	3008.3071615571753	1819	o f			
all	72.76828758027251	44	a l l			
right	18.19207189506813	11	r i ɡ h t			
lubunjwa	3.307649435466933	2	l u ɓ u ɲ d͡ʒ w a			
ngobumba	9.922948306400798	6	ŋ o ɓ u m b a			
kunezinhlobo	46.307092096537055	28	k u n e z i n ɬ o ɓ o			
eziningi	1197.3690956390296	724	e z i n i ŋ i			
nezinye	529.2239096747093	320	n e z i ɲ e			
ezisemthethweni	74.42211229800598	45	e z i s e m tʰ e tʰ w e n i			
nemiqulu	8.269123588667332	5	n e m i ǃ u l u			
yakwahulumeni	6.615298870933866	4	j a k w a h u l u m e n i			
bese	433.30207604616817	262	ɓ e s e			
kuthi	72.76828758027251	44	k u tʰ i			
uphiko	69.46063814480559	42	u pʰ i k o			
lobuchwepheshe	21.499721330535063	13	l o ɓ u ǀʰ w e pʰ e ʃ e			
bamagama	11.576773024134264	7	ɓ a m a ɡ a m a			
lona	90.96035947534065	55	l o n a			l oː n á
lwelekelela	6.615298870933866	4	l w e l e k e l e l a			
ngokusombulula	6.615298870933866	4	ŋ o k u s o m b u l u l a			
ukhamba	6.615298870933866	4	u kʰ a m b a			úː kʰ aː m b a
'uphiko	3.307649435466933	2	' u pʰ i k o			
lwezilimi	28.115020201468926	17	l w e z i l i m i			
futhi	10129.676396117482	6125	f u tʰ i			f úː tʰ i
lwenza	9.922948306400798	6	l w e n z a			
lula	105.84478193494185	64	l u l a			
ukuxoxisana	4.961474153200399	3	u k u ǁ o ǁ i s a n a			
ezahlukene	145.53657516054503	88	e z a ɬ u k e n e			
ekuzameni	6.615298870933866	4	e k u z a m e n i			
ukuhambisana	26.461195483735462	16	u k u h a m b i s a n a			
umthethosisekelo	97.57565834627451	59	u m tʰ e tʰ o s i s e k e l o			
i-nls	3.307649435466933	2	i - n l s			
ilawula	11.576773024134264	7	i l a w u l a			
ukwehlukahluka	3.307649435466933	2	u k w e ɬ u k a ɬ u k a			
kwezilimi	29.768844919202394	18	k w e z i l i m i			
emphakathini	257.99665596642075	156	e m pʰ a k a tʰ i n i			
wethu	44.65326737880359	27	w e tʰ u			
kuwumthwalo	3.307649435466933	2	k u w u m tʰ w a l o			
wayo	167.0362964910801	101	w a j o			
ukwakha	120.72920439454305	73	u k w a kʰ a			
ubudlelwano	122.3830291122765	74	u ɓ u ɮ e l w a n o			
kuzo	329.1111188289598	199	k u z o			
zonke	987.3333564868794	597	z o ŋ k e			
zabantu	216.65103802308408	131	z a ɓ a n t u			
bakuleli	18.19207189506813	11	ɓ a k u l e l i			
ngokusebenzisa	243.11223350681954	147	ŋ o k u s e ɓ e n z i s a			
lokho	271.22725370828846	164	l o kʰ o			l óː kʰ o
okushiwo	36.38414379013626	22	o k u ʃ i w o			
ngenhloso	130.65215270094384	79	ŋ e n ɬ o s o			
yokuthi	256.3428312486873	155	j o k u tʰ i			
kugqugquzelwe	3.307649435466933	2	k u ɡ ǃ ̤ u ɡ ǃ ̤ u z e l w e			
kwalezi	52.922390967470925	32	k w a l e z i			
zilimi	23.153546048268527	14	z i l i m i			
kanye	8237.700919030396	4981	k a ɲ e			ɠ aː ɲ e
nazo	213.34338858761714	129	n a z o			
emlandweni	130.65215270094384	79	e m l a n d w e n i			
wakuleli	18.19207189506813	11	w a k u l e l i			
nemikhankaso	8.269123588667332	5	n e m i kʰ a ŋ k a s o			
