Language	UniMorph	Epitran	Northeuralex	CharsiuG2P	XPF	Wikipedia	WikiPron
Adyghe	ady		ady	ady		ady	ady_cyrl_narrow_filtered.tsv
Afrikaans	afr			afr		af	afr_latn_broad_filtered.tsv
Albanian	sqi	sqi-Latn	sqi	sqi	sq_Albanian/sq.rules	sq	sqi_latn_broad.tsv
Amharic	amh	amh-Ethi		amh		am	amh_ethi_broad.tsv
Arabic	ara	ara-Arab	arb	ara		ar	ara_arab_broad.tsv
Armenian	hye		hye	arm-e	hy_Armenian/hy.rules	hy	hye_armn_e_broad.tsv
Assamese	asm					as	asm_beng_broad.tsv
Asturian	ast				ast_Asturian/ast.rules	ast	ast_latn_broad.tsv
Aymara	aym				ay_Aymara/ay.rules	ay	
Azerbaijani	aze	aze-Latn	azj	aze	az_Azerbaijani/az.rules	az	aze_latn_narrow_filtered.tsv
Bashkir	bak		bak	bak	ba_Bashkir/ba.rules	ba	bak_cyrl_narrow.tsv
Basque	eus		eus	eus	eu_Basque/eu.rules	eu	eus_latn_broad.tsv
Belarusan	bel		bel	bel	be_Belarusan/be.rules	be	bel_cyrl_narrow.tsv
Bengali	ben	ben-Beng	ben	ben		bn	ben_beng_rarh_broad_filtered.tsv
Bulgarian	bul		bul	bul	bg_Bulgarian/bg.rules	bg	bul_cyrl_narrow.tsv
Catalan	cat	cat-Latn	cat	cat		ca	cat_latn_narrow.tsv
Cebuano	ceb	ceb-Latn				ceb	ceb_latn_broad.tsv
Chewa	nya	nya-Latn				ny	nya_latn_broad.tsv
Crimean Tatar	crh				crh_CrimeanTatar/crh.rules	crh	
Cusco Quechua	que				quz_CuscoQuechua/quz.rules	qu	
Czech	ces	ces-Latn	ces	cze	cs_Czech/cs.rules	cs	ces_latn_narrow.tsv
Danish	dan		dan	dan		da	dan_latn_broad.tsv
Dutch	nld	nld-Latn	nld	dut		nl	nld_latn_broad_filtered.tsv
Egyptian Arabic	arz			egy		arz	arz_arab_broad.tsv
English	eng	eng-Latn	eng	eng-us		en	eng_latn_us_broad_filtered.tsv
Estonian	est		ekk	est		et	est_latn_broad.tsv
Faroese	fao					fo	fao_latn_broad.tsv
Finnish	fin		fin	fin		fi	fin_latn_broad.tsv
French	fra	fra-Latn	fra	fra		fr	fra_latn_broad_filtered.tsv
Galician	gal			glg		gl	glg_latn_broad.tsv
Georgian	kat		kat	geo	ka_Georgian/ka.rules	ka	kat_geor_broad_filtered.tsv
German	deu	deu-Latn	deu	ger		de	deu_latn_broad_filtered.tsv
Greek	ell		ell	gre	el_Greek/el.rules	el	ell_grek_broad_filtered.tsv
Gujarati	guj			guj		gu	guj_gujr_broad.tsv
Hindi	hin	hin-Deva	hin	hin		hi	hin_deva_broad_filtered.tsv
Hungarian	hun	hun-Latn	hun	hun	hu_Hungarian/hu.rules	hu	hun_latn_narrow_filtered.tsv
Icelandic	isl		isl	ice		is	isl_latn_broad_filtered.tsv
Indonesian	ind	ind-Latn		ind		id	ind_latn_broad.tsv
